case,case_short,train_original_sim_idx,original_sim_idx,frames_encoded,final_p_ratio,initial_z0,initial_z1
selected trajectory sim 56,selected,56,62,100,-0.4204057219757763,2.326979875564575,2.3339550495147705
selected trajectory sim 56,selected,56,63,100,-0.06000701508242722,1.9054239988327026,2.0275280475616455
selected trajectory sim 56,selected,56,64,100,0.3664375008215793,1.5154999494552612,1.7519121170043945
selected trajectory sim 56,selected,56,65,100,-0.12283631741223562,1.9029772281646729,2.0164644718170166
selected trajectory sim 56,selected,56,66,100,-0.5381298285827363,2.3126657009124756,2.3367555141448975
selected trajectory sim 56,selected,56,67,100,0.15301959837093992,1.6474609375,1.8290841579437256
selected trajectory sim 56,selected,56,68,100,0.16470512886983094,1.6505986452102661,1.842585563659668
selected trajectory sim 56,selected,56,69,100,-0.24695770209211376,2.1543359756469727,2.193530321121216
selected trajectory sim 56,selected,56,70,100,-0.1806314739996638,1.995441198348999,2.086580276489258
selected trajectory sim 56,selected,56,71,100,-0.4991540889734968,2.261108636856079,2.2577831745147705
selected trajectory sim 56,selected,56,72,100,0.20470544269913032,1.6105698347091675,1.8200384378433228
selected trajectory sim 56,selected,56,73,100,-0.4669767574585872,2.2738566398620605,2.2943243980407715
selected trajectory sim 56,selected,56,74,100,-0.31002572813366264,2.1310172080993652,2.2014732360839844
selected trajectory sim 56,selected,56,75,100,0.34077803793200123,1.5258208513259888,1.770571231842041
selected trajectory sim 56,selected,56,76,100,-0.5497968824564992,2.383470296859741,2.397608995437622
selected trajectory sim 56,selected,56,77,100,0.012487869430966034,1.7915676832199097,1.9597797393798828
selected trajectory sim 56,selected,56,78,100,0.0037402536317093908,1.8623063564300537,2.017179250717163
selected trajectory sim 56,selected,56,79,100,-0.4733047013994222,2.36529541015625,2.3742599487304688
selected trajectory sim 56,selected,56,80,100,0.35754182064374174,1.5376110076904297,1.7764091491699219
selected trajectory sim 56,selected,56,81,100,-0.3386047566176201,2.176095485687256,2.2287769317626953
selected trajectory sim 56,selected,56,82,100,-0.2792191185246228,2.1105098724365234,2.1694211959838867
selected trajectory sim 56,selected,56,83,100,-0.3408093698103313,2.282688856124878,2.2878425121307373
selected trajectory sim 56,selected,56,84,100,0.3437884787174968,1.5137598514556885,1.750909686088562
selected trajectory sim 56,selected,56,85,100,0.07935315397013996,1.7337372303009033,1.9109058380126953
selected trajectory sim 56,selected,56,86,100,0.13163828852070553,1.6723960638046265,1.8508862257003784
selected trajectory sim 56,selected,56,87,100,-0.06735705102337672,1.904597520828247,2.029282808303833
selected trajectory sim 56,selected,56,88,100,-0.39993156530899415,2.294361114501953,2.323735475540161
selected trajectory sim 56,selected,56,89,100,-0.2955698868201818,2.1004388332366943,2.1701183319091797
selected trajectory sim 56,selected,56,90,100,-0.11902162439303918,1.9413530826568604,2.0490424633026123
selected trajectory sim 56,selected,56,91,100,0.1881998080526484,1.6587657928466797,1.8648183345794678
selected trajectory sim 56,selected,56,92,100,-0.481852099538911,2.3670549392700195,2.362416982650757
selected trajectory sim 56,selected,56,93,100,-0.4068555070061775,2.2114439010620117,2.2353217601776123
selected trajectory sim 56,selected,56,94,100,-0.37791896579959694,2.1812002658843994,2.231031656265259
selected trajectory sim 56,selected,56,95,100,-0.31840194165154506,2.1446948051452637,2.1979005336761475
selected trajectory sim 56,selected,56,96,100,0.17662705918596525,1.6218489408493042,1.8149940967559814
selected trajectory sim 56,selected,56,97,100,0.3482703772786049,1.503853678703308,1.7338447570800781
selected trajectory sim 56,selected,56,98,100,0.18759853886729774,1.6425001621246338,1.8427534103393555
selected trajectory sim 56,selected,56,99,100,0.04117477594834443,1.819705605506897,1.971228837966919
