original_sim_idx,node_count,edge_count,degree_mean,degree_std,edge_len_mean,edge_len_std,stiffness_mean,stiffness_std,node_stiffness_mean,node_stiffness_std,horizontal_edge_fraction,vertical_edge_fraction,diagonal_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,horizontal_edge_len,vertical_edge_len,diagonal_edge_len,angle_mean,angle_std,right_angle_fraction
23,228,657,5.7631578947368425,0.8250744950837307,2.319708226841153,3.9227299470001484,0.8645146062747892,0.12739419849801312,0.8732896453182003,0.09084260645487764,0.3698630136986301,0.3683409436834094,0.2617960426179604,0.8700087568396894,0.8643906877553167,0.856926871940147,2.6384950984162066,2.7181196850686034,1.308773443795914,96.83831299930613,45.236822366629724,0.14530714062987216
24,112,320,5.714285714285714,0.8390957231764807,2.490526631753892,3.0806538232399627,0.8438441089354456,0.36576181984338785,0.8507345154032517,0.12774097436253204,0.3875,0.403125,0.209375,0.8731696694608657,0.8492307505866353,0.7791986420973024,2.5503346569115117,2.8515043429626052,1.6848203651051024,86.83805950116773,48.369529888928426,0.21124031007751937
25,180,522,5.8,0.7483314773547882,2.4710934177554886,3.794044770285123,0.8724255342022212,0.2557077578593375,0.8813363100872154,0.11830049918303667,0.4099616858237548,0.41954022988505746,0.17049808429118773,0.9161727581625787,0.8865447539717095,0.7324927807523963,2.6840724617799867,2.604292968772862,1.6312258099572043,93.76728267902047,46.83923080794683,0.2214397496087637
26,184,533,5.793478260869565,0.7523592382900962,2.5558029750945646,3.8917505403623363,0.8657520911595163,0.2967313727592715,0.8742443737236485,0.13280040143527322,0.4071294559099437,0.41088180112570355,0.18198874296435272,0.8971115721535573,0.88681736139402,0.7480376421176281,2.5619402431672618,2.9576276860552837,1.6348607186804112,91.98609863672033,47.681557210254276,0.2351361718450326
27,264,763,5.78030303030303,0.7959594357278207,2.77456649833238,4.520311568665228,0.8603096086028987,0.40540565575959814,0.868286932744677,0.17472411024435866,0.3918741808650065,0.41939711664482304,0.18872870249017037,0.8958439297700008,0.8682671777904034,0.7688430518739753,2.8306261648900533,3.215780478157103,1.6776893188556035,88.91721393266927,48.62710298333637,0.2122755293487001
28,248,713,5.75,0.7198230069192861,2.9846395119961984,4.720664145099492,0.8457284449778633,0.3761104320465824,0.8533298616733876,0.15773189562296558,0.3899018232819074,0.39831697054698456,0.211781206171108,0.8836710770353139,0.8455348090386726,0.7762379873272599,3.2096492848593554,3.3910238812087288,1.8060575403914547,87.13890397782328,49.123494291348095,0.19762387713706173
29,144,411,5.708333333333333,0.8322910148099242,2.7964828674230553,3.7172771074697084,0.8262440250447777,0.3694245745926464,0.8339202160587308,0.1335208522454783,0.40875912408759124,0.3844282238442822,0.20681265206812652,0.8175765478185245,0.8855970918754988,0.7330481616889729,3.0073985748347782,3.024584628358672,1.9556132547995624,85.39714885673924,48.88253336515218,0.20856423173803526
30,244,698,5.721311475409836,0.7710148207413015,2.540049707010004,4.238068146875111,0.8607579341590575,0.264004562799091,0.8667731496773712,0.12107342799791501,0.4068767908309456,0.40114613180515757,0.19197707736389685,0.8791532074691544,0.8838062118206705,0.7736103568059295,2.78534262637857,2.7762201693441186,1.526684643172506,93.81919527212446,46.89788052128799,0.22238717339667458
31,168,479,5.7023809523809526,0.805926882905372,2.482162639156513,3.7530453315448233,0.8676575149773058,0.23334229029165152,0.8754161552160707,0.10542875192545297,0.4342379958246347,0.3987473903966597,0.16701461377870563,0.8914267979562283,0.8913666527932851,0.7492518126964569,2.637433553257814,2.5936606627796333,1.8122567310929298,94.03533949001333,46.95943864128675,0.21369744256610315
32,240,683,5.691666666666666,0.744936611770126,2.5111776629618285,4.235250455979137,0.8723942054487427,0.23164098976608893,0.8814521997339195,0.12213224791504926,0.3967789165446559,0.4011713030746706,0.2020497803806735,0.9119438359658216,0.8920288457922692,0.7557431813599407,2.747752015551078,2.7765776533497513,1.519646888193877,95.98472686722421,46.224850288865014,0.20177315805564047
