dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,train_original_sim_idx,original_sim_idx
selected CV2 sim-56,other_trajectories,54,99,99,0.4040899755596642,0.3489494330700199,3.626957186497748e-05,0.00045206109643913805,0.0006337144295684993,1.4018335896635106,selected trajectory sim 56,selected,56,54
selected CV2 sim-56,other_trajectories,55,99,99,0.3997622492328391,0.20689655172413793,8.884642011253163e-05,0.0004071251896675676,0.0007405768847092986,1.819039704504667,selected trajectory sim 56,selected,56,55
selected CV2 sim-56,other_trajectories,56,99,99,0.4257898029402565,-0.02220414106160204,0.00011633355461526662,0.0004031455027870834,0.0004341701278463006,1.076956396250816,selected trajectory sim 56,selected,56,57
selected CV2 sim-56,other_trajectories,57,99,99,0.3961731322749407,0.16044853527247316,0.00010788916551973671,0.00041303675970993936,0.0007797846337780356,1.8879303486828871,selected trajectory sim 56,selected,56,58
selected CV2 sim-56,other_trajectories,58,99,99,0.3812199789852897,-0.024444514915118072,0.00014960180851630867,0.00043452842510305345,0.0007173437043093145,1.6508556468755482,selected trajectory sim 56,selected,56,59
selected CV2 sim-56,other_trajectories,59,99,99,0.41580383805747295,-0.36743067270492197,0.0003282422840129584,0.0005367213161662221,0.00043621272197924554,0.8127359745930994,selected trajectory sim 56,selected,56,60
selected CV2 sim-56,other_trajectories,60,99,99,0.4155391456786447,-0.568706819114369,0.0005475413636304438,0.0007164106937125325,0.0003556621086318046,0.4964500275515399,selected trajectory sim 56,selected,56,61
selected CV2 sim-56,other_trajectories,61,99,99,0.39547212776447743,-0.40406873794921666,0.0003706329152919352,0.0004830681427847594,0.0006280188099481165,1.3000625674211408,selected trajectory sim 56,selected,56,62
selected CV2 sim-56,other_trajectories,62,99,99,0.40564418289730025,-0.05262115820854995,0.0001633065694477409,0.0003760328399948776,0.0006283845868892968,1.6710896497706338,selected trajectory sim 56,selected,56,63
selected CV2 sim-56,other_trajectories,63,99,99,0.4346395028800045,0.3664815722140563,2.287546703882981e-05,0.0004930452560074627,0.0004780067829415202,0.9694987977620559,selected trajectory sim 56,selected,56,64
selected CV2 sim-56,other_trajectories,64,99,99,0.4097282317550583,-0.11640469931870608,0.00018538726726546884,0.0004822881310246885,0.0006115015712566674,1.2679175205026234,selected trajectory sim 56,selected,56,65
selected CV2 sim-56,other_trajectories,65,99,99,0.4009538054138878,-0.531035219000366,0.0004502654483076185,0.0006431324291042984,0.0004227222816552967,0.6572865284433399,selected trajectory sim 56,selected,56,66
selected CV2 sim-56,other_trajectories,66,99,99,0.4063583506694404,0.1547484379790462,7.391554390778765e-05,0.0004146473074797541,0.0006469318177551031,1.5601978020481677,selected trajectory sim 56,selected,56,67
selected CV2 sim-56,other_trajectories,67,99,99,0.3888335935620516,0.1667694383396314,7.833417475922033e-05,0.0004466174868866801,0.000708527397364378,1.5864300395030255,selected trajectory sim 56,selected,56,68
selected CV2 sim-56,other_trajectories,68,99,99,0.41277725597861425,-0.24304900765816526,0.0002466595615260303,0.000519165419973433,0.00041474419413134456,0.7988671397886401,selected trajectory sim 56,selected,56,69
selected CV2 sim-56,other_trajectories,69,99,99,0.3985617801923828,-0.1692572851169768,0.00027278027846477926,0.0004200634139124304,0.0007610128377564251,1.8116617933193098,selected trajectory sim 56,selected,56,70
selected CV2 sim-56,other_trajectories,70,99,99,0.39506376375890995,-0.4747974156811213,0.0004301310982555151,0.0005147475749254227,0.0006911142263561487,1.3426274547408568,selected trajectory sim 56,selected,56,71
selected CV2 sim-56,other_trajectories,71,99,99,0.4252639254876614,0.2057613393285895,4.0965307562146336e-05,0.0004204792494419962,0.0004987198044545949,1.186074711454677,selected trajectory sim 56,selected,56,72
selected CV2 sim-56,other_trajectories,72,99,99,0.3923935892160025,-0.45078594289498164,0.00041023475932888687,0.0005764088709838688,0.0005233771516941488,0.9079963512719703,selected trajectory sim 56,selected,56,73
selected CV2 sim-56,other_trajectories,73,99,99,0.42026899700769305,-0.2976900149031297,0.0003057385329157114,0.00043307055602781475,0.0006074047414585948,1.4025537709831817,selected trajectory sim 56,selected,56,74
selected CV2 sim-56,other_trajectories,74,99,99,0.4058461490840242,0.34058262206719925,1.9364066247362643e-05,0.00045091065112501383,0.0005378076457418501,1.1927144422071865,selected trajectory sim 56,selected,56,75
selected CV2 sim-56,other_trajectories,75,99,99,0.38256081525312297,-0.5412945405938566,0.0004403433413244784,0.0005980843561701477,0.00046911125537008047,0.784356337915356,selected trajectory sim 56,selected,56,76
selected CV2 sim-56,other_trajectories,76,99,99,0.41827941219605197,0.014790939300887561,9.411247447133064e-05,0.00043843858293257654,0.0004272635851521045,0.9745118285308605,selected trajectory sim 56,selected,56,77
selected CV2 sim-56,other_trajectories,77,99,99,0.43448816564394455,0.005193600983502373,0.00011589948553591967,0.0004839555767830461,0.00040112491114996374,0.828846552025136,selected trajectory sim 56,selected,56,78
selected CV2 sim-56,other_trajectories,78,99,99,0.3951099484576135,-0.4589857341684064,0.00039843900594860315,0.000502297654747963,0.000580049236305058,1.1547918466712896,selected trajectory sim 56,selected,56,79
