case_short,original_sim_idx,final_p_ratio,mean_latent_path_coordinate,final_latent_path_coordinate,range_latent_path_coordinate
selected,77,-0.07075996703199396,0.14065834378934297,1.9778953234467611,3.554048622994072
selected,78,0.12699982791696676,-0.4269650954108329,0.8467364581573841,2.5271913312501866
selected,79,-0.15711103408322405,0.2428972850613325,2.1330743043914446,3.631874964060218
selected,80,0.1822849822987849,-0.5394893419917532,0.7073609378900265,2.480643370965212
selected,81,-0.12771201037928526,0.15597314528250222,1.861023556253978,3.284374098448626
selected,82,-0.08436423666781437,0.005221078334219778,1.6870419554690723,3.2793975175645276
selected,83,-0.12315607316120104,0.20001221005461597,2.1533655939710163,3.767369083468662
selected,84,0.14421983542156405,-0.3771838799955488,0.9314875787022832,2.587750905669857
selected,85,-0.04889763898242052,-0.03099097421321868,1.5775635607772738,3.132861061673669
selected,86,-0.13193082504033954,0.13151806039881,1.9232156502956608,3.438697477912381
selected,87,0.27673880911901655,-0.6545599637890035,0.5290230330195725,2.3564498578196997
selected,88,-0.033541463369191324,-0.0784891505137488,1.4714172501509915,3.0602590497910924
selected,89,0.22590702007093752,-0.8059088030756036,0.36541631461284607,2.330528630657573
selected,90,-0.0036101382641459327,-0.18021288873209504,1.3860594536165347,3.072476000461263
selected,91,0.20114686937290777,-0.47577592842201416,0.7631720597867808,2.4615541781041586
selected,92,-0.06082767686482228,0.10961736422781516,1.8637705359798429,3.3875670793765056
selected,93,0.3812481697430855,-1.0925710515954334,-0.08379615699326014,2.0013810042291444
selected,94,0.1606833051492441,-0.4205362568656397,0.8051945542865266,2.4338998546169006
selected,95,0.15031615373850205,-0.505371041177816,0.8523077085857,2.68746282158923
selected,96,0.0729596003150843,-0.2649778460355863,1.1295902326636023,2.75152340754492
selected,97,0.18079457023269338,-0.5221689806221108,0.689140855549847,2.4049148264193034
selected,98,0.30795067109622015,-0.8322234278051561,0.26788786079548593,2.181064764232
selected,99,0.2817123526652541,-0.796495515953059,0.3535692649415495,2.290729004200528
selected,100,0.21035491246831667,-0.768748424073697,0.4193061684013817,2.363598124627647
selected,101,-0.08698580311493488,0.24771659350302205,2.0510784071694257,3.438374164996321
