dataset,latent_dim,sim_idx,final_p_ratio,normal_z0,masked_z0,delta_z0,normal_z1,masked_z1,delta_z1
Reid CV2,2,54,-0.06866933130407157,2.9834437370300293,3.7511370182037354,0.767693281173706,2.494276762008667,3.061800003051758,0.5675232410430908
Reid CV2,2,55,-0.06695112756186168,3.2189700603485107,3.7025115489959717,0.48354148864746094,2.662322998046875,3.0199732780456543,0.3576502799987793
Reid CV2,2,56,-0.2691509251686252,3.2304365634918213,3.72678542137146,0.49634885787963867,2.6692333221435547,3.0368096828460693,0.36757636070251465
Reid CV2,2,57,-0.06082767686482228,3.2638096809387207,3.785125732421875,0.5213160514831543,2.7089223861694336,3.094193458557129,0.3852710723876953
Reid CV2,2,58,-0.15711103408322405,3.2573323249816895,3.7067601680755615,0.44942784309387207,2.6974055767059326,3.029538154602051,0.33213257789611816
Reid CV2,2,59,-0.1623723264424866,3.111544132232666,3.7446506023406982,0.6331064701080322,2.592150926589966,3.060528039932251,0.46837711334228516
Reid CV2,2,60,-0.07075996703199396,3.437344789505005,3.7929728031158447,0.35562801361083984,2.836541175842285,3.0995843410491943,0.2630431652069092
Reid CV2,2,61,-0.16665686710960664,3.202237367630005,3.7740771770477295,0.5718398094177246,2.6571226119995117,3.0796444416046143,0.42252182960510254
Reid CV2,2,62,0.21269403862426334,3.6582844257354736,3.6823387145996094,0.024054288864135742,2.989391326904297,3.006897211074829,0.017505884170532227
Reid CV2,2,63,0.3873779088920612,3.938955545425415,3.766906261444092,-0.17204928398132324,3.201141357421875,3.073324203491211,-0.12781715393066406
Reid CV2,2,64,-0.25379435107376286,3.191586971282959,3.7506794929504395,0.5590925216674805,2.6514368057250977,3.0649609565734863,0.41352415084838867
Reid CV2,2,65,-0.2835927971877466,2.9757091999053955,3.7365705966949463,0.7608613967895508,2.488194227218628,3.0511913299560547,0.5629971027374268
Reid CV2,2,66,0.03867895965791973,3.3059794902801514,3.741466760635376,0.4354872703552246,2.7278497219085693,3.0495007038116455,0.32165098190307617
