dataset,source,target,pearson_r,abs_pearson_r,r2,n
Reid CV2,vertical_stiffness,early_mean_abs_dx,-0.04333120504768425,0.04333120504768425,0.001877593330884457,67
Reid CV2,vertical_stiffness,early_mean_abs_dy,-0.8458461838149691,0.8458461838149691,0.7154557666743465,67
Reid CV2,vertical_stiffness,early_disp_anisotropy,0.6262219233615541,0.6262219233615541,0.3921538972986442,67
Reid CV2,vertical_stiffness,final_x_strain,0.011737738399631787,0.011737738399631787,0.00013777450273819058,67
Reid CV2,vertical_stiffness,final_y_strain,-0.8390132214553724,0.8390132214553724,0.7039431857769217,67
Reid CV2,vertical_stiffness,final_mean_abs_dx,0.2563038353146069,0.2563038353146069,0.06569165599697713,67
Reid CV2,vertical_stiffness,final_mean_abs_dy,0.10217279525453453,0.10217279525453453,0.010439280090125033,67
Reid CV2,vertical_stiffness,final_disp_anisotropy,0.06542956992842362,0.06542956992842362,0.004281028621018477,67
Reid CV2,vertical_stiffness,final_p_ratio,-0.8515527661316041,0.8515527661316041,0.7251421135063865,67
Reid CV2,vertical_stiffness,initial_z0,-0.9321576417123358,0.9321576417123358,0.8689178690027035,67
Reid CV2,vertical_stiffness,initial_z_linear_p_ratio,-0.931457065661646,0.931457065661646,0.8676122651710039,67
Reid CV2,node_stiffness_std,early_x_strain,-0.12624635631225797,0.12624635631225797,0.0159381424821216,67
Reid CV2,node_stiffness_std,early_y_strain,-0.9117547689165291,0.9117547689165291,0.8312967586420333,67
Reid CV2,node_stiffness_std,early_mean_abs_dx,-0.09721731030698075,0.09721731030698075,0.009451205423323785,67
Reid CV2,node_stiffness_std,early_mean_abs_dy,-0.7871607744675934,0.7871607744675934,0.6196220848604214,67
Reid CV2,node_stiffness_std,early_disp_anisotropy,0.5751986668642284,0.5751986668642284,0.3308535063623856,67
Reid CV2,node_stiffness_std,final_x_strain,-0.040282503572092385,0.040282503572092385,0.0016226800940356357,67
Reid CV2,node_stiffness_std,final_y_strain,-0.9049712986925397,0.9049712986925397,0.8189730514572618,67
Reid CV2,node_stiffness_std,final_mean_abs_dx,0.24433594091712135,0.24433594091712135,0.05970005202385502,67
Reid CV2,node_stiffness_std,final_mean_abs_dy,0.29719326342188496,0.29719326342188496,0.0883238358233499,67
