dataset,latent_dim,sim_idx,final_p_ratio,variant,z0,z1
Reid CV1,1,62,0.21269403862426334,zero_ref_pos,-2.9366538524627686,
Reid CV1,1,63,0.3873779088920612,normal,-2.8817503452301025,
Reid CV1,1,63,0.3873779088920612,stiffness_global_mean,-2.96718692779541,
Reid CV1,1,63,0.3873779088920612,stiffness_network_mean,-2.8712661266326904,
Reid CV1,1,63,0.3873779088920612,edge_geometry_train_mean,-2.8280575275421143,
Reid CV1,1,63,0.3873779088920612,zero_ref_pos,-2.857705593109131,
Reid CV1,1,64,-0.25379435107376286,normal,-3.307037830352783,
Reid CV1,1,64,-0.25379435107376286,stiffness_global_mean,-2.9552273750305176,
Reid CV1,1,64,-0.25379435107376286,stiffness_network_mean,-3.2792603969573975,
Reid CV1,1,64,-0.25379435107376286,edge_geometry_train_mean,-3.2472686767578125,
Reid CV1,1,64,-0.25379435107376286,zero_ref_pos,-3.303161144256592,
Reid CV1,1,65,-0.2835927971877466,normal,-3.5014994144439697,
Reid CV1,1,65,-0.2835927971877466,stiffness_global_mean,-3.0287744998931885,
Reid CV1,1,65,-0.2835927971877466,stiffness_network_mean,-3.4684274196624756,
Reid CV1,1,65,-0.2835927971877466,edge_geometry_train_mean,-3.3886919021606445,
Reid CV1,1,65,-0.2835927971877466,zero_ref_pos,-3.4885365962982178,
Reid CV1,1,66,0.03867895965791973,normal,-3.3380484580993652,
Reid CV1,1,66,0.03867895965791973,stiffness_global_mean,-3.0566890239715576,
Reid CV1,1,66,0.03867895965791973,stiffness_network_mean,-3.269296407699585,
Reid CV1,1,66,0.03867895965791973,edge_geometry_train_mean,-3.2140047550201416,
Reid CV1,1,66,0.03867895965791973,zero_ref_pos,-3.303877592086792,
Reid CV2,2,0,0.2238599590476573,normal,3.7060670852661133,3.033402681350708
Reid CV2,2,0,0.2238599590476573,stiffness_global_mean,3.7702951431274414,3.080549478530884
Reid CV2,2,0,0.2238599590476573,stiffness_network_mean,3.6833884716033936,3.0161964893341064
Reid CV2,2,0,0.2238599590476573,edge_geometry_train_mean,3.679898500442505,3.0034542083740234
Reid CV2,2,0,0.2238599590476573,zero_ref_pos,3.704022169113159,3.03151798248291
Reid CV2,2,1,-0.24075396534886645,normal,3.1447126865386963,2.6125574111938477
Reid CV2,2,1,-0.24075396534886645,stiffness_global_mean,3.741389751434326,3.0536985397338867
Reid CV2,2,1,-0.24075396534886645,stiffness_network_mean,3.094921827316284,2.574986219406128
Reid CV2,2,1,-0.24075396534886645,edge_geometry_train_mean,3.133256196975708,2.597402811050415
