edge_i,edge_j,stiffness,grad,contribution,abs_contribution,dataset,sim_idx,final_p_ratio,target,target_value,stiffness_percentile,abs_contribution_percentile,stiffness_zscore_within_sim
1,12,0.4223616421222687,-0.0045542726293206215,0.00024412319180555642,0.00024412319180555642,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.4753623188405797,0.3739130434782609,-0.1601321344785376
1,110,0.5081608295440674,-0.00358744733966887,-0.00011550172348506749,0.00011550172348506749,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.8782608695652174,0.17101449275362318,1.2448599588905362
2,3,0.4366832971572876,-0.021271422505378723,0.0008355724858120084,0.0008355724858120084,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.5855072463768116,0.9304347826086956,0.07439004099661954
2,12,0.427797794342041,-0.0045542726293206215,0.00021936546545475721,0.00021936546545475721,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.5217391304347826,0.32463768115942027,-0.07111321580763211
2,110,0.4582057297229767,-0.00358744733966887,6.370956543833017e-05,6.370956543833017e-05,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.6927536231884058,0.09565217391304348,0.42682749982947044
2,111,0.5411730408668518,-0.00295176450163126,-0.00019247950694989413,0.00019247950694989413,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.9391304347826087,0.2956521739130435,1.7854466157911708
3,4,0.3460007905960083,-0.01905536837875843,0.002476511290296912,0.002476511290296912,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.05507246376811594,1.0,-1.4105681334804083
3,12,0.3212699890136719,-0.0045542726293206215,0.0007045221282169223,0.0007045221282169223,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.002898550724637681,0.8753623188405797,-1.8155437717116176
3,13,0.37552857398986816,-0.006065358407795429,0.0006091814138926566,0.0006091814138926566,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.1826086956521739,0.8144927536231884,-0.9270402184765483
3,104,0.35599738359451294,-0.004174554720520973,0.000500810332596302,0.000500810332596302,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.0927536231884058,0.7304347826086957,-1.2468703812571833
3,111,0.38725411891937256,-0.00295176450163126,0.0002618528960738331,0.0002618528960738331,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.26666666666666666,0.39420289855072466,-0.7350302658017291
3,112,0.3287922739982605,-0.0032502785325050354,0.0004783515469171107,0.0004783515469171107,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.014492753623188406,0.7043478260869566,-1.6923636898833512
4,5,0.35354116559028625,-0.018872328102588654,0.0023104180581867695,0.0023104180581867695,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.0782608695652174,0.9942028985507246,-1.2870918213340443
4,13,0.39594322443008423,-0.006065358407795429,0.0004853592545259744,0.0004853592545259744,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.33043478260869563,0.7159420289855073,-0.5927430844443696
4,14,0.45976102352142334,-0.006415411364287138,0.00010395360004622489,0.00010395360004622489,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.7072463768115942,0.14782608695652175,0.4522959868320446
4,112,0.38451269268989563,-0.0032502785325050354,0.00029724466730840504,0.00029724466730840504,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.25217391304347825,0.4318840579710145,-0.7799220916186144
4,113,0.35095858573913574,-0.0032637196127325296,0.00040798509144224226,0.00040798509144224226,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.06666666666666667,0.5971014492753624,-1.3293824814252946
5,6,0.39177489280700684,-0.020593324676156044,0.0017337491735816002,0.0017337491735816002,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.30434782608695654,0.9884057971014493,-0.6610009916454358
5,14,0.4135798215866089,-0.006415411364287138,0.00040022502071224153,0.00040022502071224153,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.42028985507246375,0.5826086956521739,-0.3039375572190961
5,15,0.4231605529785156,-0.01902824081480503,0.0010047710966318846,0.0010047710966318846,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.48405797101449277,0.9536231884057971,-0.14704968614699898
5,16,0.37759801745414734,-0.004783689044415951,0.00047055588220246136,0.00047055588220246136,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.20869565217391303,0.6956521739130435,-0.893152348528635
5,27,0.37024784088134766,-0.004765029065310955,0.0005037441733293235,0.0005037441733293235,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.14492753623188406,0.736231884057971,-1.0135140941344731
5,113,0.3468170762062073,-0.0032637196127325296,0.00042150181252509356,0.00042150181252509356,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.057971014492753624,0.6260869565217392,-1.3972011673968914
6,7,0.3719988465309143,-0.019712021574378014,0.0020493781194090843,0.0020493781194090843,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.1565217391304348,0.991304347826087,-0.9848407562275375
6,16,0.43538418412208557,-0.004783689044415951,0.00019412483379710466,0.00019412483379710466,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.5710144927536231,0.30144927536231886,0.05311660475906593
6,113,0.3707922399044037,-0.0032637196127325296,0.0003432536032050848,0.0003432536032050848,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.15072463768115943,0.5072463768115942,-1.0045993672470102
6,114,0.45253485441207886,-0.004379570949822664,0.00010261291026836261,0.00010261291026836261,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.672463768115942,0.1391304347826087,0.33396490737711987
6,115,0.4903425872325897,-0.004594274330884218,-6.605570524698123e-05,6.605570524698123e-05,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.8202898550724638,0.10144927536231885,0.9530799278945787
7,8,0.42957448959350586,-0.021309029310941696,0.0009885315084829926,0.0009885315084829926,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.5362318840579711,0.9507246376811594,-0.04201920156758265
7,16,0.36865583062171936,-0.004783689044415951,0.0005133325466886163,0.0005133325466886163,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.1391304347826087,0.7478260869565218,-1.0395838261978319
7,17,0.3892127573490143,-0.009366288781166077,0.0008125442545861006,0.0008125442545861006,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.28405797101449276,0.9217391304347826,-0.7029568675551126
7,18,0.38876965641975403,-0.006731575820595026,0.0005869604065082967,0.0005869604065082967,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.2811594202898551,0.8,-0.7102128022659462
7,115,0.4609135389328003,-0.004594274330884218,6.914941332070157e-05,6.914941332070157e-05,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.7159420289855073,0.10434782608695652,0.47116883503875406
7,116,0.3969263434410095,-0.003555815666913986,0.00028104602824896574,0.00028104602824896574,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.34202898550724636,0.4115942028985507,-0.5766441623135532
8,18,0.4946627616882324,-0.006731575820595026,-0.0001258670527022332,0.0001258670527022332,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.8521739130434782,0.19710144927536233,1.0238243152780295
8,19,0.4747767150402069,-0.005179061554372311,6.152931291580899e-06,6.152931291580899e-06,Reid CV1,63,0.3873779088920612,initial_z0,-2.8817503452301025,0.7594202898550725,0.008695652173913044,0.6981832556315152
