dataset,latent_dim,sim_idx,early_filtered_step,early_frame,final_filtered_step,final_frame,early_x_strain,early_y_strain,early_mean_abs_dx,early_mean_abs_dy,early_disp_anisotropy,final_x_strain,final_y_strain,final_mean_abs_dx,final_mean_abs_dy,final_disp_anisotropy,final_p_ratio,stiffness_mean,stiffness_std,zero_stiffness_edge_count,zero_stiffness_edge_fraction,node_stiffness_mean,node_stiffness_std,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,edge_count,initial_z0,initial_z1,initial_z_linear_p_ratio
Reid CV2,2,22,2,30,80,1200,-0.000507313699927181,-7.186178845586255e-05,0.0018307233694940805,0.0002803198294714093,6.5308379109184695,-0.017423050478100777,-0.005274671595543623,0.07696963101625443,0.024777602404356003,3.1064196511088924,-0.32518965600620253,0.5922993121595305,0.4084282278906608,0,0.0,0.5996975500373568,0.1360582984443934,0.6132950294921802,0.7744765894214337,0.2983679773242329,345,3.2836196422576904,2.715745449066162,4.20827838478471
Reid CV2,2,23,2,30,80,1200,-0.0006607903051190078,-5.750755008193664e-05,0.0018494367832317948,0.00019164061814080924,9.650546951757944,-0.03067089430987835,-0.007807580288499594,0.07524790614843369,0.025770118460059166,2.9199674136174276,-0.24482213582355292,0.6308025446000829,0.3914694865764969,0,0.0,0.6365020617074125,0.15791006283667453,0.6931317818621423,0.80372268681248,0.32032808087341097,400,3.245495080947876,2.6913256645202637,4.163033505917687
Reid CV2,2,24,2,30,80,1200,-0.0006554139545187354,-5.262102058622986e-05,0.001623581163585186,0.0002301808854099363,7.05350125269394,-0.01991679146885872,-0.006647184956818819,0.07611992955207825,0.030009543523192406,2.536524072525467,-0.3112050286983445,0.646844059464753,0.3851650277457816,0,0.0,0.6562613546894276,0.13834750859281475,0.6739886870967864,0.8103027855035073,0.3169957197029869,285,3.052466869354248,2.5534634590148926,3.9267237239267865
Reid CV2,2,25,2,30,80,1200,-0.0005552215152420104,0.00010721413855208084,0.0018839145777747035,0.00037420581793412566,5.034434227065768,-0.02153996378183365,0.0036980099976062775,0.07504358142614365,0.014486392959952354,5.180280669839738,0.18183670511140954,0.4623723167001233,0.17249006373190467,0,0.0,0.46832055600606953,0.06528995552642661,0.4304451608767539,0.5924663209581967,0.31526008972497743,431,3.81245756149292,3.1154580116271973,4.866885646718294
Reid CV2,2,26,2,30,80,1200,-0.0005333635490387678,4.7673252993263304e-05,0.002018493600189686,0.0001699712738627568,11.875498455224365,-0.01817227713763714,-0.00045268115354701877,0.08919316530227661,0.015180597081780434,5.875471486515188,-0.03371838000065961,0.5681737333153051,0.30426587350044115,0,0.0,0.5746925307155504,0.11520214784729446,0.5766395056252457,0.7624373598805358,0.2849305948443912,423,3.3707730770111084,2.7827212810516357,4.317378542830215
Reid CV2,2,27,2,30,80,1200,-0.0006502722972072661,4.2394589399918914e-05,0.0017378136981278658,0.00013917467731516808,12.486565312398742,-0.025499675422906876,0.00045253970893099904,0.07921101897954941,0.005801516119390726,13.653503213547587,0.02298076051167721,0.5773194739756184,0.3096373409011531,0,0.0,0.5834755051256644,0.10396932652043807,0.6011846381154927,0.7671807209534622,0.25870389783651465,289,3.4274613857269287,2.828857660293579,4.389649764209123
Reid CV2,2,28,2,30,80,1200,-0.0005779719213023782,-2.867357397917658e-05,0.001780324848368764,0.00017332368588540703,10.271676599041552,-0.018549460917711258,-0.006975006312131882,0.08604563772678375,0.02780531905591488,3.0945747306028384,-0.22730985066006476,0.6164149622608694,0.4074566997822289,0,0.0,0.6238113877707968,0.17183873616653916,0.6047307522614546,0.8027007563272491,0.37943855369161134,344,3.2010719776153564,2.64748477935791,4.102491143619794
Reid CV2,2,29,2,30,80,1200,-0.0006021411973051727,-9.306806532549672e-06,0.0019059027545154095,0.0001311349478783086,14.533904083936958,-0.025741832330822945,-0.003623028052970767,0.07311985641717911,0.013770057819783688,5.310061684136613,-0.12771201037928526,0.6123778805134376,0.36631022913037825,0,0.0,0.6175255390499452,0.13616093949619046,0.6455671450104055,0.793998375311749,0.3323580157178055,404,3.2148735523223877,2.6692323684692383,4.125432434580372
Reid CV2,2,30,2,30,80,1200,-0.0005990122444927692,6.404424493666738e-05,0.0018701902590692043,0.00024246909015346318,7.713107917737169,-0.024039559066295624,0.0017866060370579362,0.07958116382360458,0.008523303084075451,9.336892404106852,0.0950451355151094,0.5507063421413786,0.25633939852571264,0,0.0,0.5577914296042453,0.10244154204029633,0.5555943187168786,0.7264863063891729,0.30243948607816606,401,3.4225761890411377,2.8151895999908447,4.378494184380072
Reid CV2,2,31,2,30,80,1200,-0.0005848802393302321,-3.2471725717186928e-06,0.0017517314990982413,0.00019806894124485552,8.844049390523711,-0.023246143013238907,-0.0023312943521887064,0.08675786107778549,0.02105514518916607,4.120506427209382,-0.20617802151122547,0.6124287859928843,0.37480472163993467,0,0.0,0.6162015537387536,0.10966582247100742,0.6493485011907189,0.7951741394688292,0.3256240358385138,285,3.2304694652557373,2.667269706726074,4.1378645940034975
Reid CV2,2,32,2,30,80,1200,-0.0005874623893760145,-4.108412758796476e-05,0.002200117101892829,0.00028621655656024814,7.686896692259337,-0.024652279913425446,-0.001488202135078609,0.07272743433713913,0.03625766560435295,2.005849883739006,-0.32336614357869486,0.6332109144684127,0.3854094552082523,0,0.0,0.6404239888341294,0.13987004538356837,0.7254116046953494,0.8133976339307484,0.2770710728347669,513,3.1197094917297363,2.5980582237243652,4.007299735522539
Reid CV2,2,33,2,30,80,1200,-0.0005979705019854009,0.00017211053636856377,0.0016547456616535783,0.0004299876163713634,3.8483565541209437,-0.024215584620833397,0.007058214861899614,0.06559636443853378,0.018184835091233253,3.6072015011099663,0.27772893013013333,0.47832161542418955,0.10392523491962888,0,0.0,0.48159078458661125,0.04370182124435371,0.43789249951285975,0.5664869098380061,0.4183677283868398,286,3.6880476474761963,3.012237071990967,4.707276148019367
Reid CV2,2,34,2,30,80,1200,-0.0005858091753907502,-3.0675037123728544e-05,0.0016592544270679355,0.00022651445760857314,7.325159040996843,-0.024105239659547806,-0.006109750829637051,0.09086885303258896,0.02772214263677597,3.2778437880210265,-0.33399938936466717,0.6273865206722627,0.39883843369714667,0,0.0,0.6330291337635305,0.1648231200813174,0.6209494221103867,0.8043039726661891,0.39023924851710334,289,3.27620005607605,2.715343952178955,4.201685099194216
Reid CV2,2,35,2,30,80,1200,-0.0005822030361741781,0.00011759368499042466,0.0017586668254807591,0.0003075595886912197,5.718133624006131,-0.023240437731146812,0.004984661005437374,0.06826874613761902,0.012200724333524704,5.595466651929235,0.1677718678598186,0.5745579226715871,0.25003278248868754,0,0.0,0.5796634732133576,0.11112409868134093,0.5167142301229121,0.7700938130499887,0.39166067657845743,342,3.435086965560913,2.833359718322754,4.398505157723931
Reid CV2,2,36,2,30,80,1200,-0.0005845939740538597,-1.7570619093021378e-07,0.001613781787455082,0.0001201489576487802,13.431508845648864,-0.01706991344690323,-0.0009886109037324786,0.07690606266260147,0.02656196989119053,2.8953448474507884,-0.05914505731234828,0.6521704925490484,0.3816615228652925,0,0.0,0.6605761102487182,0.145836454555941,0.6394980308033522,0.8158907941544596,0.43500809217794983,288,3.1333086490631104,2.6089000701904297,4.024522248729118
Reid CV2,2,37,2,30,80,1200,-0.0006113626877777278,0.00013778758875560015,0.0020337519235908985,0.0004910425050184131,4.141702404183192,-0.025030585005879402,0.005852892994880676,0.08364822715520859,0.020304763689637184,4.119635590632341,0.24274224639077988,0.4976987735933612,0.1537250595705083,0,0.0,0.5022383285854899,0.06724815134925935,0.445881215134108,0.6279118552028788,0.37660568872732775,458,3.648902654647827,2.9901132583618164,4.662319823659346
Reid CV2,2,38,2,30,80,1200,-0.0005764732486568391,0.00016946025425568223,0.002175432862713933,0.0005814894684590399,3.74113888679511,-0.022998623549938202,0.0076013728976249695,0.08603911101818085,0.025090551003813744,3.4291439436743727,0.27673880911901655,0.5115199908902941,0.14064379061477675,0,0.0,0.5166416436039581,0.060601160800845696,0.4468323349331816,0.6334668300114572,0.4282339062880386,516,3.6595194339752197,2.9994966983795166,4.676232694372085
Reid CV2,2,39,2,30,80,1200,-0.0005599707365036011,-2.7690599381458014e-05,0.0022232483606785536,0.00020882539683952928,10.646446238466849,-0.024413010105490685,-0.007199754007160664,0.09326688945293427,0.0290821585804224,3.2070139908981825,-0.21908872590380996,0.6166046730527787,0.37824043708846056,0,0.0,0.6266439936429209,0.14618715309735691,0.6871781471960675,0.7878841759724767,0.2842743232755808,521,3.2358922958374023,2.6898796558380127,4.154029191831768
