dataset,sim_idx,final_p_ratio,mean_frame_p_ratio,final_frame_p_ratio,initial_z0,mean_z0,final_z0,slope_z0,initial_pc1,mean_pc1,final_pc1,slope_pc1,initial_z1,mean_z1,final_z1,slope_z1,initial_pc2,mean_pc2,final_pc2,slope_pc2,initial_z_linear_p_ratio
Reid CV1,15,-0.08436423666781437,-0.06771996491574266,-0.08415424474979463,-3.171903371810913,-5.580581123828888,-8.162964820861816,-4.991061449050903,2.6444632866845206,0.2357855346665454,-2.3465981623663827,-4.991061449050903,,,,,,,,,-3.171903371810913
Reid CV1,16,0.30795067109622015,0.3065847325899842,0.30801986633556105,-3.0102179050445557,-4.635860056877136,-6.283935546875,-3.2737176418304443,2.806148753450878,1.180506601618297,-0.46756888837956634,-3.2737176418304443,,,,,,,,,-3.0102179050445557
Reid CV1,17,-0.033541463369191324,-0.019454499806535158,-0.0333348614309341,-3.23432993888855,-5.549942851066589,-7.983248710632324,-4.748918771743774,2.582036719606884,0.266423807428844,-2.1668820521368906,-4.748918771743774,,,,,,,,,-3.23432993888855
Reid CV1,18,-0.0473741087700227,-0.03514801769330729,-0.047212948834135016,-3.4054298400878906,-5.9545138692855835,-9.015586853027344,-5.610157012939453,2.410936818407543,-0.1381472107901499,-3.19922019453191,-5.610157012939453,,,,,,,,,-3.4054298400878906
Reid CV1,19,0.2511593493496609,0.2516583920577673,0.25118170731359013,-3.040930986404419,-4.834830896854401,-6.673516273498535,-3.632585287094116,2.7754356720910147,0.9815357616410327,-0.8571496150031015,-3.632585287094116,,,,,,,,,-3.040930986404419
Reid CV1,20,-0.21987798577425652,-0.1957910126880684,-0.21950520062210058,-3.3800876140594482,-6.433239192962646,-10.411401748657227,-7.031314134597778,2.4362790444359854,-0.6168725344672129,-4.595035090161793,-7.031314134597778,,,,,,,,,-3.3800876140594482
Reid CV1,21,-0.18996567826885782,-0.1557772295663684,-0.18950784625588388,-3.2783901691436768,-6.170439274311065,-9.45167350769043,-6.173283338546753,2.537976489351757,-0.3540726158156321,-3.635306849194996,-6.173283338546753,,,,,,,,,-3.2783901691436768
Reid CV1,22,-0.32518965600620253,-0.2865234137683803,-0.3245582816289251,-3.309399366378784,-6.627963631153107,-10.59891414642334,-7.289514780044556,2.5069672921166495,-0.8115969726576728,-4.782547487927906,-7.289514780044556,,,,,,,,,-3.309399366378784
Reid CV1,23,-0.24482213582355292,-0.21068871386603646,-0.24433047761272236,-3.345102310180664,-7.080977644920349,-12.430598258972168,-9.085495948791504,2.4712643483147696,-1.2646109864249153,-6.614231600476734,-9.085495948791504,,,,,,,,,-3.345102310180664
Reid CV1,24,-0.3112050286983445,-0.2780184781626083,-0.3108098435503546,-3.4133236408233643,-6.4391722488403325,-9.992340087890625,-6.579016447067261,2.4030430176720694,-0.6228055903448984,-4.175973429395191,-6.579016447067261,,,,,,,,,-3.4133236408233643
Reid CV1,25,0.18183670511140954,0.1839961011805458,0.18185633040693502,-2.9577629566192627,-4.891814291477203,-6.871611595153809,-3.913848638534546,2.858603701876171,0.92455236701823,-1.055244936658375,-3.913848638534546,,,,,,,,,-2.9577629566192627
Reid CV1,26,-0.03371838000065961,-0.009329264183457097,-0.03340879267822415,-3.205212354660034,-5.621535320281982,-8.43592357635498,-5.230711221694946,2.6111543038353995,0.1948313382134509,-2.619556917859547,-5.230711221694946,,,,,,,,,-3.205212354660034
Reid CV1,27,0.02298076051167721,0.033299423710782546,0.023142551425261743,-3.2089478969573975,-5.811954357624054,-8.765225410461426,-5.556277513504028,2.607418761538036,0.004412300871379484,-2.948858751965992,-5.556277513504028,,,,,,,,,-3.2089478969573975
Reid CV1,28,-0.22730985066006476,-0.17640516103244855,-0.2265079119257363,-3.2275984287261963,-6.415071513652801,-10.328901290893555,-7.101302862167358,2.5887682297692374,-0.5987048551573679,-4.512534632398121,-7.101302862167358,,,,,,,,,-3.2275984287261963
Reid CV1,29,-0.12771201037928526,-0.10474902585108517,-0.12741503820103764,-3.3023879528045654,-5.696752617359161,-8.393660545349121,-5.091272592544556,2.5139787056908682,0.11961404113627204,-2.5772938868536874,-5.091272592544556,,,,,,,,,-3.3023879528045654
Reid CV1,30,0.0950451355151094,0.10212626537332464,0.09514840268654957,-3.185662031173706,-5.229075963497162,-7.365178108215332,-4.179516077041626,2.6307046273217276,0.5872906949982712,-1.5488114497198984,-4.179516077041626,,,,,,,,,-3.185662031173706
Reid CV1,31,-0.20617802151122547,-0.16816424378119388,-0.20564907961833545,-3.201103448867798,-5.986257140636444,-9.285538673400879,-6.084435224533081,2.615263209627636,-0.1698904821410106,-3.4691720149054452,-6.084435224533081,,,,,,,,,-3.201103448867798
Reid CV1,32,-0.32336614357869486,-0.27349228888305144,-0.32262761367027015,-3.378800630569458,-7.208801164627075,-13.225441932678223,-9.846641302108765,2.4375660279259757,-1.3924345061316412,-7.409075274182789,-9.846641302108765,,,,,,,,,-3.378800630569458
Reid CV1,33,0.27772893013013333,0.27786344009282476,0.27776256487408546,-2.9833686351776123,-4.687645001411438,-6.443985939025879,-3.4606173038482666,2.8329980233178214,1.1287216570839953,-0.6276192805304452,-3.4606173038482666,,,,,,,,,-2.9833686351776123
Reid CV1,34,-0.33399938936466717,-0.2783783757014831,-0.33319144651324584,-3.2814114093780518,-6.6624319672584535,-10.98853874206543,-7.707127332687378,2.534955249117382,-0.8460653087630194,-5.172172083569996,-7.707127332687378,,,,,,,,,-3.2814114093780518
Reid CV1,35,0.1677718678598186,0.17130155400944214,0.16788430885627229,-3.1845178604125977,-5.07988888502121,-7.066145420074463,-3.8816275596618652,2.631848798082836,0.7364777734742236,-1.2497787615790292,-3.8816275596618652,,,,,,,,,-3.1845178604125977
Reid CV1,36,-0.05914505731234828,-0.05828673933858949,-0.059093992735582336,-3.3471739292144775,-6.37763961315155,-9.977563858032227,-6.630389928817749,2.469192729280956,-0.5612729546561167,-4.161197199536793,-6.630389928817749,,,,,,,,,-3.3471739292144775
