dataset,split,sim_idx,target_index,rollout_steps,filtered_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid CV1,val,4,300,20,20,0.13245167853509665,0.1484755535662568,9.515840793028474e-05,0.00029378040926530957,6.800486880820245e-05,0.2314819731454185
Reid CV1,val,5,300,20,20,0.12701194280412917,-0.11519226097766601,0.0001223866711370647,0.0002905392902903259,6.984753417782485e-05,0.2404065009865916
Reid CV1,val,6,300,20,20,0.12061791573006839,0.13148921660557497,7.834719872334972e-05,0.0002496919478289783,6.200102507136762e-05,0.24831007011020648
Reid CV1,val,7,300,20,20,0.1196841765127355,-0.22490676059673217,0.00010289750207448378,0.00025390356313437223,7.629355241078883e-05,0.30048240154240113
Reid CV1,val,8,300,20,20,0.13057230934191127,-0.10133586324343118,0.00012547775986604393,0.0003357189707458019,8.050152246141806e-05,0.23978842268753356
Reid CV1,val,9,300,20,20,0.11567416619884556,-0.057117283636178406,0.0001036269313772209,0.00026595714734867215,7.083654054440558e-05,0.2663456923439559
Reid CV1,val,10,300,20,20,0.11955719557195572,-0.09771095564976572,0.00011844714754261076,0.00032373200519941747,7.490254938602448e-05,0.2313720861176047
Reid CV1,val,11,300,20,20,0.12280339337850493,-0.1378687916276203,0.00011882792750839144,0.0003130111435893923,8.305453229695559e-05,0.26534049664987785
Reid CV1,val,12,300,20,20,0.11870791920487336,-0.129845583785924,0.00011516764789121225,0.00026797165628522635,5.383339521358721e-05,0.20089212403974352
Reid CV1,val,13,300,20,20,0.13183077479020838,0.08407821566002002,0.00010605753777781501,0.0003325940342620015,7.866419764468446e-05,0.23651716369246903
Reid CV1,val,14,300,20,20,0.13211685948264656,0.019157967190547208,6.257621134864166e-05,0.00019300782878417522,5.347231126506813e-05,0.27704736953888964
Reid CV1,val,15,300,20,20,0.11484980515652186,-0.16945716895707894,0.00015214626910164952,0.0003537589800544083,6.725284765707329e-05,0.19010923099882798
Reid CV1,val,16,300,20,20,0.10789083668917199,-0.08838944909702046,9.464129834668711e-05,0.00024258320627268404,6.116332951933146e-05,0.25213340387041755
Reid CV1,val,17,300,20,20,0.11688905583955315,-0.20864193806284223,0.0001445369271095842,0.00028099713381379843,5.3024843509774655e-05,0.1887024354665174
Reid CV1,val,18,300,20,20,0.1260111364615409,-0.05015841568590454,7.392356201307848e-05,0.00020622264128178358,5.995313040330075e-05,0.2907204079564693
Reid CV1,val,19,300,20,20,0.12078635443769875,-0.14930189514344344,8.378143684240058e-05,0.00022303260629996657,6.947660585865378e-05,0.31150873861560663
Reid CV1,val,20,300,20,20,0.1116864552641559,-0.4131126570383999,0.0001540742814540863,0.0002899743849411607,6.731945904903114e-05,0.23215657156300573
Reid CV1,val,21,300,20,20,0.11707925143432471,-0.07887975527610551,7.04502672306262e-05,0.00018493077368475497,5.280987898004241e-05,0.28556566291160157
Reid CV1,val,22,300,20,20,0.12316114542391915,0.1846944409054232,0.0001258436677744612,0.0003660405636765063,7.29654057067819e-05,0.1993369395291013
Reid CV1,val,23,300,20,20,0.1182797232722345,-0.2992401548915029,0.00011799707863247022,0.0002697012387216091,7.32012849766761e-05,0.2714161986190798
Reid CV1,val,24,300,20,20,0.12665979684969822,0.009842765117406664,8.039690874284133e-05,0.00025457472656853497,6.904430483700708e-05,0.27121429439469286
Reid CV1,test,0,300,20,20,0.12880848500337722,0.22628985135004975,6.6918641095981e-05,0.00019114701717626303,4.084106694790535e-05,0.2136631141371379
Reid CV1,test,1,300,20,20,0.11031857908091344,-0.19939623059559913,0.00011470583558548242,0.0002651759423315525,6.877138366689906e-05,0.25934246923845533
Reid CV1,test,2,300,20,20,0.12533259665295085,0.15274658863195395,0.00010269445192534477,0.0003039365983568132,6.557438609888777e-05,0.21575021387159585
Reid CV1,test,3,300,20,20,0.13147293204340282,0.27043541678986066,0.0001042098447214812,0.00030475264065898955,6.708444561809301e-05,0.22012752858525286
Reid CV1,test,4,300,20,20,0.1273517271344775,-0.28877065137325053,0.00015580395120196044,0.0003355035441927612,7.286873733391985e-05,0.2171921536901966
Reid CV1,test,5,300,20,20,0.132004746238067,0.1666547755599339,0.00013947492698207498,0.0003943862102460116,8.241592877311632e-05,0.20897264314010022
Reid CV1,test,6,300,20,20,0.12401510623267946,-0.20166526012213679,0.00012306988355703652,0.00030645448714494705,7.777537393849343e-05,0.25379094515169287
Reid CV1,test,7,300,20,20,0.12730742974964823,0.22777513207003866,0.0001533318863948807,0.000409364904044196,7.42231059120968e-05,0.18131282183409522
Reid CV1,test,8,300,20,20,0.11861632327277155,-0.042521413310994655,0.00010609612945700064,0.00030296220211312175,8.077231905190274e-05,0.2666085686218491
Reid CV1,test,9,300,20,20,0.1375596321251168,0.1839949200055756,6.107013177825138e-05,0.00020730568212457,5.985339521430433e-05,0.2887204759700625
Reid CV1,test,10,300,20,20,0.13910013795055004,0.3511981878154433,7.658926915610209e-05,0.00021100492449477315,4.4582589907804504e-05,0.21128696410546982
Reid CV1,test,11,300,20,20,0.1193112635906545,-0.03172131821950494,0.00010697689867811278,0.00029989867471158504,6.981837213970721e-05,0.23280653776430354
Reid CV1,test,12,300,20,20,0.12860125260960334,-0.1321076459356574,0.0001512803282821551,0.0003826929023489356,8.751520363148302e-05,0.22868258881814202
Reid CV1,test,13,300,20,20,0.12826751418013715,-0.11387664120857237,0.00012863804295193404,0.0003201400686521083,7.045055099297315e-05,0.22006164767063496
Reid CV1,test,14,300,20,20,0.1271806580025758,0.24278816770565945,0.00012694309407379478,0.00034232079633511603,6.379567639669403e-05,0.1863622575072566
Reid CV1,test,15,300,20,20,0.12318850403307802,-0.06101523785207794,0.00013534458412323147,0.00036856511724181473,7.687761535635218e-05,0.20858624910483037
Reid CV1,test,16,300,20,20,0.12334986379828176,0.3065302920375384,0.00014384754467755556,0.0003830479399766773,7.176832150435075e-05,0.1873611995112688
Reid CV1,test,17,300,20,20,0.11239252967609548,-0.013084439259151232,0.00013493622827809304,0.00038246475742198527,8.274261199403554e-05,0.21634048729552105
Reid CV1,test,18,300,20,20,0.11827470962086346,-0.02992021276595745,0.00011568844638532028,0.0003062106261495501,7.750180520815775e-05,0.253099659481793
Reid CV1,test,19,300,20,20,0.13395273023634882,0.2523934532949343,8.156335388775915e-05,0.00024730319273658097,5.8984573115594685e-05,0.23851116705324166
Reid CV1,test,20,300,20,20,0.10606575371106,-0.19023604864677862,0.00014538332470692694,0.0003572119167074561,7.406096847262233e-05,0.20733062086860793
Reid CV1,test,21,300,20,20,0.10770667630754399,-0.13710198358305367,0.00010117317287949845,0.0002504456206224859,6.056221536709927e-05,0.241817825428814
Reid CV1,test,22,300,20,20,0.1222469066780444,-0.2736015625,0.00011290632392046973,0.00026449814322404563,6.676751945633441e-05,0.2524309571420256
Reid CV1,test,23,300,20,20,0.11628486055776892,-0.1989580879080604,0.00012801836419384927,0.00029188417829573154,7.343209290411323e-05,0.2515795591692305
Reid CV1,test,24,300,20,20,0.11994301102204409,-0.2685383365969914,0.0001349462690996006,0.00027280402719043195,6.309656600933522e-05,0.23128898300790263
Reid CV1,test,25,300,20,20,0.14000605795443072,0.18479783040843792,8.623408939456567e-05,0.00025047428789548576,5.290967601467855e-05,0.21123795364079817
