dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=2,test,80,76,,,0.13533801084612326,0.002190511440858245,0.0021913125069419805,1.1347498484719147e-08,5.326926853936371e-06,1,1,2
CV3 | nets=1 | frames=100,test,80,76,-0.03477473794130481,-0.012275701593914876,0.048345268811392776,0.00044808965302715816,0.0021913125069419805,0.001958246031886359,0.9218833407743185,3,1,100
CV3 | nets=2 | frames=2,test,80,75,-0.3243392307929931,0.01947650264367999,0.06204411158630701,0.002169269798323512,0.0021844103715072077,1.182400243730323e-07,5.577459959093976e-05,3,2,2
CV3 | nets=2 | frames=5,test,80,75,-0.143677808621415,-0.20404820441948682,0.053580285116526634,0.0015691270974154273,0.0021844103715072077,0.0001559476653346792,0.07469646653791498,3,2,5
CV3 | nets=2 | frames=10,test,80,75,-0.06888185536276836,0.29003914065188047,0.05007616142806282,0.0007386514928657561,0.0021844103715072077,0.001576558422918121,0.7538603446898917,3,2,10
CV3 | nets=2 | frames=25,test,80,75,0.5112449527170433,0.8976011592964552,0.022897737971438615,0.0006775076241077234,0.0021844103715072077,0.0008560424911168715,0.40704802740853097,3,2,25
CV3 | nets=2 | frames=50,test,80,75,0.5891209788020169,0.9051661833466023,0.01924931561863926,0.0005085448453125233,0.0021844103715072077,0.0010665026361433168,0.49698004635160603,3,2,50
CV3 | nets=2 | frames=100,test,80,75,0.5929040793899156,0.8302354190570624,0.019072080730809755,0.0003690021698033282,0.0021844103715072077,0.0019390045525506138,0.9130089054913,3,2,100
CV3 | nets=4 | frames=2,test,80,73,-0.23322018828809665,0.04988692162706891,0.05869896852716628,0.002020564137588013,0.002191574317530716,8.961243011445694e-06,0.004292161604115701,3,4,2
CV3 | nets=4 | frames=5,test,80,73,-0.11234769906786712,0.1058922579435945,0.05294566469065709,0.0018583898391089824,0.002191574317530716,2.1322102440211743e-05,0.010129648857878079,3,4,5
CV3 | nets=4 | frames=10,test,80,73,-0.019431670197090245,0.3121919145231269,0.048523035945075066,0.00144533546600006,0.002191574317530716,0.00011577407752916421,0.05494636547955342,3,4,10
CV3 | nets=4 | frames=25,test,80,73,0.6248123713508095,0.8890066043355417,0.017858227602025024,0.0012312743674057906,0.002191574317530716,0.00026029470345373775,0.124194540682407,3,4,25
CV3 | nets=4 | frames=50,test,80,73,-0.09735955728526369,-0.040689761606529644,0.0522322572463636,13.145731164436718,0.002191574317530716,13.057926131793527,5644.4364495747095,3,4,50
