dataset,split,sim_idx,final_p_ratio,z0,sweep_latent_dim,sweep_train_count,sweep_train_frames,z1,z2
CV1 | nets=1 | frames=25,test,1,0.1295779047889524,-0.6202985048294067,1,1,25,,
CV1 | nets=1 | frames=25,test,2,-0.1623723264424866,-0.7050315141677856,1,1,25,,
CV1 | nets=1 | frames=25,test,3,-0.123156073161201,-0.6572701930999756,1,1,25,,
CV1 | nets=1 | frames=25,test,4,0.3453760393512503,-0.600213348865509,1,1,25,,
CV1 | nets=1 | frames=25,test,5,-0.3979398483632574,-0.6861223578453064,1,1,25,,
CV1 | nets=1 | frames=25,test,6,0.2126940386242633,-0.6172633767127991,1,1,25,,
CV1 | nets=1 | frames=25,test,7,0.0950451355151094,-0.6505839824676514,1,1,25,,
CV1 | nets=1 | frames=25,test,8,-0.0648093100969477,-0.660403847694397,1,1,25,,
CV1 | nets=1 | frames=25,test,9,-0.0036101382641459,-0.6506832242012024,1,1,25,,
CV1 | nets=1 | frames=25,test,10,0.2259070200709375,-0.6181797385215759,1,1,25,,
CV1 | nets=1 | frames=25,test,11,-0.2448221358235529,-0.6851889491081238,1,1,25,,
CV1 | nets=1 | frames=25,test,12,-0.3251896560062025,-0.677878737449646,1,1,25,,
CV1 | nets=1 | frames=25,test,13,0.1639582164351763,-0.6097500920295715,1,1,25,,
CV1 | nets=1 | frames=25,test,14,0.2767388091190165,-0.6219509840011597,1,1,25,,
CV1 | nets=1 | frames=25,test,15,0.2817123526652541,-0.6244708299636841,1,1,25,,
CV1 | nets=1 | frames=25,test,16,-0.1737797852877405,-0.6790843605995178,1,1,25,,
CV1 | nets=1 | frames=25,test,17,-0.5936111989220015,-0.6987401843070984,1,1,25,,
CV1 | nets=1 | frames=25,test,18,0.2708167150760829,-0.5940579771995544,1,1,25,,
CV1 | nets=1 | frames=25,test,19,-0.0488976389824205,-0.6585716009140015,1,1,25,,
CV1 | nets=1 | frames=25,test,20,0.3374250403982374,-0.5592060089111328,1,1,25,,
CV1 | nets=1 | frames=25,test,21,0.144219835421564,-0.6426951885223389,1,1,25,,
CV1 | nets=1 | frames=25,test,22,0.2238599590476573,-0.6151936650276184,1,1,25,,
