dataset,split,sim_idx,final_p_ratio,z0,sweep_latent_dim,sweep_train_count,sweep_train_frames,z1,z2
CV1 | nets=1 | frames=5,test,58,-0.0803696162881754,-0.1332404464483261,1,1,5,,
CV1 | nets=1 | frames=5,test,59,-0.12771201037928526,-0.11908252537250519,1,1,5,,
CV1 | nets=1 | frames=5,test,60,0.3812481697430855,-0.20829075574874878,1,1,5,,
CV1 | nets=1 | frames=5,test,61,-0.40037890147830096,-0.16235701739788055,1,1,5,,
CV1 | nets=1 | frames=5,test,62,0.2511593493496609,-0.12024861574172974,1,1,5,,
CV1 | nets=1 | frames=5,test,63,-0.1963377719651293,-0.14412108063697815,1,1,5,,
CV1 | nets=1 | frames=5,test,64,0.20114686937290777,-0.20466747879981995,1,1,5,,
CV1 | nets=1 | frames=5,test,65,0.18341754005038485,-0.19336652755737305,1,1,5,,
CV1 | nets=1 | frames=5,test,66,0.1677718678598186,-0.1542472392320633,1,1,5,,
CV1 | nets=1 | frames=5,test,67,0.21035491246831667,-0.19836720824241638,1,1,5,,
CV1 | nets=1 | frames=5,test,68,-0.2124182814927736,-0.12005558609962463,1,1,5,,
CV1 | nets=1 | frames=5,test,69,0.24274224639077988,-0.17861945927143097,1,1,5,,
CV1 | nets=1 | frames=5,test,70,-0.19806003763724905,-0.10198426246643066,1,1,5,,
CV1 | nets=1 | frames=5,test,71,-0.3247762104239115,-0.17632192373275757,1,1,5,,
CV1 | nets=1 | frames=5,test,72,-0.17738836707016928,-0.13082842528820038,1,1,5,,
CV1 | nets=1 | frames=5,test,73,-0.20617802151122547,-0.13537368178367615,1,1,5,,
CV1 | nets=1 | frames=5,test,74,-0.1515654324056017,-0.1577461212873459,1,1,5,,
CV1 | nets=1 | frames=5,test,75,-0.13193082504033954,-0.17382733523845673,1,1,5,,
CV1 | nets=1 | frames=10,train,0,-0.06695112756186168,-0.6774335503578186,1,1,10,,
CV1 | nets=1 | frames=10,test,0,-0.2360464098886152,-0.6752139925956726,1,1,10,,
CV1 | nets=1 | frames=10,test,1,0.1295779047889524,-0.6693645119667053,1,1,10,,
CV1 | nets=1 | frames=10,test,2,-0.1623723264424866,-0.7367538809776306,1,1,10,,
CV1 | nets=1 | frames=10,test,3,-0.12315607316120104,-0.7232442498207092,1,1,10,,
CV1 | nets=1 | frames=10,test,4,0.3453760393512503,-0.5800089836120605,1,1,10,,
CV1 | nets=1 | frames=10,test,5,-0.3979398483632574,-0.7157425880432129,1,1,10,,
CV1 | nets=1 | frames=10,test,6,0.21269403862426334,-0.59947669506073,1,1,10,,
CV1 | nets=1 | frames=10,test,7,0.0950451355151094,-0.6615055203437805,1,1,10,,
CV1 | nets=1 | frames=10,test,8,-0.06480931009694779,-0.6908388137817383,1,1,10,,
CV1 | nets=1 | frames=10,test,9,-0.0036101382641459327,-0.6823389530181885,1,1,10,,
CV1 | nets=1 | frames=10,test,10,0.22590702007093752,-0.6119553446769714,1,1,10,,
CV1 | nets=1 | frames=10,test,11,-0.24482213582355292,-0.7284097075462341,1,1,10,,
CV1 | nets=1 | frames=10,test,12,-0.32518965600620253,-0.7218807339668274,1,1,10,,
CV1 | nets=1 | frames=10,test,13,0.1639582164351763,-0.5906312465667725,1,1,10,,
CV1 | nets=1 | frames=10,test,14,0.27673880911901655,-0.6676666140556335,1,1,10,,
CV1 | nets=1 | frames=10,test,15,0.2817123526652541,-0.6437471508979797,1,1,10,,
CV1 | nets=1 | frames=10,test,16,-0.17377978528774052,-0.7326579689979553,1,1,10,,
CV1 | nets=1 | frames=10,test,17,-0.5936111989220015,-0.7407823801040649,1,1,10,,
CV1 | nets=1 | frames=10,test,18,0.27081671507608296,-0.5960987210273743,1,1,10,,
CV1 | nets=1 | frames=10,test,19,-0.04889763898242052,-0.6881276369094849,1,1,10,,
CV1 | nets=1 | frames=10,test,20,0.33742504039823745,-0.5770497918128967,1,1,10,,
CV1 | nets=1 | frames=10,test,21,0.14421983542156405,-0.6775442957878113,1,1,10,,
CV1 | nets=1 | frames=10,test,22,0.2238599590476573,-0.6113694310188293,1,1,10,,
CV1 | nets=1 | frames=10,test,23,-0.21109366287007186,-0.7290897369384766,1,1,10,,
CV1 | nets=1 | frames=10,test,24,-0.13510764728463107,-0.7111731171607971,1,1,10,,
CV1 | nets=1 | frames=10,test,25,-0.2879174109079594,-0.7097389101982117,1,1,10,,
