dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV3 | nets=1 | frames=5,test,80,76,-0.0106523482068563,-0.3714683814343207,0.0472182569378663,0.0012398973891609,0.0021913125069419,0.0003445608170678,0.1637951651288275,3,1,5
CV3 | nets=1 | frames=10,test,80,76,-0.1119047507340809,-0.2738198121152271,0.0519488272141728,0.0011979188053182,0.0021913125069419,0.000538469239377,0.2564771394000293,3,1,10
CV3 | nets=1 | frames=25,test,80,76,-0.016038237655791,0.4297734863009955,0.0474698887797058,0.0012737790353927,0.0021913125069419,0.0001911170666541,0.0898032984376003,3,1,25
CV3 | nets=1 | frames=50,test,80,76,-0.0533985938658996,-0.3020319634682625,0.0492153860339783,0.000642908795654,0.0021913125069419,0.0021740499405974,1.0256961975293095,3,1,50
CV3 | nets=1 | frames=100,test,80,76,-0.0347747379413048,-0.0122757015939148,0.0483452688113927,0.0004480896530271,0.0021913125069419,0.0019582460318863,0.9218833407743184,3,1,100
CV3 | nets=2 | frames=2,test,80,75,-0.3243392307929931,0.0194765026436799,0.062044111586307,0.0021692697983235,0.0021844103715072,1.182400243730323e-07,5.577459959093976e-05,3,2,2
CV3 | nets=2 | frames=5,test,80,75,-0.143677808621415,-0.2040482044194868,0.0535802851165266,0.0015691270974154,0.0021844103715072,0.0001559476653346,0.0746964665379149,3,2,5
CV3 | nets=2 | frames=10,test,80,75,-0.0688818553627683,0.2900391406518804,0.0500761614280628,0.0007386514928657,0.0021844103715072,0.0015765584229181,0.7538603446898917,3,2,10
CV3 | nets=2 | frames=25,test,80,75,0.5112449527170433,0.8976011592964552,0.0228977379714386,0.0006775076241077,0.0021844103715072,0.0008560424911168,0.4070480274085309,3,2,25
CV3 | nets=2 | frames=50,test,80,75,0.5891209788020169,0.9051661833466024,0.0192493156186392,0.0005085448453125,0.0021844103715072,0.0010665026361433,0.496980046351606,3,2,50
CV3 | nets=2 | frames=100,test,80,75,0.5929040793899156,0.8302354190570624,0.0190720807308097,0.0003690021698033,0.0021844103715072,0.0019390045525506,0.9130089054913,3,2,100
CV3 | nets=4 | frames=2,test,80,73,-0.2332201882880966,0.0498869216270689,0.0586989685271662,0.002020564137588,0.0021915743175307,8.961243011445694e-06,0.0042921616041157,3,4,2
CV3 | nets=4 | frames=5,test,80,73,-0.1123476990678671,0.1058922579435945,0.052945664690657,0.0018583898391089,0.0021915743175307,2.1322102440211743e-05,0.010129648857878,3,4,5
CV3 | nets=4 | frames=10,test,80,73,-0.0194316701970902,0.3121919145231269,0.048523035945075,0.001445335466,0.0021915743175307,0.0001157740775291,0.0549463654795534,3,4,10
CV3 | nets=4 | frames=25,test,80,73,0.6248123713508095,0.8890066043355417,0.017858227602025,0.0012312743674057,0.0021915743175307,0.0002602947034537,0.124194540682407,3,4,25
CV3 | nets=4 | frames=50,test,80,73,-0.0973595572852636,-0.0406897616065296,0.0522322572463636,13.145731164436718,0.0021915743175307,13.057926131793527,5644.4364495747095,3,4,50
CV3 | nets=4 | frames=100,test,80,73,0.4319680855454018,0.8499409896403295,0.0270372540002622,0.0004843065967366,0.0021915743175307,0.0017611344140788,0.8221721270875207,3,4,100
CV3 | nets=8 | frames=2,test,80,69,-5.410327442210201,0.061981006028763,0.29454042774154,0.0021739756347665,0.0021789927892656,5.112138657513361e-07,0.0002438346645532,3,8,2
CV3 | nets=8 | frames=5,test,80,69,-3.629024079487139,0.6326292897105166,0.2126934614010817,0.0013294324904774,0.0021789927892656,0.0004783582547173,0.2269880590987507,3,8,5
CV3 | nets=8 | frames=10,test,80,69,-0.7238427804042353,0.8955025433296675,0.0792067791351959,0.0008497676150738,0.0021789927892656,0.0009550736800335,0.4553065707726357,3,8,10
CV3 | nets=8 | frames=25,test,80,69,0.7258665049930418,0.8597351122507393,0.0125958303387062,0.0008224124157214,0.0021789927892656,0.0005004451094714,0.2354438724130556,3,8,25
CV3 | nets=8 | frames=50,test,80,69,0.7970842762855848,0.9159964938762656,0.0093235305991984,0.0005473789684744,0.0021789927892656,0.0007894358494777,0.3683939910883116,3,8,50
CV3 | nets=8 | frames=100,test,80,69,0.7561737759602482,0.9114218012494786,0.0112032779870776,0.0003639227536463,0.0021789927892656,0.0017668675231423,0.8259425834295333,3,8,100
