dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=1 | frames=10,1,128,29,0.09586111083626747,474.20520738065244,0.3162944332071056,1,1,10
CV1 | nets=1 | frames=10,1,128,30,0.05986560508608818,467.5293889490962,0.3118416603141377,1,1,10
CV1 | nets=1 | frames=10,1,128,31,0.10042350739240646,464.0929653606415,0.3095495634006802,1,1,10
CV1 | nets=1 | frames=10,1,128,32,0.04587927367538214,453.33307541278003,0.302372737830854,1,1,10
CV1 | nets=1 | frames=10,1,128,33,0.046266026329249144,428.5066775078773,0.28581354984380597,1,1,10
CV1 | nets=1 | frames=10,1,128,34,0.0875112134963274,402.71297147348525,0.26860917638670073,1,1,10
CV1 | nets=1 | frames=10,1,128,35,0.04977297969162464,381.9120360234603,0.25473496757854447,1,1,10
CV1 | nets=1 | frames=25,1,128,1,0.426839507475961,79.87032008320838,0.003924081280840255,1,1,25
CV1 | nets=1 | frames=25,1,128,2,0.11269764380267588,58.2697398660332,0.002862830562165982,1,1,25
CV1 | nets=1 | frames=25,1,128,3,0.0924227861687541,50.51098658332415,0.0024816378859339352,1,1,25
CV1 | nets=1 | frames=25,1,128,4,0.1086530601605773,53.9290291017741,0.0026495684697433715,1,1,25
CV1 | nets=1 | frames=25,1,128,5,0.060160544773310676,64.00873803820461,0.003144791231077761,1,1,25
CV1 | nets=1 | frames=25,1,128,6,0.06080914870835841,69.56135318747162,0.0034175947500716575,1,1,25
CV1 | nets=1 | frames=25,1,128,7,0.06980777624994516,66.34074304637313,0.003259364144629217,1,1,25
CV1 | nets=1 | frames=25,1,128,8,0.06206837680656463,60.89574486791342,0.002991847863463136,1,1,25
CV1 | nets=1 | frames=25,1,128,9,0.0517215620202478,55.05493431057036,0.0027048849945508664,1,1,25
CV1 | nets=1 | frames=25,1,128,10,0.05480022029951215,52.348559945162386,0.0025719190904681,1,1,25
CV1 | nets=1 | frames=25,1,128,11,0.05582008010242134,53.176046916481106,0.0026125740833572307,1,1,25
CV1 | nets=1 | frames=25,1,128,12,0.05838467157445848,55.08219329961389,0.00270622427537819,1,1,25
CV1 | nets=1 | frames=25,1,128,13,0.05749266580096446,55.49759890456125,0.0027266333968068465,1,1,25
CV1 | nets=1 | frames=25,1,128,14,0.056100509747921024,53.616272826761005,0.002634202592965039,1,1,25
CV1 | nets=1 | frames=25,1,128,15,0.049769398967328016,51.49432162400335,0.0025299497367835782,1,1,25
CV1 | nets=1 | frames=25,1,128,16,0.05326576847437536,50.23964760464803,0.0024683068728838862,1,1,25
CV1 | nets=1 | frames=25,1,128,17,0.05294496673741378,51.02213676490635,0.0025067510427770686,1,1,25
CV1 | nets=1 | frames=25,1,128,18,0.048536545750366145,52.69968553122878,0.0025891700993859105,1,1,25
CV1 | nets=1 | frames=25,1,128,19,0.05170772911515087,53.40225113192573,0.0026236876252987715,1,1,25
CV1 | nets=1 | frames=25,1,128,20,0.04941229021642357,52.08248609387502,0.002558846624847206,1,1,25
CV1 | nets=1 | frames=25,1,128,21,0.04767653262751992,50.322643331244585,0.0024723844714128517,1,1,25
CV1 | nets=1 | frames=25,1,128,22,0.04799455715692602,50.40686763193458,0.0024765224037744246,1,1,25
CV1 | nets=1 | frames=25,1,128,23,0.049115290027657466,52.92620891770348,0.0026002993515674006,1,1,25
CV1 | nets=1 | frames=25,1,128,24,0.048444522923091426,53.27795312165469,0.0026175807370182155,1,1,25
CV1 | nets=1 | frames=25,1,128,25,0.0474431606271537,52.60092721831426,0.002584318089148837,1,1,25
CV1 | nets=1 | frames=25,1,128,26,0.04986876083421521,52.17694561812654,0.0025634875965124594,1,1,25
CV1 | nets=1 | frames=25,1,128,27,0.05109575483947992,51.54489920056984,0.0025324346920818927,1,1,25
CV1 | nets=1 | frames=25,1,128,28,0.08317559014540166,49.740011150842534,0.0024437593324616812,1,1,25
CV1 | nets=1 | frames=25,1,128,29,0.04598480504273539,48.45274665037263,0.0023805151927932117,1,1,25
CV1 | nets=1 | frames=25,1,128,30,0.04656720459524877,48.55002721420862,0.0023852946335433103,1,1,25
CV1 | nets=1 | frames=25,1,128,31,0.04541213555057766,50.10523824008182,0.002461703137452389,1,1,25
CV1 | nets=1 | frames=25,1,128,32,0.055000207270495594,51.183135708063844,0.0025146610480469463,1,1,25
CV1 | nets=1 | frames=25,1,128,33,0.046251517575001344,51.618757355049254,0.002536063383623514,1,1,25
CV1 | nets=1 | frames=25,1,128,34,0.05701390921603888,50.032538349614946,0.002458131400846632,1,1,25
CV1 | nets=1 | frames=25,1,128,35,0.05975426692748442,48.75355758994399,0.002395294232284556,1,1,25
CV1 | nets=1 | frames=50,1,128,1,0.5368247670786721,25.396493674837984,0.00016023774050257343,1,1,50
CV1 | nets=1 | frames=50,1,128,2,0.12459500396757253,21.54797372695338,0.00013595572261056077,1,1,50
