dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV2 | nets=4 | frames=10,2,128,34,0.3822559684514999,35.37248026418313,0.1536886294453142,2,4,10
CV2 | nets=4 | frames=10,2,128,35,0.3813791543245315,35.288675197169184,0.1530104831915159,2,4,10
CV2 | nets=4 | frames=25,2,128,1,0.6023682837302868,4.472449785962701,0.0158078991888542,2,4,25
CV2 | nets=4 | frames=25,2,128,2,0.1397128583720097,5.383849929101765,0.0177136605256382,2,4,25
CV2 | nets=4 | frames=25,2,128,3,0.0841691597149922,4.567950798686594,0.0157962498591987,2,4,25
CV2 | nets=4 | frames=25,2,128,4,0.0713899899990512,4.672921490690671,0.0161507293191934,2,4,25
CV2 | nets=4 | frames=25,2,128,5,0.0678261068577949,4.62781483571697,0.015943874548433,2,4,25
CV2 | nets=4 | frames=25,2,128,6,0.0675365492128408,4.443639988400042,0.0154400473796249,2,4,25
CV2 | nets=4 | frames=25,2,128,7,0.0616466915951325,4.47377317341324,0.015475583680849,2,4,25
CV2 | nets=4 | frames=25,2,128,8,0.0648754124458019,4.419544351634104,0.0153035935788102,2,4,25
CV2 | nets=4 | frames=25,2,128,9,0.0645934844819399,4.378282880269922,0.0152135228024071,2,4,25
CV2 | nets=4 | frames=25,2,128,10,0.0665810592472553,4.35426278154878,0.0150966508328074,2,4,25
CV2 | nets=4 | frames=25,2,128,11,0.062816827916182,4.33369671072159,0.0150228348368473,2,4,25
CV2 | nets=4 | frames=25,2,128,12,0.0616388249282653,4.357717123715207,0.0150842417455169,2,4,25
CV2 | nets=4 | frames=25,2,128,13,0.0691899438030444,4.313838972055353,0.0150074261776026,2,4,25
CV2 | nets=4 | frames=25,2,128,14,0.0646993053647188,4.427684162545018,0.0152413461797159,2,4,25
CV2 | nets=4 | frames=25,2,128,15,0.0597063387529208,4.335887597202324,0.0149756306472227,2,4,25
CV2 | nets=4 | frames=25,2,128,16,0.0629757865546987,4.355768522383645,0.0150885153913113,2,4,25
CV2 | nets=4 | frames=25,2,128,17,0.0601204458910685,4.348365926267579,0.0149810354688597,2,4,25
CV2 | nets=4 | frames=25,2,128,18,0.063626133192044,4.366472593398067,0.0150799248544453,2,4,25
CV2 | nets=4 | frames=25,2,128,19,0.063258981403823,4.395127406803892,0.0151347802178606,2,4,25
CV2 | nets=4 | frames=25,2,128,20,0.061614812996525,4.33736591682001,0.0149700955138005,2,4,25
CV2 | nets=4 | frames=25,2,128,21,0.0655337420220558,4.39572468579188,0.0150574337761499,2,4,25
CV2 | nets=4 | frames=25,2,128,22,0.0597772234334395,4.373544934110716,0.015107655466425,2,4,25
CV2 | nets=4 | frames=25,2,128,23,0.0623101453081919,4.389758185826242,0.0151428468121389,2,4,25
CV2 | nets=4 | frames=25,2,128,24,0.0624676094605372,4.410582543101802,0.0151808137771739,2,4,25
CV2 | nets=4 | frames=25,2,128,25,0.0592784836458472,4.42517383320909,0.0151842504509004,2,4,25
CV2 | nets=4 | frames=25,2,128,26,0.0591586948587344,4.381704363715602,0.0150760869446146,2,4,25
CV2 | nets=4 | frames=25,2,128,27,0.0618306468599117,4.512835707787424,0.0154804543876443,2,4,25
CV2 | nets=4 | frames=25,2,128,28,0.0583792032244113,4.481525214147754,0.0153239899377986,2,4,25
CV2 | nets=4 | frames=50,2,128,1,0.6566214323043823,6.113826602257788,0.0071802888641213,2,4,50
CV2 | nets=4 | frames=50,2,128,2,0.4541356286406517,6.456813378276303,0.0075011085160613,2,4,50
CV2 | nets=4 | frames=50,2,128,3,0.4450585556030273,5.414984739091247,0.0063295563979736,2,4,50
CV2 | nets=4 | frames=50,2,128,4,0.4436370086669922,5.468821212203707,0.0063485547805485,2,4,50
CV2 | nets=4 | frames=50,2,128,5,0.4414798533916473,5.333775479241958,0.006216050348669,2,4,50
CV2 | nets=4 | frames=50,2,128,6,0.4382714426517486,6.306522696016822,0.0073149789192086,2,4,50
CV2 | nets=4 | frames=50,2,128,7,0.4359385979175567,6.000321220231243,0.006996027372701,2,4,50
CV2 | nets=4 | frames=50,2,128,8,0.4346982407569885,6.607471966281068,0.0076539128021615,2,4,50
CV2 | nets=4 | frames=50,2,128,9,0.4300723052024841,7.1754463517428375,0.0083341222542319,2,4,50
CV2 | nets=4 | frames=50,2,128,10,0.4440275835990905,7.035884749877965,0.0080594874538924,2,4,50
CV2 | nets=4 | frames=50,2,128,11,0.4272268325090408,6.116595659755171,0.0070629994371574,2,4,50
CV2 | nets=4 | frames=50,2,128,12,0.4249533784389496,6.888828833309002,0.0077960937510797,2,4,50
CV2 | nets=4 | frames=50,2,128,13,0.4224038767814636,6.666378473125864,0.0075744020890547,2,4,50
CV2 | nets=4 | frames=50,2,128,14,0.4362618815898895,7.36103175374493,0.0083114222164695,2,4,50
CV2 | nets=4 | frames=50,2,128,15,0.420313152372837,6.449254503801465,0.0072726311965197,2,4,50
CV2 | nets=4 | frames=50,2,128,16,0.4169364923238754,7.06943845959939,0.0076268879808067,2,4,50
CV2 | nets=4 | frames=50,2,128,17,0.4202254736423492,8.469324471673929,0.0091137696387013,2,4,50
CV2 | nets=4 | frames=50,2,128,18,0.4075457400083542,7.1674386099986735,0.0077418369726783,2,4,50
CV2 | nets=4 | frames=50,2,128,19,0.3979237502813339,8.316130641563795,0.0094332275745437,2,4,50
CV2 | nets=4 | frames=50,2,128,20,0.3854761689901352,8.653779208805412,0.0098184373801232,2,4,50
CV2 | nets=4 | frames=100,2,128,1,0.2433232593070715,0.7245411037567537,0.0016352181817751,2,4,100
CV2 | nets=4 | frames=100,2,128,2,0.0520149654708802,1.0123328925198876,0.0022877120276834,2,4,100
CV2 | nets=4 | frames=100,2,128,3,0.0388066934235394,1.0902978927677032,0.0024482594261035,2,4,100
CV2 | nets=4 | frames=100,2,128,4,0.0285146106779575,1.1087576754963957,0.0024865870707944,2,4,100
CV2 | nets=4 | frames=100,2,128,5,0.0238335290271788,1.1206075300008524,0.0025120389770559,2,4,100
CV2 | nets=4 | frames=100,2,128,6,0.0231928355433046,1.2735812239367514,0.0028493034063867,2,4,100
CV2 | nets=4 | frames=100,2,128,7,0.0216512404661625,1.2051623384943233,0.0026921371853768,2,4,100
CV2 | nets=4 | frames=100,2,128,8,0.019295189352706,1.147765298367478,0.0025712855644342,2,4,100
CV2 | nets=4 | frames=100,2,128,9,0.0188752498431131,1.1683995678478387,0.002607312816186,2,4,100
CV2 | nets=4 | frames=100,2,128,10,0.0170604544319212,1.0365465588904916,0.002309104569325,2,4,100
CV2 | nets=4 | frames=100,2,128,11,0.0145383214391767,1.0000697282832116,0.002218197585822,2,4,100
CV2 | nets=4 | frames=100,2,128,12,0.0113258445356041,0.979423583837226,0.0021720289437107,2,4,100
CV2 | nets=4 | frames=100,2,128,13,0.0112706910190172,1.0639722903412767,0.0023479478346243,2,4,100
CV2 | nets=4 | frames=100,2,128,14,0.0070465469779446,1.0206970360206324,0.0022673665179257,2,4,100
CV2 | nets=4 | frames=100,2,128,15,0.0055566001264378,1.0249432390304285,0.002277594062225,2,4,100
