signal,source,test_pearson_r,test_corr_r2,test_r2,dataset,sweep_latent_dim,sweep_train_count,sweep_train_frames
linear_combo_test_fit,descriptive_test_fit,0.8989270696469707,0.8080698765440897,0.8080698765440899,CV3 | nets=2 | frames=25,3,2,25
z0,single_latent_test_corr,-0.9024151968873462,0.8143531875732277,,CV3 | nets=2 | frames=50,3,2,50
z1,single_latent_test_corr,-0.9030646186627224,0.8155257054804481,,CV3 | nets=2 | frames=50,3,2,50
z2,single_latent_test_corr,-0.906246781070064,0.8212832281998524,,CV3 | nets=2 | frames=50,3,2,50
linear_combo_test_fit,descriptive_test_fit,0.9083661654088768,0.8251290904596271,0.8251290904596271,CV3 | nets=2 | frames=50,3,2,50
z0,single_latent_test_corr,0.9075047800493844,0.8235649258124815,,CV3 | nets=2 | frames=100,3,2,100
z1,single_latent_test_corr,-0.9023494209347646,0.814234477461305,,CV3 | nets=2 | frames=100,3,2,100
z2,single_latent_test_corr,-0.9114253431489332,0.8306961561341508,,CV3 | nets=2 | frames=100,3,2,100
linear_combo_test_fit,descriptive_test_fit,0.9194087210605278,0.8453123963621555,0.8453123963621557,CV3 | nets=2 | frames=100,3,2,100
z0,single_latent_test_corr,-0.8495411931894687,0.7217202389257863,,CV3 | nets=4 | frames=2,3,4,2
z1,single_latent_test_corr,0.4740749023107028,0.2247470130009024,,CV3 | nets=4 | frames=2,3,4,2
z2,single_latent_test_corr,-0.7633939819960891,0.5827703717478452,,CV3 | nets=4 | frames=2,3,4,2
linear_combo_test_fit,descriptive_test_fit,0.879206543356698,0.7730041458812333,0.7730041458812332,CV3 | nets=4 | frames=2,3,4,2
z0,single_latent_test_corr,-0.876760109572007,0.7687082897367178,,CV3 | nets=4 | frames=5,3,4,5
z1,single_latent_test_corr,-0.8778901758468958,0.7706911608484935,,CV3 | nets=4 | frames=5,3,4,5
z2,single_latent_test_corr,-0.8759608736299336,0.7673074521305164,,CV3 | nets=4 | frames=5,3,4,5
linear_combo_test_fit,descriptive_test_fit,0.8800029916526486,0.7744052653176116,0.7744052653176122,CV3 | nets=4 | frames=5,3,4,5
z0,single_latent_test_corr,0.500666972037128,0.2506674168888262,,CV3 | nets=4 | frames=10,3,4,10
z1,single_latent_test_corr,-0.0059411712618567,3.529751596271255e-05,,CV3 | nets=4 | frames=10,3,4,10
z2,single_latent_test_corr,-0.4034283930186272,0.1627544682935919,,CV3 | nets=4 | frames=10,3,4,10
linear_combo_test_fit,descriptive_test_fit,0.8773820542314171,0.7697992690873414,0.7697992690873416,CV3 | nets=4 | frames=10,3,4,10
z0,single_latent_test_corr,-0.9070951341818774,0.8228215824564381,,CV3 | nets=4 | frames=25,3,4,25
z1,single_latent_test_corr,-0.8940602244518309,0.7993436849468581,,CV3 | nets=4 | frames=25,3,4,25
z2,single_latent_test_corr,-0.83334375266658,0.6944618101084181,,CV3 | nets=4 | frames=25,3,4,25
linear_combo_test_fit,descriptive_test_fit,0.9156432643739082,0.8384025875933068,0.8384025875933063,CV3 | nets=4 | frames=25,3,4,25
z0,single_latent_test_corr,-0.8918291072462552,0.7953591565316526,,CV3 | nets=4 | frames=50,3,4,50
z1,single_latent_test_corr,0.8877789626205222,0.7881514864715706,,CV3 | nets=4 | frames=50,3,4,50
z2,single_latent_test_corr,-0.8983842889428322,0.8070943306193181,,CV3 | nets=4 | frames=50,3,4,50
linear_combo_test_fit,descriptive_test_fit,0.901045889172414,0.8118836943945064,0.8118836943945063,CV3 | nets=4 | frames=50,3,4,50
z0,single_latent_test_corr,-0.3191176481674685,0.1018360733719362,,CV3 | nets=4 | frames=100,3,4,100
z1,single_latent_test_corr,-0.8240669741181429,0.679086377832232,,CV3 | nets=4 | frames=100,3,4,100
z2,single_latent_test_corr,0.7652380966136544,0.5855893445088887,,CV3 | nets=4 | frames=100,3,4,100
linear_combo_test_fit,descriptive_test_fit,0.8569357264726676,0.7343388393052386,0.7343388393052381,CV3 | nets=4 | frames=100,3,4,100
z0,single_latent_test_corr,0.8360569369047046,0.6989912017464772,,CV3 | nets=8 | frames=2,3,8,2
z1,single_latent_test_corr,-0.821795486057739,0.6753478209048754,,CV3 | nets=8 | frames=2,3,8,2
z2,single_latent_test_corr,0.8822280458246824,0.7783263248396379,,CV3 | nets=8 | frames=2,3,8,2
linear_combo_test_fit,descriptive_test_fit,0.8865635089004396,0.7859948553138598,0.785994855313859,CV3 | nets=8 | frames=2,3,8,2
linear_combo_train_fit,train_fit_test_eval,0.8102516151361748,0.65650767983078,0.6049087678094542,CV3 | nets=8 | frames=2,3,8,2
z0,single_latent_test_corr,-0.902998583696484,0.8154064421578561,,CV3 | nets=8 | frames=5,3,8,5
z1,single_latent_test_corr,-0.903744754228602,0.8167545807957165,,CV3 | nets=8 | frames=5,3,8,5
z2,single_latent_test_corr,-0.9036660198437164,0.8166122754201841,,CV3 | nets=8 | frames=5,3,8,5
linear_combo_test_fit,descriptive_test_fit,0.9127298349078492,0.8330757515309096,0.8330757515309094,CV3 | nets=8 | frames=5,3,8,5
linear_combo_train_fit,train_fit_test_eval,0.8853265588172117,0.7838031157471258,0.7407300691136542,CV3 | nets=8 | frames=5,3,8,5
