original_sim_idx,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,min_degree,x_span0,y_span0,aspect_ratio0,x_center0,y_center0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max,left_mean_degree,right_mean_degree,top_mean_degree,bottom_mean_degree,left_right_degree_asymmetry,top_bottom_degree_asymmetry,hessian_lambda1,hessian_lambda2,hessian_lambda3,hessian_lambda4,hessian_lambda5,hessian_lambda6,hessian_lambda7,hessian_lambda8,hessian_lambda9,hessian_lambda10,hessian_lambda11,hessian_lambda12,hessian_mode5_participation,hessian_mode5_x_fraction,hessian_mode6_participation,hessian_mode6_x_fraction,hessian_gap_6_5,intervention
1,128,364,0.04478346456692913,5.6875,0.7368641326594747,7.0,4.0,12.25990104675293,12.285395622253418,0.9979248063078808,0.02518749237060547,0.0011477470397949219,2.4754663350490422,3.464275642481228,0.8353292942047119,16.336259841918945,0.4554095226493511,0.04504526054115425,0.3854585886001587,0.6248754858970642,5.7,5.65,5.45,5.85,-0.04999999999999982,-0.39999999999999947,-9.302621836548841e-16,-5.709837632763558e-17,5.691309554281588e-10,0.0039391031620473116,0.0329316664604911,0.03888228711641738,0.044531343104339434,0.06432305778088425,0.08272223657203198,0.09219724902479288,0.0970957824556161,0.1074824656168191,0.7764980370489272,0.5584912304830406,0.6485078360863094,0.15541713456156964,0.005950620655926275,weak_springs_plus_25pct
1,128,364,0.04478346456692913,5.6875,0.7368641326594747,7.0,4.0,12.25990104675293,12.285395622253418,0.9979248063078808,0.02518749237060547,0.0011477470397949219,2.4754663350490422,3.464275642481228,0.8353292942047119,16.336259841918945,0.4328166638593097,0.030377253275058493,0.3813444674015045,0.5288460850715637,5.7,5.65,5.45,5.85,-0.04999999999999982,-0.39999999999999947,-3.268226174143174e-16,3.750989133175384e-18,2.135893364668809e-10,0.003824453855756599,0.0318408500765022,0.03730849656942745,0.042095133590418804,0.06123955756542446,0.07841596955019543,0.0876837660213307,0.09211957236523989,0.10274564341135548,0.7718362814644074,0.5569141238436475,0.6465665873563874,0.1602425198486381,0.005467646492925256,half_homogenize_to_mean
2,100,291,0.058787878787878785,5.82,0.7533923280734947,8.0,4.0,10.622791290283203,10.834264755249023,0.9804810506533574,-0.06059384346008301,-0.06276774406433105,2.390247103070066,3.0787195141567225,0.7929184436798096,14.33024787902832,0.4984668247990592,0.1739724142469135,0.17936208844184875,1.0432723760604858,5.866666666666666,5.666666666666667,5.466666666666667,6.0,-0.1999999999999993,-0.5333333333333332,1.2731573694868108e-16,4.577637096368981e-16,1.0215244068471788e-09,0.038201884773732965,0.040138330721226044,0.05417178018683666,0.06956566113964781,0.10078086989531655,0.10596465223689082,0.13414699724834162,0.14084068709153952,0.15347050964714803,0.5602962727599109,0.40179262754404416,0.6775538204213699,0.8474414972011609,0.014033449465610616,baseline
2,100,291,0.058787878787878785,5.82,0.7533923280734947,8.0,4.0,10.622791290283203,10.834264755249023,0.9804810506533574,-0.06059384346008301,-0.06276774406433105,2.390247103070066,3.0787195141567225,0.7929184436798096,14.33024787902832,0.5483135092504245,0.1913696570796254,0.1972983032464981,1.1475995779037476,5.866666666666666,5.666666666666667,5.466666666666667,6.0,-0.1999999999999993,-0.5333333333333332,1.846313642432017e-16,8.530648707465949e-16,1.3784676826169026e-09,0.04202207365914498,0.04415216444969093,0.059588958902592006,0.07652222791624035,0.11085895736250287,0.11656111748822523,0.14756169846096825,0.15492475601546943,0.16881756153018487,0.560296268353595,0.4017926099427673,0.677553819546605,0.8474415017617571,0.015436794452901074,all_stiffness_plus_10pct
2,100,291,0.058787878787878785,5.82,0.7533923280734947,8.0,4.0,10.622791290283203,10.834264755249023,0.9804810506533574,-0.06059384346008301,-0.06276774406433105,2.390247103070066,3.0787195141567225,0.7929184436798096,14.33024787902832,0.44862014198630945,0.15657517243635735,0.1614258736371994,0.9389451146125793,5.866666666666666,5.666666666666667,5.466666666666667,6.0,-0.1999999999999993,-0.5333333333333332,-2.4078048404041875e-16,2.6092530616310134e-16,3.5711486023897484e-11,0.0343816960292169,0.03612449779949052,0.04875460223617549,0.06260909351370941,0.09070278341502475,0.09536818600339908,0.12073229813311138,0.12675661805319852,0.13812345798200865,0.5602962573888018,0.4017926098521407,0.6775538183696432,0.8474414999887551,0.012630104436684969,all_stiffness_minus_10pct
2,100,291,0.058787878787878785,5.82,0.7533923280734947,8.0,4.0,10.622791290283203,10.834264755249023,0.9804810506533574,-0.06059384346008301,-0.06276774406433105,2.390247103070066,3.0787195141567225,0.7929184436798096,14.33024787902832,0.515247543140785,0.1540845451660546,0.3647765517234802,1.0432723760604858,5.866666666666666,5.666666666666667,5.466666666666667,6.0,-0.1999999999999993,-0.5333333333333332,-5.31496508857798e-28,3.990705350339286e-17,4.77529520822073e-11,0.042576301261849504,0.044503001444939974,0.058127415689763866,0.07340620701149637,0.11120332689015928,0.1163913739101546,0.14148301498971308,0.16275555782313036,0.1699459524543863,0.7741650097354106,0.4986067516067039,0.6891360103990752,0.8572990461303698,0.013624414244823892,weak_springs_floor_to_q25
2,100,291,0.058787878787878785,5.82,0.7533923280734947,8.0,4.0,10.622791290283203,10.834264755249023,0.9804810506533574,-0.06059384346008301,-0.06276774406433105,2.390247103070066,3.0787195141567225,0.7929184436798096,14.33024787902832,0.5171485251372623,0.15546851243534013,0.22420260310173035,1.0432723760604858,5.866666666666666,5.666666666666667,5.466666666666667,6.0,-0.1999999999999993,-0.5333333333333332,-5.830467697557252e-16,-4.926778824913084e-16,9.479548780473738e-10,0.042473060431810594,0.04447152790501689,0.05833233522926853,0.07458091168155023,0.11102654912797232,0.11522886610358055,0.14266435513114087,0.15655269799854768,0.16759067607335806,0.67042718653063,0.4765143769872775,0.6874975266469673,0.8524191474850981,0.013860807324251635,weak_springs_plus_25pct
2,100,291,0.058787878787878785,5.82,0.7533923280734947,8.0,4.0,10.622791290283203,10.834264755249023,0.9804810506533574,-0.06059384346008301,-0.06276774406433105,2.390247103070066,3.0787195141567225,0.7929184436798096,14.33024787902832,0.4984668263864681,0.08698620506335482,0.3389144539833069,0.7708696126937866,5.866666666666666,5.666666666666667,5.466666666666667,6.0,-0.1999999999999993,-0.5333333333333332,-2.0411742295704214e-16,3.87965055865149e-17,1.4934520646820534e-10,0.043902198274846385,0.04667108795765878,0.05924081424135784,0.07487921918388964,0.1136027335161736,0.12017291524669572,0.14155955052255795,0.1660945424551047,0.1753576470575032,0.7925891997119184,0.5035211794564455,0.6946462860661111,0.8419995971146583,0.01256972628369906,half_homogenize_to_mean
3,108,310,0.05365178262374524,5.7407407407407405,0.7499428419006143,7.0,4.0,11.299245834350586,11.205612182617188,1.0083559604069332,0.026808977127075195,-0.05897402763366699,2.4498749817571333,3.2335207037953584,0.8205145597457886,14.789863586425781,0.6419198045608467,0.39124869814270824,0.0005555350217036903,1.2165998220443726,5.764705882352941,5.882352941176471,6.117647058823529,5.764705882352941,0.11764705882352988,0.35294117647058787,-1.3525528943202213e-10,5.202435762402622e-17,1.4704648757221534e-16,0.0009261409895905301,0.004931524717268806,0.006190880493619748,0.0072591851188404345,0.010145683705246003,0.016339639309558087,0.019129452074851373,0.021615829060289724,0.026847346657176713,0.024519017629136077,0.78663949408405,0.1929138777886408,0.8733200484976272,0.001259355776350942,baseline
3,108,310,0.05365178262374524,5.7407407407407405,0.7499428419006143,7.0,4.0,11.299245834350586,11.205612182617188,1.0083559604069332,0.026808977127075195,-0.05897402763366699,2.4498749817571333,3.2335207037953584,0.8205145597457886,14.789863586425781,0.7061117885354531,0.4303735698272127,0.0006110885296948254,1.3382598161697388,5.764705882352941,5.882352941176471,6.117647058823529,5.764705882352941,0.11764705882352988,0.35294117647058787,9.037085999569659e-17,1.27920801388589e-16,1.191075427482457e-09,0.0010187541358338409,0.005424676176981809,0.006809967969318141,0.007985102202268501,0.011160250963842953,0.01797360252578062,0.021042394913179947,0.02377741071923321,0.029532080699760186,0.02451903137887556,0.7866393758719821,0.1929136359813985,0.8733200668095435,0.0013852917923363314,all_stiffness_plus_10pct
