original_sim_idx,intervention,target,predicted_value,predicted_shift_from_baseline
10,weak_springs_floor_to_q25,mean_y_compression,0.001743659281005399,-0.001092907029881815
10,weak_springs_floor_to_q25,final_y_compression,0.00347658132333805,-0.0028449139431019864
10,weak_springs_plus_25pct,final_p_ratio,-0.20658681165434103,0.012193644709984491
10,weak_springs_plus_25pct,mean_y_compression,0.0024642715602467935,-0.0003722947506404205
10,weak_springs_plus_25pct,final_y_compression,0.005421672252159553,-0.0008998230142804832
10,half_homogenize_to_mean,final_p_ratio,0.14890767301062288,0.36768812937494844
10,half_homogenize_to_mean,mean_y_compression,-0.0033830389114936094,-0.006219605222380823
10,half_homogenize_to_mean,final_y_compression,-0.007589735511243594,-0.01391123077768363
11,baseline,final_p_ratio,0.2382122219012128,0.0
11,baseline,mean_y_compression,-0.0032666090346752993,0.0
11,baseline,final_y_compression,-0.006162184831272388,0.0
11,all_stiffness_plus_10pct,final_p_ratio,0.2347595305980882,-0.0034526913031245887
11,all_stiffness_plus_10pct,mean_y_compression,-0.003344217780434998,-7.760874575969863e-05
11,all_stiffness_plus_10pct,final_y_compression,-0.006423535873575692,-0.00026135104230330403
11,all_stiffness_minus_10pct,final_p_ratio,0.23988731873659971,0.0016750968353869133
11,all_stiffness_minus_10pct,mean_y_compression,-0.0031015122657331038,0.0001650967689421955
11,all_stiffness_minus_10pct,final_y_compression,-0.005765210894328604,0.00039697393694378396
11,weak_springs_floor_to_q25,final_p_ratio,0.12543862056327992,-0.11277360133793288
11,weak_springs_floor_to_q25,mean_y_compression,-0.0026637225125461673,0.000602886522129132
11,weak_springs_floor_to_q25,final_y_compression,-0.005019273061307028,0.0011429117699653596
11,weak_springs_plus_25pct,final_p_ratio,0.27792057258618824,0.03970835068497544
11,weak_springs_plus_25pct,mean_y_compression,-0.0039017378497227095,-0.0006351288150474102
11,weak_springs_plus_25pct,final_y_compression,-0.007543749962927878,-0.0013815651316554899
11,half_homogenize_to_mean,final_p_ratio,0.3233428071451288,0.08513058524391601
11,half_homogenize_to_mean,mean_y_compression,-0.004986977094799396,-0.0017203680601240966
11,half_homogenize_to_mean,final_y_compression,-0.009910999601013415,-0.0037488147697410266
12,baseline,final_p_ratio,-0.26832484442949706,0.0
12,baseline,mean_y_compression,0.003383301466602803,0.0
12,baseline,final_y_compression,0.006980477038124686,0.0
12,all_stiffness_plus_10pct,final_p_ratio,-0.3209548814245857,-0.05263003699508867
12,all_stiffness_plus_10pct,mean_y_compression,0.003953623974363784,0.0005703225077609811
12,all_stiffness_plus_10pct,final_y_compression,0.008041037736447251,0.001060560698322565
12,all_stiffness_minus_10pct,final_p_ratio,-0.2146246263615236,0.053700218067973454
12,all_stiffness_minus_10pct,mean_y_compression,0.002824044068099959,-0.0005592573985028436
12,all_stiffness_minus_10pct,final_y_compression,0.005936383167215242,-0.0010440938709094447
12,weak_springs_floor_to_q25,final_p_ratio,-0.2604463645586912,0.007878479870805866
12,weak_springs_floor_to_q25,mean_y_compression,0.003331904732087288,-5.139673451551481e-05
12,weak_springs_floor_to_q25,final_y_compression,0.006879392836994801,-0.00010108420112988487
12,weak_springs_plus_25pct,final_p_ratio,-0.26927995123801834,-0.0009551068085212888
12,weak_springs_plus_25pct,mean_y_compression,0.0034555822854819293,7.228081887912649e-05
12,weak_springs_plus_25pct,final_y_compression,0.00717428126944952,0.00019380423132483397
12,half_homogenize_to_mean,final_p_ratio,0.13927664808977774,0.4076014925192748
12,half_homogenize_to_mean,mean_y_compression,-0.003396245864606933,-0.006779547331209735
12,half_homogenize_to_mean,final_y_compression,-0.007652239415715857,-0.014632716453840542
13,baseline,final_p_ratio,-0.21111341631209676,0.0
13,baseline,mean_y_compression,0.002774045082897108,0.0
13,baseline,final_y_compression,0.006109406861722786,0.0
13,all_stiffness_plus_10pct,final_p_ratio,-0.25962451144918763,-0.04851109513709087
13,all_stiffness_plus_10pct,mean_y_compression,0.0031815139300874866,0.0004074688471903784
13,all_stiffness_plus_10pct,final_y_compression,0.006806259438715931,0.0006968525769931446
13,all_stiffness_minus_10pct,final_p_ratio,-0.1612926012272488,0.04982081508484795
13,all_stiffness_minus_10pct,mean_y_compression,0.0023556006294696125,-0.00041844445342749566
13,all_stiffness_minus_10pct,final_y_compression,0.005394962122560099,-0.0007144447391626875
13,weak_springs_floor_to_q25,final_p_ratio,-0.10145517207554286,0.1096582442365539
13,weak_springs_floor_to_q25,mean_y_compression,-0.0012066945999239336,-0.0039807396828210415
13,weak_springs_floor_to_q25,final_y_compression,-0.002817402173258711,-0.008926809034981498
13,weak_springs_plus_25pct,final_p_ratio,-0.203435381304484,0.007678035007612771
13,weak_springs_plus_25pct,mean_y_compression,0.0026392465135314015,-0.0001347985693657067
13,weak_springs_plus_25pct,final_y_compression,0.005822386141653107,-0.00028702072006967904
13,half_homogenize_to_mean,final_p_ratio,0.13637802366614998,0.3474914399782467
13,half_homogenize_to_mean,mean_y_compression,-0.005212431858425075,-0.007986476941322183
13,half_homogenize_to_mean,final_y_compression,-0.011186725910742006,-0.017296132772464792
14,baseline,final_p_ratio,-0.1972842302248974,0.0
14,baseline,mean_y_compression,0.00233027604821838,0.0
14,baseline,final_y_compression,0.0049102615147696305,0.0
14,all_stiffness_plus_10pct,final_p_ratio,-0.25109902062464534,-0.05381479039974793
14,all_stiffness_plus_10pct,mean_y_compression,0.0030392877532235962,0.0007090117050052164
14,all_stiffness_plus_10pct,final_y_compression,0.0061739616879878875,0.001263700173218257
14,all_stiffness_minus_10pct,final_p_ratio,-0.1433581498719749,0.05392608035292251
14,all_stiffness_minus_10pct,mean_y_compression,0.001615017734306485,-0.0007152583139118948
14,all_stiffness_minus_10pct,final_y_compression,0.003636886612620317,-0.0012733749021493134
14,weak_springs_floor_to_q25,final_p_ratio,-0.18162943046899896,0.015654799755898452
14,weak_springs_floor_to_q25,mean_y_compression,0.0018061896974271414,-0.0005240863507912385
14,weak_springs_floor_to_q25,final_y_compression,0.0036398391999063464,-0.001270422314863284
14,weak_springs_plus_25pct,final_p_ratio,-0.19730875618612415,-2.452596122673456e-05
14,weak_springs_plus_25pct,mean_y_compression,0.00228700684748801,-4.3269200730369686e-05
14,weak_springs_plus_25pct,final_y_compression,0.004818836294849614,-9.142521992001624e-05
14,half_homogenize_to_mean,final_p_ratio,0.1494232912076446,0.346707521432542
14,half_homogenize_to_mean,mean_y_compression,-0.004122491503317542,-0.006452767551535922
14,half_homogenize_to_mean,final_y_compression,-0.00919810983332661,-0.01410837134809624
15,baseline,final_p_ratio,-0.23672046240212397,0.0
15,baseline,mean_y_compression,0.0028394824394675318,0.0
15,baseline,final_y_compression,0.005591494880624908,0.0
15,all_stiffness_plus_10pct,final_p_ratio,-0.29450896337252136,-0.057788500970397394
15,all_stiffness_plus_10pct,mean_y_compression,0.0033265254742279324,0.00048704303476040066
15,all_stiffness_plus_10pct,final_y_compression,0.0065150913084434554,0.0009235964278185476
15,all_stiffness_minus_10pct,final_p_ratio,-0.17898234399507248,0.05773811840705148
15,all_stiffness_minus_10pct,mean_y_compression,0.002351917827976493,-0.0004875646114910386
15,all_stiffness_minus_10pct,final_y_compression,0.004667121075738183,-0.000924373804886725
15,weak_springs_floor_to_q25,final_p_ratio,-0.21181826644606047,0.024902195956063494
15,weak_springs_floor_to_q25,mean_y_compression,0.0026336815199466115,-0.00020580091952092025
15,weak_springs_floor_to_q25,final_y_compression,0.005775032525527034,0.00018353764490212574
15,weak_springs_plus_25pct,final_p_ratio,-0.24120664279599863,-0.004486180393874661
15,weak_springs_plus_25pct,mean_y_compression,0.003121502748709227,0.0002820203092416952
15,weak_springs_plus_25pct,final_y_compression,0.00630221931429939,0.000710724433674482
15,half_homogenize_to_mean,final_p_ratio,0.14752589144888875,0.3842463538510127
15,half_homogenize_to_mean,mean_y_compression,-0.003823551306823475,-0.006663033746291007
15,half_homogenize_to_mean,final_y_compression,-0.008568287490847915,-0.014159782371472824
16,baseline,final_p_ratio,-0.22934145932399758,0.0
16,baseline,mean_y_compression,0.003825705045967637,0.0
16,baseline,final_y_compression,0.008643402636838946,0.0
16,all_stiffness_plus_10pct,final_p_ratio,-0.3030693802672398,-0.07372792094324221
16,all_stiffness_plus_10pct,mean_y_compression,0.00417448576437163,0.0003487807184039929
16,all_stiffness_plus_10pct,final_y_compression,0.009357737578089215,0.0007143349412502692
16,all_stiffness_minus_10pct,final_p_ratio,-0.19300882745899134,0.03633263186500624
16,all_stiffness_minus_10pct,mean_y_compression,0.003126623476528126,-0.000699081569439511
16,all_stiffness_minus_10pct,final_y_compression,0.007409738215386827,-0.0012336644214521186
16,weak_springs_floor_to_q25,final_p_ratio,-0.20179720877730714,0.027544250546690435
16,weak_springs_floor_to_q25,mean_y_compression,0.0028010249326140776,-0.0010246801133535592
16,weak_springs_floor_to_q25,final_y_compression,0.005958863851438758,-0.002684538785400188
16,weak_springs_plus_25pct,final_p_ratio,-0.22370552496208812,0.005635934361909456
16,weak_springs_plus_25pct,mean_y_compression,0.003556147699769323,-0.00026955734619831364
16,weak_springs_plus_25pct,final_y_compression,0.008128414494472288,-0.0005149881423666576
16,half_homogenize_to_mean,final_p_ratio,0.10450494625332696,0.33384640557732453
16,half_homogenize_to_mean,mean_y_compression,-0.004026072930916027,-0.007851777976883663
16,half_homogenize_to_mean,final_y_compression,-0.008981833168556304,-0.01762523580539525
17,baseline,final_p_ratio,0.1644862463892941,0.0
17,baseline,mean_y_compression,-0.00236245098493872,0.0
17,baseline,final_y_compression,-0.004680264841368114,0.0
17,all_stiffness_plus_10pct,final_p_ratio,0.1475725697886283,-0.01691367660066581
17,all_stiffness_plus_10pct,mean_y_compression,-0.0022699004602336485,9.255052470507133e-05
17,all_stiffness_plus_10pct,final_y_compression,-0.004637248150215843,4.301669115227072e-05
17,all_stiffness_minus_10pct,final_p_ratio,0.17560074865025976,0.011114502260965664
17,all_stiffness_minus_10pct,mean_y_compression,-0.002350835244940224,1.161573999849605e-05
17,all_stiffness_minus_10pct,final_y_compression,-0.00455984549064167,0.00012041935072644363
17,weak_springs_floor_to_q25,final_p_ratio,0.07650476955686791,-0.08798147683242619
17,weak_springs_floor_to_q25,mean_y_compression,-0.0021133757834189268,0.0002490752015197931
17,weak_springs_floor_to_q25,final_y_compression,-0.004288312777722107,0.00039195206364600697
17,weak_springs_plus_25pct,final_p_ratio,0.20504214222773595,0.04055589583844185
17,weak_springs_plus_25pct,mean_y_compression,-0.0028967009775423846,-0.0005342499926036647
17,weak_springs_plus_25pct,final_y_compression,-0.0057952482854329015,-0.0011149834440647875
17,half_homogenize_to_mean,final_p_ratio,0.2773570472514445,0.1128708008621504
17,half_homogenize_to_mean,mean_y_compression,-0.004459837542785101,-0.002097386557846381
17,half_homogenize_to_mean,final_y_compression,-0.009098527763388754,-0.00441826292202064
