target,descriptor,mse_increase_when_permuted,mse_increase_std,target_r2
early_slope_axis_p_ratio,node_count,1.5827881523305747,0.16236983167785488,0.9668173280459544
early_slope_axis_p_ratio,edge_count,0.583591965749874,0.08255079264214009,0.9668173280459544
early_slope_axis_p_ratio,edge_density,1.036435425836945,0.12919451747803734,0.9668173280459544
early_slope_axis_p_ratio,mean_degree,0.1030934247212108,0.01631544136743116,0.9668173280459544
early_slope_axis_p_ratio,std_degree,0.02239262013880474,0.005157380971337248,0.9668173280459544
early_slope_axis_p_ratio,max_degree,0.0011213759501411064,0.0009721016673487754,0.9668173280459544
early_slope_axis_p_ratio,min_degree,0.007886764819069629,0.002267992281087601,0.9668173280459544
early_slope_axis_p_ratio,x_span0,0.4110624886538415,0.05435869601032437,0.9668173280459544
early_slope_axis_p_ratio,y_span0,2.3742875240132335,0.22639472402641145,0.9668173280459544
early_slope_axis_p_ratio,aspect_ratio0,0.0010111767571492234,0.0009360673401719058,0.9668173280459544
early_slope_axis_p_ratio,x_center0,0.004819638124618811,0.001912299499133237,0.9668173280459544
early_slope_axis_p_ratio,y_center0,0.000220008706908639,0.00047554238511386053,0.9668173280459544
early_slope_axis_p_ratio,edge_len_mean,0.596714700021787,0.09141309839570326,0.9668173280459544
early_slope_axis_p_ratio,edge_len_std,0.3488208030755663,0.042332075567793066,0.9668173280459544
early_slope_axis_p_ratio,edge_len_min,0.1456228344548816,0.02066759553407488,0.9668173280459544
early_slope_axis_p_ratio,edge_len_max,0.011922780539185194,0.003830255368667098,0.9668173280459544
early_slope_axis_p_ratio,stiffness_mean,0.19889482893746185,0.027388666004729306,0.9668173280459544
early_slope_axis_p_ratio,stiffness_std,2.009057426508061,0.23453869135749345,0.9668173280459544
early_slope_axis_p_ratio,stiffness_min,0.009019231707894163,0.0030578607559259598,0.9668173280459544
early_slope_axis_p_ratio,stiffness_max,0.08279765118733487,0.014178613648790623,0.9668173280459544
early_slope_axis_p_ratio,left_mean_degree,0.004198624331316679,0.002199885264564001,0.9668173280459544
early_slope_axis_p_ratio,right_mean_degree,0.007904857136912514,0.0026841662223146454,0.9668173280459544
early_slope_axis_p_ratio,top_mean_degree,0.028206034399315412,0.005755884149908795,0.9668173280459544
early_slope_axis_p_ratio,bottom_mean_degree,0.0066906091183760764,0.0025743468032944326,0.9668173280459544
early_slope_axis_p_ratio,left_right_degree_asymmetry,2.0161186183922865e-05,0.00012707766043559352,0.9668173280459544
early_slope_axis_p_ratio,top_bottom_degree_asymmetry,0.0036861501125275073,0.0018536011755511037,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda1,0.00048222883246351784,0.0007709714143764847,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda2,0.0,0.0,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda3,0.026070425729639662,0.006541159230120194,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda4,0.02601865551271548,0.007215802359701386,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda5,0.023338056491056774,0.005081570180276932,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda6,0.020624155888392552,0.004860806106344785,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda7,0.09290303461390809,0.013041273745610956,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda8,9.948342904947448e-05,0.00043244131478494257,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda9,0.0017786325521984968,0.0013760128221165157,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda10,1.4467892319109126,0.16252958575194074,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda11,0.17048711886600398,0.023834072757220492,0.9668173280459544
early_slope_axis_p_ratio,hessian_lambda12,0.010320779716448115,0.00388699400404722,0.9668173280459544
early_slope_axis_p_ratio,hessian_mode5_participation,0.016929718288504314,0.004669050086515287,0.9668173280459544
early_slope_axis_p_ratio,hessian_mode5_x_fraction,0.021357051738312673,0.00487442108460895,0.9668173280459544
early_slope_axis_p_ratio,hessian_mode6_participation,0.0008222489585924557,0.0009097705489324776,0.9668173280459544
early_slope_axis_p_ratio,hessian_mode6_x_fraction,0.012888456864070419,0.004161481480122671,0.9668173280459544
early_slope_axis_p_ratio,hessian_gap_6_5,0.0003698731347512907,0.0006466067081962131,0.9668173280459544
mean_axis_x_compression,node_count,0.9489686906061436,0.1576344493969352,0.6336944100686457
mean_axis_x_compression,edge_count,13.194525135773072,1.44715502311638,0.6336944100686457
mean_axis_x_compression,edge_density,4.829901171481636,0.6076566732756061,0.6336944100686457
mean_axis_x_compression,mean_degree,0.21453993479175598,0.05860444639246403,0.6336944100686457
mean_axis_x_compression,std_degree,0.0756480622329054,0.03565619208401158,0.6336944100686457
mean_axis_x_compression,max_degree,0.04618531435086223,0.023115008163201355,0.6336944100686457
