dataset,split,sim_idx,frames,final_p_ratio,mean_x_compression,final_x_compression,mean_axis_p_ratio,initial_axis_p_ratio,final_axis_p_ratio,slope_axis_p_ratio,range_axis_p_ratio,early_slope_axis_p_ratio,mean_axis_x_compression,initial_axis_x_compression,final_axis_x_compression,slope_axis_x_compression,range_axis_x_compression,early_slope_axis_x_compression,original_sim_idx,abs_final_p_ratio_diff,raw_frames
dePablo CV2,test,39,164,-0.4103403225186684,0.00492697782613037,0.0098440866824234,-1.0762189253356371,-0.9467594955443458,-1.320307778195418,-0.3735482826510722,0.37821962786423824,-0.11057521591823354,0.17673549465013155,-1.273573191669643,1.851317892197648,3.1248910838672908,3.1248910838672908,2.5957193604401554,42,0.0,164
dePablo CV2,test,40,183,0.1580742131340375,0.004573591710600655,0.0091486169513677,0.8940623764547372,0.6983738266113162,1.07447579402656,0.3761019674152437,0.3761019674152437,0.40895330090029064,0.05145044139197722,-1.8583384346487783,1.9720226643710836,3.830361099019862,3.830361099019862,3.7987514242083846,58,2.7755575615628914e-17,183
dePablo CV2,test,41,180,0.1984530464851873,0.0049927318616225435,0.00997864070291,0.9900029403245311,0.8008197093637225,1.1542111450267856,0.3533914356630631,0.3533914356630631,0.4090109766598495,-0.049463844775185985,-2.016297991727292,1.946093757152203,3.962391748879495,3.962391748879495,3.8916645566620147,51,0.0,180
dePablo CV2,test,42,183,-0.1806314739996638,0.004552626867485603,0.0089291567090214,-0.390734938823495,-0.3514811756529317,-0.4757085449061952,-0.1242273692532635,0.13058052955085359,-0.029288862964074902,-0.07718448118006827,-1.611488291574255,1.4816476386549489,3.093135930229204,3.093135930229204,3.0272068429238277,70,0.0,183
dePablo CV2,test,43,123,-0.0249099652893926,0.005098728185416147,0.0101997333848035,0.32699172438194596,0.2365868488505324,0.4044963337743584,0.16790948492382599,0.16790948492382599,0.1937957413698097,-0.13887418015410652,-1.7617854367512271,1.4650404943430808,3.226825931094308,3.226825931094308,3.257744275554814,57,3.122502256758253e-17,123
dePablo CV2,test,44,170,-0.1496032734170133,0.005238891613015388,0.0104984123034433,-0.16206293472254338,-0.1348314038932736,-0.2199158348222736,-0.08508443092899998,0.09090906474698579,-0.02028913454462663,-0.0635729156055222,-1.5780216351371854,1.462372140442188,3.0403937755793735,3.0403937755793735,3.0030373938887345,35,0.0,170
dePablo CV2,test,45,146,-0.1005514179318246,0.004800732965601024,0.0095771003300315,0.2521477562262052,0.1971529185547485,0.2880226048525061,0.09086968629775757,0.09086968629775757,0.12952864574594306,-0.15718167393308344,-1.832389356199272,1.518514272251987,3.3509036284512588,3.3509036284512588,3.3380322334436836,44,9.71445146547012e-17,146
dePablo CV2,test,46,158,-0.1613288408896635,0.004804454856551706,0.0096002033799426,-0.24979511830034992,-0.2173278776482564,-0.323945205235926,-0.10661732758766962,0.11168850392650742,-0.019150315852103257,-0.13524986762844377,-1.708616221459253,1.4511811994209212,3.1597974208801745,3.1597974208801745,3.122222744070074,20,0.0,158
dePablo CV2,test,47,178,0.2050441664335105,0.004592836316852725,0.0091556711940445,1.1719636479234332,0.9750083221828604,1.3435600315198573,0.3685517093369969,0.3685517093369969,0.42479413492004076,-0.1149148817570611,-2.095706347057885,1.8993913922184744,3.9950977392763596,3.9950977392763596,3.91601739486672,55,2.7755575615628914e-17,178
dePablo CV2,test,48,158,-0.4558432561012651,0.005476857519023741,0.0110279356192594,-1.1418938706038286,-0.9778944720296956,-1.4148642177599706,-0.436969745730275,0.4396636015431722,-0.1976500877194032,0.3055079660040741,-1.0237078792366616,1.8363713751648636,2.8600792544015254,2.8600792544015254,2.3813753608818424,3,5.551115123125783e-17,158
dePablo CV2,test,49,115,-0.0673570510233767,0.0044447372514353,0.0088759750553764,0.166306495377253,0.1038014041414547,0.1916207800782875,0.08781937593683281,0.0893883659982467,0.16920431507665076,0.1130259957887833,-1.5122334924368743,1.72529363033543,3.2375271227723044,3.2375271227723044,3.2574078427110416,87,1.3877787807814457e-17,115
dePablo CV2,test,50,170,0.1059858093500111,0.004957133441232239,0.0098594816487177,0.7891114134255782,0.640722855279268,0.9245363013972696,0.28381344611800163,0.28381344611800163,0.3107845291782931,-0.046660402308557655,-1.786924885451343,1.6827230042168164,3.4696478896681597,3.4696478896681597,3.4897641038108334,13,8.326672684688674e-17,170
dePablo CV2,test,51,169,0.0411747759483444,0.005074987642926716,0.0101414593644215,0.3565687997650095,0.2246930780106439,0.4767428356288097,0.25204975761816584,0.25204975761816584,0.2765801371167952,0.019353277813918362,-1.7535633347087936,1.767784696757647,3.5213480314664407,3.5213480314664407,3.568933141454578,99,2.7755575615628914e-17,169
dePablo CV2,test,52,158,0.0793531539701399,0.004919639746874496,0.0098293234776388,0.6085601876682502,0.4993761008026115,0.6966907866519401,0.19731468584932854,0.19731468584932854,0.24392346190296532,-0.18516327542711603,-1.9753847451825532,1.5919742141987323,3.5673589593812856,3.5673589593812856,3.5875260697805382,85,6.938893903907228e-17,158
dePablo CV2,test,53,157,0.1278935707687713,0.005176856508650915,0.0103656831106178,0.8162929835566715,0.6624952331688155,0.9581313909453744,0.29563615777655883,0.29563615777655883,0.320968177068486,0.04674763455949523,-1.860257328584404,1.95305997162252,3.813317300206924,3.813317300206924,3.808173360604456,4,0.0,157
dePablo CV2,test,54,159,-0.3100257281336626,0.004904994286506589,0.0098195820926969,-0.7069917277768952,-0.6035279500434696,-0.88939833512818,-0.2858703850847104,0.2888911483549076,-0.1185269977413971,-0.014849170575490393,-1.3876114271827569,1.4382566812391415,2.8258681084218984,2.8258681084218984,2.6249141972632093,74,5.551115123125783e-17,159
dePablo CV2,test,55,138,0.037337759212293,0.005090543957574627,0.0101880534282377,0.5217894766407821,0.4195605424929937,0.6124948074765999,0.19293426498360622,0.19293426498360622,0.21485186449342608,0.2115296181227921,-1.5938337882780589,1.9972056069506523,3.5910393952287114,3.5910393952287114,3.628254744579059,52,0.0,138
