case,case_short,dataset,sim_idx,epoch,train_mse_norm
low final p-ratio,low_p,low_p CV2 sim-61,61,198,0.00029310344689292833
low final p-ratio,low_p,low_p CV2 sim-61,61,199,0.00026686682498880794
low final p-ratio,low_p,low_p CV2 sim-61,61,200,0.0002463814203760454
low final p-ratio,low_p,low_p CV2 sim-61,61,201,0.00019956309915869497
low final p-ratio,low_p,low_p CV2 sim-61,61,202,0.000261974775120117
low final p-ratio,low_p,low_p CV2 sim-61,61,203,0.0002323160240069098
low final p-ratio,low_p,low_p CV2 sim-61,61,204,0.00023950489724354287
low final p-ratio,low_p,low_p CV2 sim-61,61,205,0.0003796305557313774
low final p-ratio,low_p,low_p CV2 sim-61,61,206,0.00044656152333897935
low final p-ratio,low_p,low_p CV2 sim-61,61,207,0.0006081599266118636
low final p-ratio,low_p,low_p CV2 sim-61,61,208,0.0004908324158999936
low final p-ratio,low_p,low_p CV2 sim-61,61,209,0.0004208924458777931
low final p-ratio,low_p,low_p CV2 sim-61,61,210,0.0002568622128040131
low final p-ratio,low_p,low_p CV2 sim-61,61,211,0.00018806407128327658
low final p-ratio,low_p,low_p CV2 sim-61,61,212,0.0001400916823643326
low final p-ratio,low_p,low_p CV2 sim-61,61,213,0.00010966773074220068
low final p-ratio,low_p,low_p CV2 sim-61,61,214,9.582100834190246e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,215,9.622474395395589e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,216,0.00010865611849502394
low final p-ratio,low_p,low_p CV2 sim-61,61,217,0.00011292319998444458
low final p-ratio,low_p,low_p CV2 sim-61,61,218,9.500619359771787e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,219,7.443553762901242e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,220,6.829909268292665e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,221,7.105682665756572e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,222,0.00010494259497915794
low final p-ratio,low_p,low_p CV2 sim-61,61,223,0.0001007585264492913
low final p-ratio,low_p,low_p CV2 sim-61,61,224,0.00016315796996683015
low final p-ratio,low_p,low_p CV2 sim-61,61,225,0.00011658782360817506
low final p-ratio,low_p,low_p CV2 sim-61,61,226,0.00011325755960050239
low final p-ratio,low_p,low_p CV2 sim-61,61,227,7.519224423698947e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,228,6.910540780933973e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,229,6.825231035431248e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,230,6.310861291629928e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,231,7.007512197430645e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,232,7.11239907624466e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,233,6.087486430520325e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,234,5.4360625524298355e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,235,6.171973914855958e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,236,5.068686420729916e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,237,5.627043096215597e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,238,4.861184710794727e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,239,5.5418215457133814e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,240,7.935151032662751e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,241,5.408880900046954e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,242,4.7771367072917723e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,243,5.363512238026098e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,244,6.91706261152701e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,245,5.6518349603201e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,246,5.700028733761948e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,247,0.00015341177822847385
low final p-ratio,low_p,low_p CV2 sim-61,61,248,0.0009091675269051588
low final p-ratio,low_p,low_p CV2 sim-61,61,249,0.0006241388171994393
low final p-ratio,low_p,low_p CV2 sim-61,61,250,0.0003396050981661704
low final p-ratio,low_p,low_p CV2 sim-61,61,251,0.0001635747030377388
low final p-ratio,low_p,low_p CV2 sim-61,61,252,8.997211469769744e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,253,7.637443299505062e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,254,9.027483013466866e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,255,0.0001107942833706537
low final p-ratio,low_p,low_p CV2 sim-61,61,256,0.0001849500248291796
low final p-ratio,low_p,low_p CV2 sim-61,61,257,0.0019071733134166738
low final p-ratio,low_p,low_p CV2 sim-61,61,258,0.00029236712517948557
low final p-ratio,low_p,low_p CV2 sim-61,61,259,0.00011191122913649971
low final p-ratio,low_p,low_p CV2 sim-61,61,260,6.590787130075373e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,261,5.981005337421915e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,262,6.079601579196086e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,263,0.00012147714161463747
low final p-ratio,low_p,low_p CV2 sim-61,61,264,0.0002699228711467835
low final p-ratio,low_p,low_p CV2 sim-61,61,265,0.0001622075431961483
low final p-ratio,low_p,low_p CV2 sim-61,61,266,0.00016297305306319946
low final p-ratio,low_p,low_p CV2 sim-61,61,267,0.00010312990629505034
low final p-ratio,low_p,low_p CV2 sim-61,61,268,6.84476196641169e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,269,0.00010729965989802232
low final p-ratio,low_p,low_p CV2 sim-61,61,270,0.00017638324996888905
low final p-ratio,low_p,low_p CV2 sim-61,61,271,0.00026551669179752935
low final p-ratio,low_p,low_p CV2 sim-61,61,272,0.0004692180674672792
low final p-ratio,low_p,low_p CV2 sim-61,61,273,0.00022775229808758013
low final p-ratio,low_p,low_p CV2 sim-61,61,274,0.000209491764897913
low final p-ratio,low_p,low_p CV2 sim-61,61,275,0.0002740989475569222
low final p-ratio,low_p,low_p CV2 sim-61,61,276,0.0003408734945488894
low final p-ratio,low_p,low_p CV2 sim-61,61,277,0.00032772568530552756
low final p-ratio,low_p,low_p CV2 sim-61,61,278,0.00033621519625220183
low final p-ratio,low_p,low_p CV2 sim-61,61,279,0.0003256190497527963
low final p-ratio,low_p,low_p CV2 sim-61,61,280,0.00043579197257973386
low final p-ratio,low_p,low_p CV2 sim-61,61,281,0.0002451669611868316
low final p-ratio,low_p,low_p CV2 sim-61,61,282,0.00013271922736229108
low final p-ratio,low_p,low_p CV2 sim-61,61,283,0.0001802040507235298
low final p-ratio,low_p,low_p CV2 sim-61,61,284,0.0001901410760183353
low final p-ratio,low_p,low_p CV2 sim-61,61,285,0.0001346205359108613
low final p-ratio,low_p,low_p CV2 sim-61,61,286,0.00010300977139974878
low final p-ratio,low_p,low_p CV2 sim-61,61,287,0.0006348731154243328
low final p-ratio,low_p,low_p CV2 sim-61,61,288,0.0007866559358912387
low final p-ratio,low_p,low_p CV2 sim-61,61,289,0.0010447654806609666
low final p-ratio,low_p,low_p CV2 sim-61,61,290,0.0006131957317328281
low final p-ratio,low_p,low_p CV2 sim-61,61,291,0.0004339429781664096
low final p-ratio,low_p,low_p CV2 sim-61,61,292,0.0009012460151487696
low final p-ratio,low_p,low_p CV2 sim-61,61,293,0.0006784827689573701
low final p-ratio,low_p,low_p CV2 sim-61,61,294,0.0006479526517588445
low final p-ratio,low_p,low_p CV2 sim-61,61,295,0.0007148752795598869
low final p-ratio,low_p,low_p CV2 sim-61,61,296,0.0005958311677594404
low final p-ratio,low_p,low_p CV2 sim-61,61,297,0.0037550144230148624
low final p-ratio,low_p,low_p CV2 sim-61,61,298,0.02003921884378152
low final p-ratio,low_p,low_p CV2 sim-61,61,299,0.023449056914874485
low final p-ratio,low_p,low_p CV2 sim-61,61,300,0.04526689515582153
low final p-ratio,low_p,low_p CV2 sim-61,61,301,0.021615878213196993
low final p-ratio,low_p,low_p CV2 sim-61,61,302,0.006530549343941467
low final p-ratio,low_p,low_p CV2 sim-61,61,303,0.003003006983947541
low final p-ratio,low_p,low_p CV2 sim-61,61,304,0.0013413150570288832
low final p-ratio,low_p,low_p CV2 sim-61,61,305,0.0008735478913877159
low final p-ratio,low_p,low_p CV2 sim-61,61,306,0.0006186487277903195
low final p-ratio,low_p,low_p CV2 sim-61,61,307,0.00043448962449994203
low final p-ratio,low_p,low_p CV2 sim-61,61,308,0.0003706152783706784
low final p-ratio,low_p,low_p CV2 sim-61,61,309,0.0004531450748410342
low final p-ratio,low_p,low_p CV2 sim-61,61,310,0.00043999047505037325
low final p-ratio,low_p,low_p CV2 sim-61,61,311,0.00030729791303331567
low final p-ratio,low_p,low_p CV2 sim-61,61,312,0.00020724703322879838
low final p-ratio,low_p,low_p CV2 sim-61,61,313,0.00018094246739305424
low final p-ratio,low_p,low_p CV2 sim-61,61,314,0.00024203363188592318
low final p-ratio,low_p,low_p CV2 sim-61,61,315,0.0002679557271351639
low final p-ratio,low_p,low_p CV2 sim-61,61,316,0.00025324642358879956
low final p-ratio,low_p,low_p CV2 sim-61,61,317,0.00027984066400676966
low final p-ratio,low_p,low_p CV2 sim-61,61,318,0.0002321831073329252
low final p-ratio,low_p,low_p CV2 sim-61,61,319,0.0002875776491626831
low final p-ratio,low_p,low_p CV2 sim-61,61,320,0.0005044537361495063
low final p-ratio,low_p,low_p CV2 sim-61,61,321,0.00014743965870625937
low final p-ratio,low_p,low_p CV2 sim-61,61,322,0.00016295850738450618
low final p-ratio,low_p,low_p CV2 sim-61,61,323,0.00016837153660682297
low final p-ratio,low_p,low_p CV2 sim-61,61,324,0.0004508016084270951
low final p-ratio,low_p,low_p CV2 sim-61,61,325,0.00014152363603768338
low final p-ratio,low_p,low_p CV2 sim-61,61,326,8.647125858780263e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,327,7.942347890223443e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,328,7.457883995292442e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,329,6.75897764657358e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,330,7.227727863729732e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,331,7.882749170156396e-05
low final p-ratio,low_p,low_p CV2 sim-61,61,332,8.329078991664574e-05
