case,case_short,train_original_sim_idx,original_sim_idx,frames_encoded,final_p_ratio,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1
high final p-ratio,high_p,56,28,87,-0.45477014026240226,0.5654341575058027,-0.9711880683898926,-3.0846476554870605,3.0846476554870605,0.7649658164758791,0.8429839611053467,0.17420995235443115,0.17420995235443115
high final p-ratio,high_p,56,29,66,-0.46988297457812184,0.5960701153133855,-0.7807828187942505,-2.7845813035964966,2.7845813035964966,0.6858318168105502,0.7868275046348572,0.21595001220703125,0.21595001220703125
high final p-ratio,high_p,56,30,86,0.04379751958601948,-0.9370268640476603,-3.9067916870117188,-5.9134557247161865,5.9134557247161865,0.8174653067145237,1.0695326328277588,0.5120625495910645,0.5120625495910645
high final p-ratio,high_p,56,31,71,0.13393114430878897,-1.3941838483155613,-4.815889835357666,-6.783318638801575,6.783318638801575,0.7828338964724205,1.0771267414093018,0.5914807021617889,0.5914807021617889
high final p-ratio,high_p,56,32,85,0.21262633834314057,-1.4600724015165778,-4.975942134857178,-6.9660409688949585,6.9660409688949585,0.7765381970826317,1.0663344860076904,0.5841774642467499,0.5841774642467499
high final p-ratio,high_p,56,33,80,-0.4240335086854074,0.3918536456301808,-1.1908811330795288,-3.1940165758132935,3.1940165758132935,0.7260518431663513,0.8217685222625732,0.21070736646652222,0.21070736646652222
high final p-ratio,high_p,56,34,84,-0.44394318861186965,0.5318051324713797,-0.8894709348678589,-2.8763575553894043,2.8763575553894043,0.8145128069888978,0.9014302492141724,0.19277501106262207,0.19277501106262207
high final p-ratio,high_p,56,35,86,-0.1496032734170133,-0.3573503845133061,-2.7583110332489014,-4.799247741699219,4.799247741699219,0.7867207450922146,0.9670016169548035,0.3733835816383362,0.3733835816383362
high final p-ratio,high_p,56,36,95,-0.4436555356265637,0.2560186263762022,-1.563100814819336,-3.6257100105285645,3.6257100105285645,0.7411645431267587,0.8349740505218506,0.2055882215499878,0.2055882215499878
high final p-ratio,high_p,56,37,70,-0.204619104548757,-0.3374051157917295,-2.6645431518554688,-4.619626522064209,4.619626522064209,0.8276894390583038,1.0154656171798706,0.38172948360443115,0.38172948360443115
high final p-ratio,high_p,56,38,76,0.35413357644997473,-1.214884864117362,-4.455141067504883,-6.400667428970337,6.400667428970337,0.7296639002467457,1.0162819623947144,0.5772891640663147,0.5772891640663147
high final p-ratio,high_p,56,39,92,0.35508191711915005,-1.1348663169647688,-4.341666221618652,-6.334457039833069,6.334457039833069,0.7163445317874784,0.980269730091095,0.5338003039360046,0.5338003039360046
high final p-ratio,high_p,56,40,62,-0.23919190542704324,0.0072496007647245165,-1.9847532510757446,-3.976095199584961,3.976095199584961,0.6978057055704056,0.8547217845916748,0.3174300789833069,0.3174300789833069
