case,case_short,dataset,sim_idx,epoch,train_dz_mse_norm,train_dz_mse_raw
low final p-ratio,low_p,low_p CV2 sim-61,61,146,0.24897419847548008,1.779548721206733e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,147,0.24451394685144937,1.7442407289942302e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,148,0.23824611492455006,1.705034021272565e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,149,0.3525673305349691,2.5862409834027337e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,150,0.3263325833582452,2.3941083365944645e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,151,0.21729020854192121,1.550870163466048e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,152,0.34835528435983826,2.5545336071226236e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,153,0.2208561399685485,1.6120145513046476e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,154,0.19982602261006832,1.4300187396137126e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,155,0.2673918663391045,1.938763713634931e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,156,0.23106349791799272,1.6558413276714288e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,157,0.21256039118660347,1.5264060085736934e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,158,0.2461349024836506,1.782876619163939e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,159,0.25766669533082415,1.8684356847740804e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,160,0.24344810377806425,1.7473754740292082e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,161,0.2245307628597532,1.6063054825313624e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,162,0.34554118051060606,2.4951942622562584e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,163,0.2783248759806156,2.0165455591073363e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,164,0.27232645199234995,1.980155253988869e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,165,0.24315110753689492,1.7479895879952373e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,166,0.22676999866962433,1.616673288700505e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,167,0.22244166822305747,1.5886127532179932e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,168,0.24784214874463423,1.7749391422025188e-06
