dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,train_original_sim_idx,original_sim_idx
low_p CV2 sim-61,other_trajectories,40,100,100,-0.4545478384459257,-0.23567249638889756,0.00021983921760693192,0.00048804678954184055,0.0007112122257240117,1.4572623792724262,low final p-ratio,low_p,61,40
low_p CV2 sim-61,other_trajectories,41,100,100,-0.5372768440972988,-0.3377531462645397,0.00018013153749052435,0.0006346940062940121,0.0007286430336534977,1.1480225532742232,low final p-ratio,low_p,61,41
low_p CV2 sim-61,other_trajectories,42,100,100,-0.5088331829534607,-0.38978774090075596,0.00024673560983501375,0.0005451604374684393,0.001040568226017058,1.9087376018134092,low final p-ratio,low_p,61,42
low_p CV2 sim-61,other_trajectories,43,100,100,-0.46208037220505926,0.18058726787909754,0.0004779225855600089,0.0004340223385952413,0.0010623455746099353,2.447674877860729,low final p-ratio,low_p,61,43
low_p CV2 sim-61,other_trajectories,44,100,100,-0.49952801300381733,-0.09489259597806216,0.0002715083537623286,0.0004826681106351316,0.0009010172798298299,1.8667429232981696,low final p-ratio,low_p,61,44
low_p CV2 sim-61,other_trajectories,45,100,100,-0.5243753352052245,0.34220687606742406,0.0008074105717241764,0.0004893475561402738,0.001261222525499761,2.5773553166335335,low final p-ratio,low_p,61,45
low_p CV2 sim-61,other_trajectories,46,100,100,-0.5574156203802028,-0.28992099334964483,0.00022804543550591916,0.0005225369823165238,0.0007634420762769878,1.4610297493059297,low final p-ratio,low_p,61,46
low_p CV2 sim-61,other_trajectories,47,100,100,-0.4906130943678566,-0.4020996325116617,0.0002312000433448702,0.000535108963958919,0.0010531924199312925,1.9681831007640294,low final p-ratio,low_p,61,47
low_p CV2 sim-61,other_trajectories,48,100,100,-0.4646099837098587,0.3627811839154544,0.0006329520838335156,0.0004698041011579335,0.0010901191271841526,2.3203695423205524,low final p-ratio,low_p,61,48
low_p CV2 sim-61,other_trajectories,49,100,100,-0.46108992177904196,-0.4298429263730658,0.0002461926487740129,0.0005314011941663921,0.0010444594081491232,1.9654818611907043,low final p-ratio,low_p,61,49
low_p CV2 sim-61,other_trajectories,50,100,100,-0.45086808662967603,-0.06205369440383108,0.0003786347806453705,0.00040782129508443177,0.0010320451110601425,2.530630752978402,low final p-ratio,low_p,61,50
low_p CV2 sim-61,other_trajectories,51,100,100,-0.44160724373091437,0.20061216950762573,0.0005153288366273046,0.0004461872740648687,0.001120127853937447,2.5104433027253887,low final p-ratio,low_p,61,51
low_p CV2 sim-61,other_trajectories,52,100,100,-0.45293386932592605,0.039914141156028,0.00039480836130678654,0.0004721469304058701,0.001027340767905116,2.175892083047086,low final p-ratio,low_p,61,52
low_p CV2 sim-61,other_trajectories,53,100,100,-0.5440432081318444,-0.049517969000646915,0.00028704950818791986,0.00045347295235842466,0.0008215408306568861,1.8116644584516275,low final p-ratio,low_p,61,53
low_p CV2 sim-61,other_trajectories,54,100,100,-0.47264154115115653,0.34894558764071243,0.0006215580506250262,0.00046124981599859893,0.0010438116732984781,2.2630072405311243,low final p-ratio,low_p,61,54
low_p CV2 sim-61,other_trajectories,55,100,100,-0.4600146877683529,0.20687103881620106,0.0005499441176652908,0.00041538389632478356,0.001171148382127285,2.819436170947702,low final p-ratio,low_p,61,55
low_p CV2 sim-61,other_trajectories,56,100,100,-0.47914225021974804,0.4081621618699007,0.0006585198570974171,0.0004794822307303548,0.0009591740090399981,2.0004370288737694,low final p-ratio,low_p,61,56
low_p CV2 sim-61,other_trajectories,57,100,100,-0.5140904333941113,-0.022274276205264638,0.00025969010312110186,0.00041131957550533116,0.0006887667695991695,1.6745295157736597,low final p-ratio,low_p,61,57
low_p CV2 sim-61,other_trajectories,58,100,100,-0.4557335175427323,0.16038826975668286,0.000521490874234587,0.0004214166838210076,0.001192270196042955,2.82919552503849,low final p-ratio,low_p,61,58
low_p CV2 sim-61,other_trajectories,59,100,100,-0.5128327611530512,-0.02458780499290988,0.00036872303462587297,0.00044335584971122444,0.0010523699456825852,2.373646240075633,low final p-ratio,low_p,61,59
low_p CV2 sim-61,other_trajectories,60,100,100,-0.5503992096347246,-0.3677622602346421,0.00023710200912319124,0.0005478062084876001,0.0007834778516553342,1.4302098799106047,low final p-ratio,low_p,61,60
low_p CV2 sim-61,other_trajectories,61,100,100,-0.5670672169350744,-0.4044323487998041,0.0002543605223763734,0.0004929900169372559,0.0010691434144973755,2.1686918147745136,low final p-ratio,low_p,61,62
low_p CV2 sim-61,other_trajectories,62,100,100,-0.4689592058833229,-0.05281552093018046,0.00038732209941372275,0.00038364107604138553,0.0010930332355201244,2.8491037685500933,low final p-ratio,low_p,61,63
low_p CV2 sim-61,other_trajectories,63,100,100,-0.466750342205669,0.36644335814339535,0.0005817135097458959,0.000503040268085897,0.0009302019025199115,1.8491599212512233,low final p-ratio,low_p,61,64
low_p CV2 sim-61,other_trajectories,64,100,100,-0.47584125171213026,-0.11649804827531267,0.0002881863620132208,0.0004921709769405425,0.0010027631651610136,2.0374284794167252,low final p-ratio,low_p,61,65
low_p CV2 sim-61,other_trajectories,65,100,100,-0.522545524367018,-0.5314749016094777,0.00023823892115615308,0.0006565267685800791,0.0008099228143692017,1.2336478162510935,low final p-ratio,low_p,61,66
low_p CV2 sim-61,other_trajectories,66,100,100,-0.4608924983628175,0.15469150661991732,0.00043138882028870285,0.00042304719681851566,0.0009804362198337913,2.3175575378044444,low final p-ratio,low_p,61,67
low_p CV2 sim-61,other_trajectories,67,100,100,-0.46626453774886656,0.16669623291244912,0.00048397123464383185,0.00045570798101834953,0.0011487617157399654,2.5208286086473204,low final p-ratio,low_p,61,68
low_p CV2 sim-61,other_trajectories,68,100,100,-0.513784412656795,-0.24331324032490337,0.00022794456162955612,0.000529856130015105,0.0008175104740075767,1.5428914146643378,low final p-ratio,low_p,61,69
low_p CV2 sim-61,other_trajectories,69,100,100,-0.45495584073595924,-0.16940172740678322,0.00032979389652609825,0.0004286079201847315,0.0010744709288701415,2.5068853800159383,low final p-ratio,low_p,61,70
