latent_dim,repeat,seed,train_networks,train_frames_per_network,epoch,train_mse_norm,val_mse_norm
1,1,1588903626,1,4,15,0.50160151720047,1.2743442058563232
1,1,1588903626,1,4,16,0.48482051491737366,1.2583344074395986
1,1,1588903626,1,4,17,0.45675137639045715,1.2466603884330163
1,1,1588903626,1,4,18,0.4329495131969452,1.2372275980619283
1,1,1588903626,1,4,19,0.42822903394699097,1.1900411454530864
1,1,1588903626,1,4,20,0.4069328010082245,1.1484477657538195
1,1,1588903626,1,4,21,0.39335161447525024,1.127817261677522
1,1,1588903626,1,4,22,0.3908587694168091,1.114017142699315
1,1,1588903626,1,4,23,0.3796041011810303,1.1115143574201143
1,1,1588903626,1,4,24,0.364959716796875,1.1265688951198871
1,1,1588903626,1,4,25,0.36325207352638245,1.1200883457293878
1,1,1588903626,1,4,26,0.34985625743865967,1.1052101116914015
1,1,1588903626,1,4,27,0.3377777934074402,1.0988427354739263
1,1,1588903626,1,4,28,0.3334633409976959,1.0969081337635334
1,1,1588903626,1,4,29,0.32484370470046997,1.1062723283584301
1,1,1588903626,1,4,30,0.31539657711982727,1.1269029585214763
1,1,1588903626,1,4,31,0.30720046162605286,1.1399796031988585
1,1,1588903626,1,4,32,0.29602378606796265,1.1394233520214374
1,1,1588903626,1,4,33,0.28851065039634705,1.1336832161133106
1,1,1588903626,1,4,34,0.27925950288772583,1.1381827226051917
1,1,1588903626,1,4,35,0.27568089962005615,1.1495317564560816
1,1,1588903626,1,4,36,0.2681330740451813,1.1653785751416132
1,1,1588903626,1,4,37,0.2603151500225067,1.169312277665505
1,1,1588903626,1,4,38,0.2516021728515625,1.1792232967340028
1,1,1588903626,1,4,39,0.23803569376468658,1.2080353704782634
1,1,1588903626,1,4,40,0.22627073526382446,1.2147098917227526
1,1,1588903626,1,4,41,0.2148335874080658,1.2291313363955572
1,1,1588903626,1,4,42,0.22286786139011383,1.2123317214158864
1,1,1588903626,1,4,43,0.21185094118118286,1.2379854596578157
1,1,1588903626,1,4,44,0.20011527836322784,1.2719032076688914
1,1,1588903626,1,4,45,0.2018837034702301,1.2497283266140864
