split,sim_idx,final_p_ratio,mean_frame_p_ratio,frames,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1,mean_z0_aligned,final_z0_aligned,slope_z0_aligned,range_z0_aligned,mean_z1_aligned,final_z1_aligned,slope_z1_aligned,range_z1_aligned
test,24,-0.4425836976874488,-0.38546653258158875,115,0.7440473405887251,1.4257501363754272,1.4185688346624374,1.4185688346624374,0.6572011782018387,1.2952512502670288,1.3279443942010403,1.3279443942010403,1.1100046791344178,2.192262427725217,2.2411896305911254,2.2411896305911254,0.07722261785596059,2.50457316288135,5.007435151772112,5.007435151772112
test,25,0.15575047961155963,0.16010134850472116,146,1.534015195291132,3.0073726177215576,2.9528768248856068,2.9528768248856068,1.3819960938536957,2.7582061290740967,2.7581963259726763,2.7581963259726763,3.1094539953390568,5.591647011445929,4.973716148773202,4.973716148773202,5.8767168953150986,11.696441860254051,11.659577640557563,11.659577640557563
test,26,0.03234810147365195,0.043890752150877545,147,1.3372372815094027,2.637275457382202,2.614625170826912,2.614625170826912,1.2000346015251817,2.414789915084839,2.443003237247467,2.443003237247467,2.6838433298026314,4.851738380520711,4.365252516912808,4.365252516912808,4.722387240575341,9.768129040567327,10.168793891810333,10.168793891810333
test,27,-0.36685866738795003,-0.31907306258090046,176,0.7656678606978279,1.488111138343811,1.4832242159172893,1.4832242159172893,0.6698856561614032,1.3455265760421753,1.38751757517457,1.38751757517457,1.5301585302271328,2.704727159488882,2.3919646360300466,2.3919646360300466,1.7003177059620358,4.383461967790339,5.430520627520478,5.430520627520478
test,28,-0.45477014026240226,-0.40407312713718835,172,0.6335458951287491,1.2251847982406616,1.2211966663599014,1.2211966663599014,0.5477925331039397,1.101028323173523,1.142463706433773,1.142463706433773,1.2402689487838052,2.205989375625696,1.9660225632359016,1.9660225632359016,0.9087473038824594,3.1213825044512173,4.4576332560895935,4.4576332560895935
test,29,-0.46988297457812184,-0.4123625000994139,130,0.5917288424303898,1.1501444578170776,1.157441845163703,1.157441845163703,0.5213179054383476,1.044082760810852,1.0838399343192577,1.0838399343192577,0.5268099102333506,1.4078576753913574,1.8112350903228736,1.8112350903228736,-1.8331188989035847,0.1332743794769229,4.015946318398539,4.015946318398539
test,30,0.04379751958601948,0.05788287983599113,170,1.2689364677623791,2.5049121379852295,2.485842041671276,2.485842041671276,1.1355683258022455,2.2901134490966797,2.321975514292717,2.321975514292717,2.60295398183176,4.68191355181051,4.185895660128448,4.185895660128448,4.589561373661563,9.458362647490517,9.810801953853447,9.810801953853447
test,31,0.13393114430878897,0.14132469489430619,141,1.47179931962321,2.9023759365081787,2.868869762867689,2.868869762867689,1.3217783336203994,2.6575942039489746,2.6788133904337883,2.6788133904337883,3.112144431343067,5.544446033674806,4.878935972055584,4.878935972055584,6.061770576831782,11.801401831355097,11.515082591863106,11.515082591863106
test,32,0.21262633834314057,0.21437133483604692,169,1.5253766173573993,2.9956305027008057,2.9454633183777332,2.9454633183777332,1.367808359019326,2.7402637004852295,2.749667026102543,2.749667026102543,3.40752322536487,5.928212265324088,5.043210191571406,5.043210191571406,7.095348490927481,13.078029454805698,11.95882268297196,11.95882268297196
test,33,-0.4240335086854074,-0.3687189489920118,158,0.6816193523191953,1.3041225671768188,1.290371611714363,1.290371611714363,0.5991719302579855,1.1810812950134277,1.2067470960319042,1.2067470960319042,0.9903982025113056,2.0160696890158145,2.0994455349037295,2.0994455349037295,-0.22720230226552393,2.1392172065551254,4.798525294793365,4.798525294793365
test,34,-0.44394318861186965,-0.39020937437697156,166,0.6326382876070867,1.2010858058929443,1.1824423372745514,1.1824423372745514,0.5566297979599022,1.0885980129241943,1.1069999914616346,1.1069999914616346,0.7439067308652741,1.6503919369312356,1.8631637161443302,1.8631637161443302,-1.0777515921465874,0.9624752530609229,4.15400793588422,4.15400793588422
test,35,-0.1496032734170133,-0.1203734775181932,170,1.0191877426689162,1.990402102470398,1.9736423157155514,1.9736423157155514,0.9011755307643291,1.8093079328536987,1.8454386666417122,1.8454386666417122,2.238987903462237,3.8263617687429137,3.2263953967051773,3.2263953967051773,3.830632386546269,7.471154198245458,7.40057588543972,7.40057588543972
test,36,-0.4436555356265637,-0.3815044646287615,189,0.7735369582143095,1.473494529724121,1.4397483058273792,1.4397483058273792,0.6784113413954853,1.33058762550354,1.34229994751513,1.34229994751513,1.483359219621063,2.7458126408511565,2.5541723682167734,2.5541723682167734,1.4907396878133,4.58904372376427,6.202305576715663,6.202305576715663
test,37,-0.204619104548757,-0.17923619091087103,139,1.0106430851834283,1.9690492153167725,1.9406678788363934,1.9406678788363934,0.8999741566668955,1.796952247619629,1.816160786896944,1.816160786896944,1.878190828834961,3.4026323793605076,3.0930618083235197,3.0930618083235197,2.408767276711304,5.832981414920379,6.958641028781772,6.958641028781772
test,38,0.35413357644997473,0.3536679418501102,151,1.41126110905547,2.76635479927063,2.716487478464842,2.716487478464842,1.2671243343872345,2.531885862350464,2.5356384608894587,2.5356384608894587,2.913458775301511,5.246615245498525,4.665139233490131,4.665139233490131,5.435163176572541,10.988931072754692,11.08518530855037,11.08518530855037
test,39,0.35508191711915005,0.3541040385630173,183,1.376395754495768,2.6909964084625244,2.637544732540846,2.637544732540846,1.2305397621452645,2.456865072250366,2.46078478731215,2.46078478731215,3.0600156765884092,5.356279315895627,4.5891674144446615,4.5891674144446615,6.120112564045413,11.639466900862175,11.001874190739969,11.001874190739969
