dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
one-system CV2 train-sim-0,test,10,20,20,-0.43744512366847244,0.1464404083255999,0.00012832209176849574,1.7667392967268825e-05,0.00021355311037041247,12.087414977752958
one-system CV2 train-sim-0,test,11,20,20,-0.45966871105025797,0.21529328324883765,0.00019523924856912345,1.7791091522667557e-05,0.0002910393523052335,16.358712557597798
one-system CV2 train-sim-0,test,12,20,20,-0.4359685415035969,-0.31216277883660376,0.00014729515532962978,1.9497403627610765e-05,0.00026336079463362694,13.507480260637116
one-system CV2 train-sim-0,test,13,20,20,-0.43329812687258856,-0.33368686199125014,0.00016225253057200462,2.1218607798800804e-05,0.00029174561495892704,13.749517297521066
one-system CV2 train-sim-0,test,14,20,20,-0.44768185565251994,-0.08799331365737718,0.00017779231711756438,1.7585467503522523e-05,0.0002925210283137858,16.63424803777274
one-system CV2 train-sim-0,test,15,20,20,-0.4756605335200866,-0.2984133767829478,0.00022603519028052688,1.8588876628200524e-05,0.00036450172774493694,19.608593624854358
one-system CV2 train-sim-0,test,16,20,20,-0.4202011405220275,-0.16288160833953835,0.00010927789116976783,1.835780858527869e-05,0.00020403519738465548,11.114354768263208
one-system CV2 train-sim-0,test,17,20,20,-0.46639614106278665,0.3538436822234718,0.00016151713498402387,1.8663426089915447e-05,0.0002378641365794465,12.744934152683438
one-system CV2 train-sim-0,test,18,20,20,-0.45530549171883666,0.35232607767819035,0.0002410372981103137,1.8867040125769563e-05,0.00033721092040650547,17.873016549422907
one-system CV2 train-sim-0,test,19,20,20,-0.46953278658106656,-0.207038153654226,8.156746480381116e-05,1.9085016901954077e-05,0.00016697942919563502,8.749241881915143
one-system CV2 train-sim-0,test,20,20,20,-0.4857287011676517,-0.29186724739563435,5.796021287096664e-05,2.3802715077181347e-05,0.00014140980783849955,5.940910832229519
