target,descriptor,mse_increase_when_permuted,target_r2
range_z1,x_span0,0.5049733779903695,0.9742115806303069
range_z1,y_span0,0.022619621431302604,0.9742115806303069
range_z1,aspect_ratio0,1.3732524124739076e-05,0.9742115806303069
range_z1,edge_len_mean,0.7350453322000022,0.9742115806303069
range_z1,edge_len_std,2.7085090662641447,0.9742115806303069
range_z1,edge_len_min,0.8449400265716172,0.9742115806303069
range_z1,edge_len_max,0.0070602142473897705,0.9742115806303069
range_z1,stiffness_mean,0.16601338914152794,0.9742115806303069
range_z1,stiffness_std,0.8274314580666006,0.9742115806303069
range_z1,stiffness_min,0.03182845186450634,0.9742115806303069
range_z1,stiffness_max,0.07380317467691297,0.9742115806303069
mean_z0_aligned,node_count,0.0855550239539174,0.9818922846738737
mean_z0_aligned,edge_count,0.4030731414745459,0.9818922846738737
mean_z0_aligned,edge_density,0.4024110726410445,0.9818922846738737
mean_z0_aligned,mean_degree,0.009757090762964247,0.9818922846738737
mean_z0_aligned,std_degree,0.00025960813289178583,0.9818922846738737
mean_z0_aligned,max_degree,0.0007909170309886859,0.9818922846738737
mean_z0_aligned,x_span0,0.14677290770664886,0.9818922846738737
mean_z0_aligned,y_span0,0.0574260151876262,0.9818922846738737
mean_z0_aligned,aspect_ratio0,0.0010593373593055996,0.9818922846738737
mean_z0_aligned,edge_len_mean,0.2937220384447987,0.9818922846738737
mean_z0_aligned,edge_len_std,1.3554070858412917,0.9818922846738737
mean_z0_aligned,edge_len_min,0.417972608653555,0.9818922846738737
mean_z0_aligned,edge_len_max,0.0001670894767532502,0.9818922846738737
mean_z0_aligned,stiffness_mean,0.3597921938339259,0.9818922846738737
mean_z0_aligned,stiffness_std,0.7361684638629163,0.9818922846738737
mean_z0_aligned,stiffness_min,0.017106549988140284,0.9818922846738737
mean_z0_aligned,stiffness_max,0.03640590695727924,0.9818922846738737
final_z0_aligned,node_count,0.004608645414642742,0.9823184360989118
final_z0_aligned,edge_count,0.7947802329743044,0.9823184360989118
final_z0_aligned,edge_density,0.45246213047890466,0.9823184360989118
final_z0_aligned,mean_degree,0.00899452976614884,0.9823184360989118
final_z0_aligned,std_degree,0.0012313905104596977,0.9823184360989118
final_z0_aligned,max_degree,0.00015177068773174554,0.9823184360989118
final_z0_aligned,x_span0,0.17025029426977747,0.9823184360989118
final_z0_aligned,y_span0,0.004565501237572621,0.9823184360989118
final_z0_aligned,aspect_ratio0,0.0007656490728689264,0.9823184360989118
final_z0_aligned,edge_len_mean,0.4190938216260312,0.9823184360989118
