split,sim_idx,final_p_ratio,mean_frame_p_ratio,frames,mean_z0,final_z0,slope_z0,range_z0,mean_z1,final_z1,slope_z1,range_z1,mean_z0_aligned,final_z0_aligned,slope_z0_aligned,range_z0_aligned,mean_z1_aligned,final_z1_aligned,slope_z1_aligned,range_z1_aligned,node_count,edge_count,edge_density,mean_degree,std_degree,max_degree,x_span0,y_span0,aspect_ratio0,edge_len_mean,edge_len_std,edge_len_min,edge_len_max,stiffness_mean,stiffness_std,stiffness_min,stiffness_max
val,20,-0.1613288408896635,-0.13441436947423685,158,1.1080308153140772,2.1235156059265137,2.0613872073590755,2.0613872073590755,0.9919829135053332,1.9404977560043335,1.9255744460970163,1.9255744460970163,1.9890033620546452,3.7004677687213383,3.4673912433172016,3.4673912433172016,2.5800272838246645,6.593803737834758,8.120521809870366,8.120521809870366,212,603,0.026960565143521416,5.688679245283019,0.7692584955432524,7.0,15.883009910583496,15.725339889526367,1.0100264936824763,2.661949350762723,4.157331417717328,0.3224564790725708,21.598209381103516,0.856982202128589,0.3134521880205663,0.3858352303504944,3.101271629333496
test,21,-0.2291252278516337,-0.19493762668054015,177,1.018663406561492,1.9591538906097412,1.9058017544448376,1.9058017544448376,0.9071449661090717,1.7858421802520752,1.7808224372565746,1.7808224372565746,1.9080873663313829,3.4813616903574105,3.175907936344556,3.175907936344556,2.506104128982473,6.176186172521291,7.388288386182095,7.388288386182095,264,754,0.021719092061297386,5.712121212121212,0.8121268656519635,8.0,17.780651092529297,17.757678985595703,1.0012936435528668,2.7452981215296437,4.585490222841432,0.245798721909523,23.937578201293945,0.8610730662507151,0.37175170122451096,0.39005109667778015,4.0684051513671875
test,22,-0.4346220503932809,-0.38237674535933847,121,0.661338286027928,1.2927279472351074,1.2949529830366373,1.2949529830366373,0.5783929195686066,1.1686949729919434,1.211084295064211,1.211084295064211,1.0499953247067237,2.085928280539098,2.1042053261066345,2.1042053261066345,0.06842666500936884,2.4510745519681354,4.804766059556675,4.804766059556675,124,354,0.046420141620771044,5.709677419354839,0.7908161723955652,8.0,12.15481948852539,12.179510116577148,0.9979727733040632,2.6651952630382474,3.397428860116635,0.3452151119709015,15.791435241699219,0.8447810755779515,0.3676754878852148,0.31786078214645386,2.8965063095092773
test,23,0.3480696477983587,0.3472170812212601,164,1.4193667554092118,2.79559326171875,2.7568443454802036,2.7568443454802036,1.2676591491780993,2.5513126850128174,2.5716599132865667,2.5716599132865667,3.286621224618621,5.698676076683977,4.818680767096941,4.818680767096941,6.907808988070938,12.718546434862908,11.58741932205417,11.58741932205417,228,657,0.025388360769765823,5.7631578947368425,0.8250744950837307,8.0,16.24496078491211,16.284259796142578,0.9975866872843814,2.319708226841153,3.9227299470001484,0.7341413497924805,21.993183135986328,0.8645146062747892,0.12739419849801312,0.6256746053695679,1.3621512651443481
test,24,-0.4425836976874488,-0.38546653258158875,115,0.7440473405887251,1.4257501363754272,1.4185688346624374,1.4185688346624374,0.6572011782018387,1.2952512502670288,1.3279443942010403,1.3279443942010403,1.1100046791344178,2.192262427725217,2.2411896305911254,2.2411896305911254,0.07722261785596059,2.50457316288135,5.007435151772112,5.007435151772112,112,320,0.05148005148005148,5.714285714285714,0.8390957231764807,7.0,11.341119766235352,11.355500221252441,0.9987336132502401,2.490526631753892,3.0806538232399627,0.39795687794685364,14.823572158813477,0.8438441089354456,0.36576181984338785,0.35344529151916504,2.5128772258758545
test,25,0.15575047961155963,0.16010134850472116,146,1.534015195291132,3.0073726177215576,2.9528768248856068,2.9528768248856068,1.3819960938536957,2.7582061290740967,2.7581963259726763,2.7581963259726763,3.1094539953390568,5.591647011445929,4.973716148773202,4.973716148773202,5.8767168953150986,11.696441860254051,11.659577640557563,11.659577640557563,180,522,0.03240223463687151,5.8,0.7483314773547882,7.0,14.340980529785156,14.693090438842773,0.976035680817238,2.4710934177554886,3.794044770285123,0.44590330123901367,19.444528579711914,0.8724255342022212,0.2557077578593375,0.48711052536964417,2.2424893379211426
test,26,0.03234810147365195,0.043890752150877545,147,1.3372372815094027,2.637275457382202,2.614625170826912,2.614625170826912,1.2000346015251817,2.414789915084839,2.443003237247467,2.443003237247467,2.6838433298026314,4.851738380520711,4.365252516912808,4.365252516912808,4.722387240575341,9.768129040567327,10.168793891810333,10.168793891810333,184,533,0.03165835115229271,5.793478260869565,0.7523592382900962,8.0,14.76371955871582,14.813960075378418,0.9966085694569881,2.5558029750945646,3.8917505403623363,0.27136924862861633,19.812150955200195,0.8657520911595163,0.2967313727592715,0.4783484637737274,3.6850931644439697
test,27,-0.36685866738795003,-0.31907306258090046,176,0.7656678606978279,1.488111138343811,1.4832242159172893,1.4832242159172893,0.6698856561614032,1.3455265760421753,1.38751757517457,1.38751757517457,1.5301585302271328,2.704727159488882,2.3919646360300466,2.3919646360300466,1.7003177059620358,4.383461967790339,5.430520627520478,5.430520627520478,264,763,0.02197833851826247,5.78030303030303,0.7959594357278207,8.0,17.650320053100586,17.545320510864258,1.0059844755854594,2.77456649833238,4.520311568665228,0.2981190085411072,23.733022689819336,0.8603096086028987,0.40540565575959814,0.33956629037857056,3.354416847229004
test,28,-0.45477014026240226,-0.40407312713718835,172,0.6335458951287491,1.2251847982406616,1.2211966663599014,1.2211966663599014,0.5477925331039397,1.101028323173523,1.142463706433773,1.142463706433773,1.2402689487838052,2.205989375625696,1.9660225632359016,1.9660225632359016,0.9087473038824594,3.1213825044512173,4.4576332560895935,4.4576332560895935,248,713,0.02327935222672065,5.75,0.7198230069192861,7.0,17.24304962158203,17.123109817504883,1.0070045573120447,2.9846395119961984,4.720664145099492,0.28630319237709045,23.73082160949707,0.8457284449778633,0.3761104320465824,0.30304041504859924,3.492764472961426
test,29,-0.46988297457812184,-0.4123625000994139,130,0.5917288424303898,1.1501444578170776,1.157441845163703,1.157441845163703,0.5213179054383476,1.044082760810852,1.0838399343192577,1.0838399343192577,0.5268099102333506,1.4078576753913574,1.8112350903228736,1.8112350903228736,-1.8331188989035847,0.1332743794769229,4.015946318398539,4.015946318398539,144,411,0.03991841491841492,5.708333333333333,0.8322910148099242,7.0,12.998319625854492,12.716909408569336,1.0221288214175315,2.7964828674230553,3.7172771074697084,0.29949021339416504,17.51007080078125,0.8262440250447777,0.3694245745926464,0.3582713007926941,3.3390591144561768
