target,descriptor,standardized_weight,target_r2
slope_z1,edge_len_mean,-0.5975556229258212,0.9742115806303069
slope_z1,edge_len_std,1.2029044409593204,0.9742115806303069
slope_z1,edge_len_min,-0.6470229367688007,0.9742115806303069
slope_z1,edge_len_max,-0.06422704108160084,0.9742115806303069
slope_z1,stiffness_mean,0.28508804920557745,0.9742115806303069
slope_z1,stiffness_std,-0.6896652370118351,0.9742115806303069
slope_z1,stiffness_min,0.12303294958795892,0.9742115806303069
slope_z1,stiffness_max,-0.19484348343072092,0.9742115806303069
range_z1,node_count,0.07755385344746062,0.9742115806303069
range_z1,edge_count,-1.0980704699061208,0.9742115806303069
range_z1,edge_density,0.5169771605719865,0.9742115806303069
range_z1,mean_degree,0.08270413666592791,0.9742115806303069
range_z1,std_degree,0.024086946231714576,0.9742115806303069
range_z1,max_degree,-0.008629950462098203,0.9742115806303069
range_z1,x_span0,0.5130583809229864,0.9742115806303069
range_z1,y_span0,0.09761988355702347,0.9742115806303069
range_z1,aspect_ratio0,0.0012556859680704954,0.9742115806303069
range_z1,edge_len_mean,-0.5975556229258212,0.9742115806303069
range_z1,edge_len_std,1.2029044409593204,0.9742115806303069
range_z1,edge_len_min,-0.6470229367688007,0.9742115806303069
range_z1,edge_len_max,-0.06422704108160084,0.9742115806303069
range_z1,stiffness_mean,0.28508804920557745,0.9742115806303069
range_z1,stiffness_std,-0.6896652370118351,0.9742115806303069
range_z1,stiffness_min,0.12303294958795892,0.9742115806303069
range_z1,stiffness_max,-0.19484348343072092,0.9742115806303069
mean_z0_aligned,node_count,0.21230039006849302,0.9818922846738737
mean_z0_aligned,edge_count,-0.44238285875747335,0.9818922846738737
mean_z0_aligned,edge_density,0.4392695528657527,0.9818922846738737
mean_z0_aligned,mean_degree,0.065084079719953,0.9818922846738737
mean_z0_aligned,std_degree,0.014700315816468275,0.9818922846738737
mean_z0_aligned,max_degree,-0.020079904751885685,0.9818922846738737
mean_z0_aligned,x_span0,0.25570764217932124,0.9818922846738737
mean_z0_aligned,y_span0,-0.1841095675575185,0.9818922846738737
mean_z0_aligned,aspect_ratio0,0.014909750345066697,0.9818922846738737
mean_z0_aligned,edge_len_mean,-0.3919474029342195,0.9818922846738737
mean_z0_aligned,edge_len_std,0.777805849235071,0.9818922846738737
mean_z0_aligned,edge_len_min,-0.48082650406304744,0.9818922846738737
mean_z0_aligned,edge_len_max,-0.004248642959507744,0.9818922846738737
mean_z0_aligned,stiffness_mean,0.3991488782388671,0.9818922846738737
mean_z0_aligned,stiffness_std,-0.6530707640439601,0.9818922846738737
mean_z0_aligned,stiffness_min,0.112453202885889,0.9818922846738737
mean_z0_aligned,stiffness_max,-0.12700957237797172,0.9818922846738737
final_z0_aligned,node_count,0.04423923332459913,0.9823184360989118
final_z0_aligned,edge_count,-0.6173795399034673,0.9823184360989118
final_z0_aligned,edge_density,0.4843513780075303,0.9823184360989118
final_z0_aligned,mean_degree,0.06623471919087671,0.9823184360989118
final_z0_aligned,std_degree,0.020221153823362703,0.9823184360989118
final_z0_aligned,max_degree,-0.01361744659002335,0.9823184360989118
final_z0_aligned,x_span0,0.30081258707126846,0.9823184360989118
final_z0_aligned,y_span0,0.0499500563288482,0.9823184360989118
final_z0_aligned,aspect_ratio0,0.01681707013244913,0.9823184360989118
final_z0_aligned,edge_len_mean,-0.4672390876782223,0.9823184360989118
final_z0_aligned,edge_len_std,0.9301456654395177,0.9823184360989118
final_z0_aligned,edge_len_min,-0.5388022631484457,0.9823184360989118
final_z0_aligned,edge_len_max,-0.030188354787796613,0.9823184360989118
final_z0_aligned,stiffness_mean,0.34219053068382477,0.9823184360989118
final_z0_aligned,stiffness_std,-0.674367586632083,0.9823184360989118
final_z0_aligned,stiffness_min,0.12876338851137817,0.9823184360989118
final_z0_aligned,stiffness_max,-0.14567697253992848,0.9823184360989118
slope_z0_aligned,node_count,-0.19702039553682377,0.9747903237056494
slope_z0_aligned,edge_count,-0.9104240685886104,0.9747903237056494
slope_z0_aligned,edge_density,0.5605696096861672,0.9747903237056494
slope_z0_aligned,mean_degree,0.06966892500403374,0.9747903237056494
slope_z0_aligned,std_degree,0.029964789035731593,0.9747903237056494
slope_z0_aligned,max_degree,-0.005711453309962418,0.9747903237056494
slope_z0_aligned,x_span0,0.398971901929563,0.9747903237056494
slope_z0_aligned,y_span0,0.3742008561272684,0.9747903237056494
slope_z0_aligned,aspect_ratio0,0.018067417931258278,0.9747903237056494
slope_z0_aligned,edge_len_mean,-0.5993160129803832,0.9747903237056494
slope_z0_aligned,edge_len_std,1.1929038546157507,0.9747903237056494
slope_z0_aligned,edge_len_min,-0.6252120177030891,0.9747903237056494
slope_z0_aligned,edge_len_max,-0.07264365751807902,0.9747903237056494
slope_z0_aligned,stiffness_mean,0.25280429665132315,0.9747903237056494
slope_z0_aligned,stiffness_std,-0.6972681243587431,0.9747903237056494
slope_z0_aligned,stiffness_min,0.1443627849563168,0.9747903237056494
slope_z0_aligned,stiffness_max,-0.17274096000583464,0.9747903237056494
range_z0_aligned,node_count,-0.19702039553682377,0.9747903237056494
range_z0_aligned,edge_count,-0.9104240685886104,0.9747903237056494
range_z0_aligned,edge_density,0.5605696096861672,0.9747903237056494
range_z0_aligned,mean_degree,0.06966892500403374,0.9747903237056494
range_z0_aligned,std_degree,0.029964789035731593,0.9747903237056494
range_z0_aligned,max_degree,-0.005711453309962418,0.9747903237056494
range_z0_aligned,x_span0,0.398971901929563,0.9747903237056494
range_z0_aligned,y_span0,0.3742008561272684,0.9747903237056494
range_z0_aligned,aspect_ratio0,0.018067417931258278,0.9747903237056494
range_z0_aligned,edge_len_mean,-0.5993160129803832,0.9747903237056494
range_z0_aligned,edge_len_std,1.1929038546157507,0.9747903237056494
range_z0_aligned,edge_len_min,-0.6252120177030891,0.9747903237056494
range_z0_aligned,edge_len_max,-0.07264365751807902,0.9747903237056494
range_z0_aligned,stiffness_mean,0.25280429665132315,0.9747903237056494
range_z0_aligned,stiffness_std,-0.6972681243587431,0.9747903237056494
range_z0_aligned,stiffness_min,0.1443627849563168,0.9747903237056494
range_z0_aligned,stiffness_max,-0.17274096000583464,0.9747903237056494
mean_z1_aligned,node_count,0.32684764769613683,0.9746206235865184
mean_z1_aligned,edge_count,-0.23829140272302457,0.9746206235865184
mean_z1_aligned,edge_density,0.39733693689777166,0.9746206235865184
mean_z1_aligned,mean_degree,0.06218472697055353,0.9746206235865184
mean_z1_aligned,std_degree,0.008287126766197393,0.9746206235865184
mean_z1_aligned,max_degree,-0.02248146399057271,0.9746206235865184
mean_z1_aligned,x_span0,0.24059815902881743,0.9746206235865184
mean_z1_aligned,y_span0,-0.3722940296271639,0.9746206235865184
mean_z1_aligned,aspect_ratio0,0.017199860590449662,0.9746206235865184
mean_z1_aligned,edge_len_mean,-0.29066523839817365,0.9746206235865184
mean_z1_aligned,edge_len_std,0.5580712747183423,0.9746206235865184
mean_z1_aligned,edge_len_min,-0.43303777791810777,0.9746206235865184
mean_z1_aligned,edge_len_max,0.02917444188794976,0.9746206235865184
mean_z1_aligned,stiffness_mean,0.437179907445683,0.9746206235865184
mean_z1_aligned,stiffness_std,-0.6476362103347285,0.9746206235865184
mean_z1_aligned,stiffness_min,0.11362731399166527,0.9746206235865184
mean_z1_aligned,stiffness_max,-0.10883044719012308,0.9746206235865184
final_z1_aligned,node_count,0.07461368320104256,0.9796629045921307
final_z1_aligned,edge_count,-0.41358245395742976,0.9796629045921307
final_z1_aligned,edge_density,0.4607148272693043,0.9796629045921307
final_z1_aligned,mean_degree,0.061037708558040776,0.9796629045921307
final_z1_aligned,std_degree,0.016343950308941133,0.9796629045921307
final_z1_aligned,max_degree,-0.015116909759643759,0.9796629045921307
final_z1_aligned,x_span0,0.2539478142856089,0.9796629045921307
final_z1_aligned,y_span0,-0.035854569955545146,0.9796629045921307
final_z1_aligned,aspect_ratio0,0.022224416833582627,0.9796629045921307
final_z1_aligned,edge_len_mean,-0.3912089842247512,0.9796629045921307
final_z1_aligned,edge_len_std,0.7635465042083348,0.9796629045921307
final_z1_aligned,edge_len_min,-0.4957543192242584,0.9796629045921307
final_z1_aligned,edge_len_max,-0.006417829657232437,0.9796629045921307
final_z1_aligned,stiffness_mean,0.36759314154000844,0.9796629045921307
final_z1_aligned,stiffness_std,-0.6708612527167047,0.9796629045921307
final_z1_aligned,stiffness_min,0.13341206396075525,0.9796629045921307
final_z1_aligned,stiffness_max,-0.12713068055674367,0.9796629045921307
slope_z1_aligned,node_count,-0.36994324257620076,0.971265592412958
slope_z1_aligned,edge_count,-0.7892394940526875,0.971265592412958
slope_z1_aligned,edge_density,0.5865002485609467,0.971265592412958
slope_z1_aligned,mean_degree,0.061232120254309595,0.971265592412958
slope_z1_aligned,std_degree,0.03359247053007744,0.971265592412958
slope_z1_aligned,max_degree,-0.0038509626240281077,0.971265592412958
slope_z1_aligned,x_span0,0.3257381077695253,0.971265592412958
slope_z1_aligned,y_span0,0.547881743071457,0.971265592412958
slope_z1_aligned,aspect_ratio0,0.028637921403981862,0.971265592412958
