split,sim_idx,final_p_ratio,edge_count,stiffness_mean,stiffness_std,near_zero_stiffness_threshold,near_zero_stiffness_edge_count,near_zero_stiffness_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,z0,latent_dim,repeat,seed,train_networks,train_frames_per_network,z1
val,15,0.17250469509677205,481,0.532170631053418,0.22545573488264317,0.001,0,0.0,0.4919222646844601,0.7215520275963677,0.35271089940846384,-0.0007533719763159752,1,1,414972622,2,2,
val,16,-0.1515654324056017,310,0.6419198045608467,0.39124869814270824,0.001,15,0.04838709677419355,0.6673231453831501,0.81774453663662,0.34867130172412397,-0.2669391632080078,1,1,414972622,2,2,
val,17,-0.18996567826885782,313,0.6232783614517228,0.39310878855225095,0.001,2,0.006389776357827476,0.6632268612983269,0.8312330647638321,0.28126862666267255,-0.13999953866004944,1,1,414972622,2,2,
val,18,-0.3112050286983445,285,0.646844059464753,0.3851650277457816,0.001,26,0.0912280701754386,0.6739886870967864,0.8103027855035073,0.3169957197029869,-0.423399955034256,1,1,414972622,2,2,
val,19,-0.13510764728463107,344,0.6219070532554111,0.37343823102604634,0.001,0,0.0,0.681892789954033,0.7913957062948829,0.24053673727903516,-0.314230352640152,1,1,414972622,2,2,
val,20,-0.12771201037928526,404,0.6123778805134376,0.36631022913037825,0.001,0,0.0,0.6455671450104055,0.793998375311749,0.3323580157178055,-0.2876698672771454,1,1,414972622,2,2,
val,21,0.0950451355151094,401,0.5507063421413786,0.25633939852571264,0.001,0,0.0,0.5555943187168786,0.7264863063891729,0.30243948607816606,-0.05587051436305046,1,1,414972622,2,2,
val,22,-0.1963377719651293,424,0.640144655142134,0.3970647594748606,0.001,16,0.03773584905660377,0.6776600995728157,0.8005298905732045,0.36167599295416997,-0.27520111203193665,1,1,414972622,2,2,
val,23,0.18341754005038485,311,0.5550417813601218,0.2237528877148782,0.001,0,0.0,0.49563490517311176,0.7346527716692757,0.3609377751882012,-0.05935508385300636,1,1,414972622,2,2,
val,24,0.0729596003150843,480,0.5591510358344143,0.2720010240060662,0.001,0,0.0,0.5739857495593076,0.7423434635076452,0.3072583319535896,-0.11501040309667587,1,1,414972622,2,2,
val,0,-0.1623723264424866,403,0.6319914920456741,0.4023949243727821,0.001,29,0.07196029776674938,0.6508658423308767,0.7851872470439164,0.40732748242743405,-5.1655683517456055,1,1,414972824,2,4,
val,1,0.1606833051492441,629,0.5476103538798319,0.21461966360087026,0.001,0,0.0,0.4984474082259422,0.7156503287558796,0.365301239829606,-3.430253028869629,1,1,414972824,2,4,
val,2,0.17250469509677205,481,0.532170631053418,0.22545573488264317,0.001,0,0.0,0.4919222646844601,0.7215520275963677,0.35271089940846384,-3.24796462059021,1,1,414972824,2,4,
