repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
2,2,4,test,z0,stiffness_std,0.9101568223062814,0.8283854411906678,75
2,2,4,test,z0,horizontal_stiffness,0.9137907467638259,0.8350135288711905,75
2,2,4,test,z0,vertical_stiffness,0.9253004317720607,0.856180889037562,75
2,2,4,test,z0,diagonal_stiffness,-0.3200262991013667,0.10241683211651742,75
2,4,1,test,z0,final_p_ratio,-0.8062006554488974,0.6499594968462318,73
2,4,1,test,z0,stiffness_mean,0.8875869353922785,0.7878105678790568,73
2,4,1,test,z0,stiffness_std,0.8616426804177515,0.7424281087174874,73
2,4,1,test,z0,horizontal_stiffness,0.8505180198453078,0.7233809020815835,73
2,4,1,test,z0,vertical_stiffness,0.8644929083627608,0.7473479886095048,73
2,4,1,test,z0,diagonal_stiffness,-0.47426705969318933,0.22492924391002322,73
2,4,2,test,z0,final_p_ratio,-0.532879551983724,0.28396061692237445,73
2,4,2,test,z0,stiffness_mean,0.5645613990452198,0.31872957329189594,73
2,4,2,test,z0,stiffness_std,0.5480303645686007,0.30033728048919334,73
2,4,2,test,z0,horizontal_stiffness,0.531986494949098,0.28300963080822666,73
2,4,2,test,z0,vertical_stiffness,0.48851744738394975,0.2386492963985301,73
2,4,2,test,z0,diagonal_stiffness,-0.06347462197445551,0.00402902763480003,73
2,4,4,test,z0,final_p_ratio,-0.29113549534638694,0.0847598766505861,73
2,4,4,test,z0,stiffness_mean,0.3564553733632855,0.12706043319955926,73
2,4,4,test,z0,stiffness_std,0.32668203186541506,0.10672114994371606,73
2,4,4,test,z0,horizontal_stiffness,0.3015670708338048,0.09094269821128104,73
2,4,4,test,z0,vertical_stiffness,0.3423872905889758,0.11722905675685977,73
2,4,4,test,z0,diagonal_stiffness,-0.09019002687676342,0.008134240948031307,73
3,1,1,test,z0,final_p_ratio,-0.7813896829074811,0.6105698365542539,76
3,1,1,test,z0,stiffness_mean,0.9195400216347994,0.8455538513881273,76
3,1,1,test,z0,stiffness_std,0.8872679386041378,0.787244394874836,76
