latent_dim,repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,2,1,1,val,z1,stiffness_mean,,,0
1,2,1,1,val,z1,stiffness_std,,,0
1,2,1,1,val,z1,near_zero_stiffness_edge_count,,,0
1,2,1,1,val,z1,near_zero_stiffness_edge_fraction,,,0
1,2,1,1,val,z1,horizontal_stiffness,,,0
1,2,1,1,val,z1,vertical_stiffness,,,0
1,2,1,1,val,z1,diagonal_stiffness,,,0
1,2,1,2,val,z0,final_p_ratio,0.7868652803583377,0.6191569694334054,25
1,2,1,2,val,z0,stiffness_mean,-0.8108620798393164,0.6574973125213418,25
1,2,1,2,val,z0,stiffness_std,-0.8167678124005444,0.6671096593735709,25
1,2,1,2,val,z0,near_zero_stiffness_edge_count,-0.5590201454748921,0.31250352304676954,25
1,2,1,2,val,z0,near_zero_stiffness_edge_fraction,-0.5593544203929897,0.3128773676131774,25
1,2,1,2,val,z0,horizontal_stiffness,-0.7620788441870194,0.5807641647574234,25
1,2,1,2,val,z0,vertical_stiffness,-0.7577118199719161,0.5741272021251533,25
1,2,1,2,val,z0,diagonal_stiffness,0.3353330998242623,0.11244828783774866,25
1,2,1,2,val,z1,final_p_ratio,,,0
1,2,1,2,val,z1,stiffness_mean,,,0
1,2,1,2,val,z1,stiffness_std,,,0
1,2,1,2,val,z1,near_zero_stiffness_edge_count,,,0
1,2,1,2,val,z1,near_zero_stiffness_edge_fraction,,,0
1,2,1,2,val,z1,horizontal_stiffness,,,0
1,2,1,2,val,z1,vertical_stiffness,,,0
1,2,1,2,val,z1,diagonal_stiffness,,,0
1,2,1,4,val,z0,final_p_ratio,0.6620614048294383,0.4383253037647294,25
1,2,1,4,val,z0,stiffness_mean,-0.7000629938748943,0.49008819539308035,25
1,2,1,4,val,z0,stiffness_std,-0.6367848013065365,0.40549488317500515,25
1,2,1,4,val,z0,near_zero_stiffness_edge_count,-0.24061824661879946,0.0578971406059054,25
1,2,1,4,val,z0,near_zero_stiffness_edge_fraction,-0.21627415153906404,0.046774508623942036,25
1,2,1,4,val,z0,horizontal_stiffness,-0.7213272036567392,0.5203129347352509,25
1,2,1,4,val,z0,vertical_stiffness,-0.5945363735161925,0.35347349943378553,25
1,2,1,4,val,z0,diagonal_stiffness,0.05934955530931432,0.00352236971541336,25
1,2,1,4,val,z1,final_p_ratio,,,0
1,2,1,4,val,z1,stiffness_mean,,,0
1,2,1,4,val,z1,stiffness_std,,,0
1,2,1,4,val,z1,near_zero_stiffness_edge_count,,,0
1,2,1,4,val,z1,near_zero_stiffness_edge_fraction,,,0
1,2,1,4,val,z1,horizontal_stiffness,,,0
1,2,1,4,val,z1,vertical_stiffness,,,0
1,2,1,4,val,z1,diagonal_stiffness,,,0
1,2,2,1,val,z0,final_p_ratio,0.544596322825889,0.2965851548354799,25
1,2,2,1,val,z0,stiffness_mean,-0.6910217164145043,0.47751101255644757,25
1,2,2,1,val,z0,stiffness_std,-0.6386131349255033,0.4078267360993791,25
1,2,2,1,val,z0,near_zero_stiffness_edge_count,-0.1323433778952186,0.017514769672716635,25
1,2,2,1,val,z0,near_zero_stiffness_edge_fraction,-0.1204209428347462,0.014501203473209214,25
1,2,2,1,val,z0,horizontal_stiffness,-0.5862578582859352,0.3436982764020117,25
1,2,2,1,val,z0,vertical_stiffness,-0.6740422817775773,0.45433299762392293,25
1,2,2,1,val,z0,diagonal_stiffness,0.2865881015586932,0.08213273995501584,25
1,2,2,1,val,z1,final_p_ratio,,,0
1,2,2,1,val,z1,stiffness_mean,,,0
1,2,2,1,val,z1,stiffness_std,,,0
1,2,2,1,val,z1,near_zero_stiffness_edge_count,,,0
1,2,2,1,val,z1,near_zero_stiffness_edge_fraction,,,0
1,2,2,1,val,z1,horizontal_stiffness,,,0
1,2,2,1,val,z1,vertical_stiffness,,,0
1,2,2,1,val,z1,diagonal_stiffness,,,0
