dataset,epoch,train_mse_norm
single-network CV2 sim-0,213,0.001288258195563685
single-network CV2 sim-0,214,0.0005521624843822792
single-network CV2 sim-0,215,0.001538844086462632
single-network CV2 sim-0,216,0.0006665315915597603
single-network CV2 sim-0,217,0.000256006059498759
single-network CV2 sim-0,218,0.0002539518442063127
single-network CV2 sim-0,219,0.00018008916740654967
single-network CV2 sim-0,220,0.00014960008302296047
single-network CV2 sim-0,221,0.00014749999936611858
single-network CV2 sim-0,222,0.00013343449845706345
single-network CV2 sim-0,223,8.689377009432064e-05
single-network CV2 sim-0,224,0.00018154284043703228
single-network CV2 sim-0,225,0.00013666499107785058
single-network CV2 sim-0,226,0.00010156469070352614
single-network CV2 sim-0,227,7.941142885101727e-05
single-network CV2 sim-0,228,8.1893972310354e-05
single-network CV2 sim-0,229,9.558854035276453e-05
single-network CV2 sim-0,230,7.374133510893444e-05
single-network CV2 sim-0,231,0.00019390549750823992
single-network CV2 sim-0,232,0.0001882449785625795
single-network CV2 sim-0,233,0.00012357422092463822
single-network CV2 sim-0,234,0.0002587739727459848
single-network CV2 sim-0,235,0.00035551529945223594
single-network CV2 sim-0,236,0.0004340154173405608
single-network CV2 sim-0,237,0.0005133963102707639
single-network CV2 sim-0,238,0.00016692603203409816
single-network CV2 sim-0,239,9.294900992244948e-05
single-network CV2 sim-0,240,5.5583551238669314e-05
single-network CV2 sim-0,241,6.724248505634023e-05
single-network CV2 sim-0,242,0.00015039576319395565
single-network CV2 sim-0,243,0.0005900110772927292
single-network CV2 sim-0,244,0.001393292071588803
single-network CV2 sim-0,245,0.027063714526593684
single-network CV2 sim-0,246,0.010959834686946123
single-network CV2 sim-0,247,0.002998220454901457
single-network CV2 sim-0,248,0.0018850099004339427
single-network CV2 sim-0,249,0.0016546176761039534
single-network CV2 sim-0,250,0.0007530465794843621
single-network CV2 sim-0,251,0.0003020500585989794
single-network CV2 sim-0,252,0.000257320702803554
single-network CV2 sim-0,253,0.00024759121879469603
single-network CV2 sim-0,254,0.0004763008575537242
single-network CV2 sim-0,255,0.0003170109703205526
single-network CV2 sim-0,256,0.00029124471475370226
single-network CV2 sim-0,257,0.00013554522629419808
single-network CV2 sim-0,258,0.00014301595401775558
single-network CV2 sim-0,259,0.00013988391801831313
single-network CV2 sim-0,260,0.0001710945045488188
single-network CV2 sim-0,261,0.0001473961845476879
single-network CV2 sim-0,262,0.0001579742234753212
single-network CV2 sim-0,263,0.00010570419563009637
single-network CV2 sim-0,264,5.978043409413658e-05
single-network CV2 sim-0,265,9.05517787032295e-05
single-network CV2 sim-0,266,0.0002215871289081406
single-network CV2 sim-0,267,0.0016501611899002455
single-network CV2 sim-0,268,0.0010561488932580687
single-network CV2 sim-0,269,0.0008187114195607137
single-network CV2 sim-0,270,0.0005388833080360201
single-network CV2 sim-0,271,0.0005130305929924361
single-network CV2 sim-0,272,0.0003407967546081636
single-network CV2 sim-0,273,0.0003831851397990249
single-network CV2 sim-0,274,0.000394687037987751
single-network CV2 sim-0,275,0.000560901414428372
single-network CV2 sim-0,276,0.00032601598359178753
single-network CV2 sim-0,277,0.0002040529408986913
single-network CV2 sim-0,278,0.0001719648522339412
single-network CV2 sim-0,279,0.00010195933191425866
single-network CV2 sim-0,280,0.00013118536553520245
single-network CV2 sim-0,281,0.00016209361929213627
single-network CV2 sim-0,282,7.072267253533937e-05
single-network CV2 sim-0,283,0.00019478415269986727
single-network CV2 sim-0,284,0.0001469830149289919
single-network CV2 sim-0,285,0.00011581373819353757
single-network CV2 sim-0,286,0.000221074069122551
single-network CV2 sim-0,287,0.00016020800539990888
single-network CV2 sim-0,288,9.631436350900912e-05
single-network CV2 sim-0,289,0.00018701622702792519
single-network CV2 sim-0,290,0.00026169895099883436
single-network CV2 sim-0,291,0.00025184941696352323
single-network CV2 sim-0,292,0.00018203051731688902
single-network CV2 sim-0,293,8.988447607407579e-05
single-network CV2 sim-0,294,6.71146603053785e-05
single-network CV2 sim-0,295,8.746579005673994e-05
single-network CV2 sim-0,296,9.17675422897446e-05
single-network CV2 sim-0,297,7.59050792112248e-05
single-network CV2 sim-0,298,0.0008772780816798331
single-network CV2 sim-0,299,0.000843625974812312
single-network CV2 sim-0,300,0.007437621406279504
single-network CV2 sim-0,301,0.0025341873522847893
single-network CV2 sim-0,302,0.0021321437234291807
single-network CV2 sim-0,303,0.001318665339204017
single-network CV2 sim-0,304,0.0004584473390423227
single-network CV2 sim-0,305,0.0006181216122058686
single-network CV2 sim-0,306,0.0007511989460908808
single-network CV2 sim-0,307,0.0005541978986002505
single-network CV2 sim-0,308,0.0003651324885140639
single-network CV2 sim-0,309,0.0005162631641724147
single-network CV2 sim-0,310,0.0004406321702845162
single-network CV2 sim-0,311,0.0003048181468329858
single-network CV2 sim-0,312,0.00016872728210728382
single-network CV2 sim-0,313,9.421973136340967e-05
single-network CV2 sim-0,314,8.35128455037193e-05
single-network CV2 sim-0,315,0.00010895423856709386
single-network CV2 sim-0,316,7.432748170685955e-05
single-network CV2 sim-0,317,0.00010210633972747018
single-network CV2 sim-0,318,0.0003768289698200533
single-network CV2 sim-0,319,0.0009307383879786357
single-network CV2 sim-0,320,0.0007731582249107305
single-network CV2 sim-0,321,0.00044938722130609675
single-network CV2 sim-0,322,0.0002926382556324825
single-network CV2 sim-0,323,6.563525639649014e-05
single-network CV2 sim-0,324,4.683666138589615e-05
single-network CV2 sim-0,325,5.482674077939009e-05
single-network CV2 sim-0,326,6.023172845743829e-05
single-network CV2 sim-0,327,5.5479511047451524e-05
single-network CV2 sim-0,328,6.597621259061271e-05
single-network CV2 sim-0,329,0.00137338200238446
single-network CV2 sim-0,330,0.0013126265999744645
single-network CV2 sim-0,331,0.00042298025873606094
single-network CV2 sim-0,332,0.00012723212767014048
single-network CV2 sim-0,333,0.00018479534664948006
single-network CV2 sim-0,334,0.0004287674441002309
single-network CV2 sim-0,335,0.00022422965757868952
single-network CV2 sim-0,336,9.034801360030542e-05
single-network CV2 sim-0,337,0.0001114065240471973
single-network CV2 sim-0,338,0.0005835324551298982
single-network CV2 sim-0,339,0.0011963110882788897
single-network CV2 sim-0,340,0.0005237137957010418
single-network CV2 sim-0,341,0.00016677256498951465
single-network CV2 sim-0,342,7.934687400847906e-05
single-network CV2 sim-0,343,0.00013080437947792233
single-network CV2 sim-0,344,0.00024219046863436234
single-network CV2 sim-0,345,9.110692262765951e-05
single-network CV2 sim-0,346,0.00016884566939552316
single-network CV2 sim-0,347,0.00028279568432481027
single-network CV2 sim-0,348,0.00018480076068954076
single-network CV2 sim-0,349,0.0003526893127855146
single-network CV2 sim-0,350,0.0005057757756731007
