dataset,split,rollout_steps,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid_ld16_tok64_h192_head4,val,100,20,0.27973867228460925,0.6672457431355416,0.10163224169701537,0.00014491527012978623,0.000580337000428699,0.00048071349010569975,0.8491684388472305
Reid_ld16_tok64_h192_head4,test,100,38,0.5311545490439455,0.7412978856858122,0.06790511780640593,9.510770266723212e-05,0.0005436322619636101,0.0004571561822606447,0.8658242527665622
Reid_ld32_tok32_h192_head4,val,10,20,-0.024594485500816887,0.7292800046931862,0.051330845929521474,1.0109775689670642e-05,4.488473609853827e-06,2.4486796610290186e-05,5.451221931362849
Reid_ld32_tok32_h192_head4,test,10,38,-0.2579396502877971,0.7401095890000525,0.06908844393440687,1.0282866684830974e-05,4.555915821631635e-06,2.4607251170413003e-05,5.387013770034425
Reid_ld32_tok32_h192_head4,val,20,20,0.46561947115088465,0.7342762800822896,0.04051518957493894,8.246045285886795e-06,1.8944466683024074e-05,3.925226365026901e-05,2.076308612821018
Reid_ld32_tok32_h192_head4,test,20,38,0.3549882159188513,0.7483274123216221,0.05443064931619713,8.24286107552708e-06,1.8967649817855808e-05,3.942366828069728e-05,2.0876202575463836
Reid_ld32_tok32_h192_head4,val,30,20,0.5233872091196616,0.7361516669061972,0.04389334640123397,9.67111461704917e-06,4.442684421519516e-05,6.000320663588354e-05,1.3566232999044985
Reid_ld32_tok32_h192_head4,test,30,38,0.48408755299383743,0.753906104517171,0.05248473237105897,8.903026486893251e-06,4.3955074081742695e-05,6.0105174270574935e-05,1.3822037129506728
Reid_ld32_tok32_h192_head4,val,40,20,0.5272730527268256,0.7377992187009289,0.049053965876722096,1.4637685080742812e-05,8.167323358065914e-05,8.805684265098535e-05,1.0852204285843354
Reid_ld32_tok32_h192_head4,test,40,38,0.5282775368722772,0.7575740458256107,0.05349660218508821,1.2299888046647156e-05,7.995633763800327e-05,8.787714690889085e-05,1.1163884691993538
Reid_ld32_tok32_h192_head4,val,50,20,0.5223090287456118,0.7390479495702389,0.05388667846581287,2.3316479928325862e-05,0.00013127350466675126,0.00012471220979932697,0.9584881916351794
Reid_ld32_tok32_h192_head4,test,50,38,0.5457455077351292,0.7600184751541444,0.05536490967471711,1.843206040886894e-05,0.0001273059148699854,0.0001239702375498478,0.9929387893275446
Reid_ld32_tok32_h192_head4,val,60,20,0.5163420091515428,0.7395201323172435,0.05811210384254158,3.5899619820156656e-05,0.00019373622417333535,0.00017114728252636268,0.8938742598361319
Reid_ld32_tok32_h192_head4,test,60,38,0.5528803405553373,0.7619519860750564,0.05741695755215209,2.7348658836432916e-05,0.00018629207471875767,0.0001694605900985679,0.9304163171927143
Reid_ld32_tok32_h192_head4,val,70,20,0.5104132887203551,0.7391054329440663,0.061885772383206736,5.261685387267789e-05,0.0002695090508495923,0.0002282690336869564,0.8600261994541135
Reid_ld32_tok32_h192_head4,test,70,38,0.5558743376834059,0.7637595989954968,0.05936454669088401,3.915796247910246e-05,0.0002571933858378447,0.00022514484092090768,0.8976980029571258
Reid_ld32_tok32_h192_head4,val,80,20,0.5043991939254234,0.7378883788012622,0.0653520021467256,7.37391167149326e-05,0.0003589820029446855,0.0002966001396998763,0.8422958850747702
Reid_ld32_tok32_h192_head4,test,80,38,0.5573447362815689,0.7656186036416378,0.06108889236038536,5.399172080519508e-05,0.0003402265796658436,0.0002914885381438867,0.8804903892799719
Reid_ld32_tok32_h192_head4,val,90,20,0.4978921934948425,0.7359764322781698,0.06864169461384434,9.95529189140143e-05,0.00046249211591202765,0.00037628113059327004,0.8329962919947101
Reid_ld32_tok32_h192_head4,test,90,38,0.5580269972870238,0.7673112240512383,0.06261135155071074,7.200484377503209e-05,0.00043563711867471665,0.00036861528343778397,0.871200402279371
Reid_ld32_tok32_h192_head4,val,100,20,0.4910718554570981,0.7336178362846084,0.07181214123582126,0.00013033697673563437,0.000580337000428699,0.0004671416900237091,0.8278072573184124
Reid_ld32_tok32_h192_head4,test,100,38,0.5582816818907075,0.7687002686091484,0.06397616606345287,9.332531816366291e-05,0.0005436322619636101,0.00045632848234258985,0.8656277313366608
Reid_ld32_tok64_h192_head4,val,10,20,-1.51035110556658,0.5654701128869908,0.12576531266987703,7.3199518624278426e-06,4.488473609853827e-06,1.8881035612139385e-05,4.205394351305662
Reid_ld32_tok64_h192_head4,test,10,38,-1.5637965953821964,0.5643423234386816,0.1408085970569111,7.73244959131453e-06,4.555915821631635e-06,1.9413749190502322e-05,4.250886860457772
Reid_ld32_tok64_h192_head4,val,20,20,-0.059370569241603555,0.5785085107180931,0.08031841941429226,6.712686160881276e-06,1.8944466683024074e-05,3.268869540988817e-05,1.7247604908852998
Reid_ld32_tok64_h192_head4,test,20,38,-0.18643059116909844,0.5688915901200967,0.10011939167581019,6.964934671391108e-06,1.8967649817855808e-05,3.311522356709343e-05,1.7536307474227606
Reid_ld32_tok64_h192_head4,val,30,20,0.20542164099839688,0.5843893929254582,0.07317617953593232,9.35115581341961e-06,4.442684421519516e-05,5.290679437166546e-05,1.1923622562352663
Reid_ld32_tok64_h192_head4,test,30,38,0.12083014355816168,0.5726844920195421,0.08943958396782203,8.913560260512704e-06,4.3955074081742695e-05,5.287207376999217e-05,1.2168874337564943
