dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid_ld4_tok16_h128_head2,test,31,10,10,-0.09186263709947795,-0.025573285427454295,6.537844910781132e-06,4.261478807165986e-06,1.612798951100558e-05,3.784599253171269
Reid_ld4_tok16_h128_head2,test,32,10,10,0.12496726548997014,0.1962195753495598,4.215373792249011e-06,4.668069323088275e-06,1.590979991306085e-05,3.408218432912075
Reid_ld4_tok16_h128_head2,test,33,10,10,0.041625893865261575,0.3512688217331789,3.252893657190725e-05,4.726367478724569e-06,5.796061304863542e-05,12.263247263261118
Reid_ld4_tok16_h128_head2,test,34,10,10,0.37614829846162284,0.2736864206603328,4.6473169277305715e-06,4.718870968645206e-06,1.5891575458226725e-05,3.3676647579090764
Reid_ld4_tok16_h128_head2,test,35,10,10,0.010524759064356314,0.3551837339828444,4.979486220690887e-06,4.684953637479339e-06,1.5216376596072223e-05,3.24792469115215
Reid_ld4_tok16_h128_head2,test,36,10,10,-0.12194619818830633,0.07809901839832645,2.54808355748537e-06,4.224568783683935e-06,8.318795153172687e-06,1.9691465754567448
Reid_ld4_tok16_h128_head2,test,37,10,10,-0.15225119842198215,0.26239175476810284,7.050656677165534e-06,4.469489340408472e-06,1.8048858692054637e-05,4.03823732811613
Reid_ld4_tok16_h128_head2,val,0,20,20,0.3683112444612236,0.36596686851441834,3.345271352372947e-06,1.8648639525054023e-05,3.113233105977997e-05,1.6694156706688654
Reid_ld4_tok16_h128_head2,val,1,20,20,-0.01731682205571126,-0.3033812912273412,1.1380081559764221e-05,1.9951979993493296e-05,4.724263271782547e-05,2.367816764713685
Reid_ld4_tok16_h128_head2,val,2,20,20,0.046638685867284174,0.27209993726645393,5.959105692454614e-06,1.7176211258629337e-05,3.627275145845488e-05,2.1118016605804977
Reid_ld4_tok16_h128_head2,val,3,20,20,0.13661348706260892,-0.042332331023663225,6.736514023941709e-06,1.8212311260867864e-05,3.3035823435056955e-05,1.813928114991085
Reid_ld4_tok16_h128_head2,val,4,20,20,-0.025503355704697986,-0.2747246814942777,4.202207492198795e-05,1.9070668713538907e-05,0.00010685181769076735,5.6029402689434615
Reid_ld4_tok16_h128_head2,val,5,20,20,0.056134576705064915,0.16708183167267332,2.4304576982103754e-06,1.758584585331846e-05,2.015584868786391e-05,1.1461404163314945
Reid_ld4_tok16_h128_head2,val,6,20,20,-0.2555470786445419,-0.23242913260431045,1.3136414054315537e-05,1.941341361089144e-05,4.9691894673742354e-05,2.5596680557953952
